Orthogroup	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
OG0021427	tr|A0A1X7SGD5|A0A1X7SGD5_AMPQE			
OG0021428	tr|A0A1X7SGD8|A0A1X7SGD8_AMPQE			
OG0021429	tr|A0A1X7SGE3|A0A1X7SGE3_AMPQE			
OG0021430	tr|A0A1X7SGF1|A0A1X7SGF1_AMPQE			
OG0021431	tr|A0A1X7SGF6|A0A1X7SGF6_AMPQE			
OG0021432	tr|A0A1X7SGG3|A0A1X7SGG3_AMPQE			
OG0021433	tr|A0A1X7SGG8|A0A1X7SGG8_AMPQE			
OG0021434	tr|A0A1X7SGH4|A0A1X7SGH4_AMPQE			
OG0021435	tr|A0A1X7SGH6|A0A1X7SGH6_AMPQE			
OG0021436	tr|A0A1X7SGI6|A0A1X7SGI6_AMPQE			
OG0021437	tr|A0A1X7SGI9|A0A1X7SGI9_AMPQE			
OG0021438	tr|A0A1X7SGK5|A0A1X7SGK5_AMPQE			
OG0021439	tr|A0A1X7SGK6|A0A1X7SGK6_AMPQE			
OG0021440	tr|A0A1X7SGK8|A0A1X7SGK8_AMPQE			
OG0021441	tr|A0A1X7SGL2|A0A1X7SGL2_AMPQE			
OG0021442	tr|A0A1X7SGN1|A0A1X7SGN1_AMPQE			
OG0021443	tr|A0A1X7SGP8|A0A1X7SGP8_AMPQE			
OG0021444	tr|A0A1X7SGQ5|A0A1X7SGQ5_AMPQE			
OG0021445	tr|A0A1X7SGR1|A0A1X7SGR1_AMPQE			
OG0021446	tr|A0A1X7SGR4|A0A1X7SGR4_AMPQE			
OG0021447	tr|A0A1X7SGR9|A0A1X7SGR9_AMPQE			
OG0021448	tr|A0A1X7SGT7|A0A1X7SGT7_AMPQE			
OG0021449	tr|A0A1X7SGU9|A0A1X7SGU9_AMPQE			
OG0021450	tr|A0A1X7SGV0|A0A1X7SGV0_AMPQE			
OG0021451	tr|A0A1X7SGW3|A0A1X7SGW3_AMPQE			
OG0021452	tr|A0A1X7SGX9|A0A1X7SGX9_AMPQE			
OG0021453	tr|A0A1X7SGY0|A0A1X7SGY0_AMPQE			
OG0021454	tr|A0A1X7SGY5|A0A1X7SGY5_AMPQE			
OG0021455	tr|A0A1X7SGY7|A0A1X7SGY7_AMPQE			
OG0021456	tr|A0A1X7SGY9|A0A1X7SGY9_AMPQE			
OG0021457	tr|A0A1X7SGZ3|A0A1X7SGZ3_AMPQE			
OG0021458	tr|A0A1X7SH20|A0A1X7SH20_AMPQE			
OG0021459	tr|A0A1X7SH25|A0A1X7SH25_AMPQE			
OG0021460	tr|A0A1X7SH26|A0A1X7SH26_AMPQE			
OG0021461	tr|A0A1X7SH38|A0A1X7SH38_AMPQE			
OG0021462	tr|A0A1X7SH49|A0A1X7SH49_AMPQE			
OG0021463	tr|A0A1X7SH55|A0A1X7SH55_AMPQE			
OG0021464	tr|A0A1X7SH60|A0A1X7SH60_AMPQE			
OG0021465	tr|A0A1X7SH64|A0A1X7SH64_AMPQE			
OG0021466	tr|A0A1X7SH65|A0A1X7SH65_AMPQE			
OG0021467	tr|A0A1X7SH68|A0A1X7SH68_AMPQE			
OG0021468	tr|A0A1X7SH70|A0A1X7SH70_AMPQE			
OG0021469	tr|A0A1X7SH72|A0A1X7SH72_AMPQE			
OG0021470	tr|A0A1X7SH93|A0A1X7SH93_AMPQE			
OG0021471	tr|A0A1X7SH96|A0A1X7SH96_AMPQE			
OG0021472	tr|A0A1X7SHA3|A0A1X7SHA3_AMPQE			
OG0021473	tr|A0A1X7SHB2|A0A1X7SHB2_AMPQE			
OG0021474	tr|A0A1X7SHC1|A0A1X7SHC1_AMPQE			
OG0021475	tr|A0A1X7SHD0|A0A1X7SHD0_AMPQE			
OG0021476	tr|A0A1X7SHE6|A0A1X7SHE6_AMPQE			
OG0021477	tr|A0A1X7SHE8|A0A1X7SHE8_AMPQE			
OG0021478	tr|A0A1X7SHF6|A0A1X7SHF6_AMPQE			
OG0021479	tr|A0A1X7SHH2|A0A1X7SHH2_AMPQE			
OG0021480	tr|A0A1X7SHJ6|A0A1X7SHJ6_AMPQE			
OG0021481	tr|A0A1X7SHJ7|A0A1X7SHJ7_AMPQE			
OG0021482	tr|A0A1X7SHL7|A0A1X7SHL7_AMPQE			
OG0021483	tr|A0A1X7SHM5|A0A1X7SHM5_AMPQE			
OG0021484	tr|A0A1X7SHN4|A0A1X7SHN4_AMPQE			
OG0021485	tr|A0A1X7SHP1|A0A1X7SHP1_AMPQE			
OG0021486	tr|A0A1X7SHP8|A0A1X7SHP8_AMPQE			
OG0021487	tr|A0A1X7SHQ1|A0A1X7SHQ1_AMPQE			
OG0021488	tr|A0A1X7SHS5|A0A1X7SHS5_AMPQE			
OG0021489	tr|A0A1X7SHT3|A0A1X7SHT3_AMPQE			
OG0021490	tr|A0A1X7SHU2|A0A1X7SHU2_AMPQE			
OG0021491	tr|A0A1X7SHU3|A0A1X7SHU3_AMPQE			
OG0021492	tr|A0A1X7SHU7|A0A1X7SHU7_AMPQE			
OG0021493	tr|A0A1X7SHU8|A0A1X7SHU8_AMPQE			
OG0021494	tr|A0A1X7SHV5|A0A1X7SHV5_AMPQE			
OG0021495	tr|A0A1X7SHW0|A0A1X7SHW0_AMPQE			
OG0021496	tr|A0A1X7SHW2|A0A1X7SHW2_AMPQE			
OG0021497	tr|A0A1X7SHX0|A0A1X7SHX0_AMPQE			
OG0021498	tr|A0A1X7SHX8|A0A1X7SHX8_AMPQE			
OG0021499	tr|A0A1X7SHZ0|A0A1X7SHZ0_AMPQE			
OG0021500	tr|A0A1X7SHZ5|A0A1X7SHZ5_AMPQE			
OG0021501	tr|A0A1X7SI03|A0A1X7SI03_AMPQE			
OG0021502	tr|A0A1X7SI12|A0A1X7SI12_AMPQE			
OG0021503	tr|A0A1X7SI18|A0A1X7SI18_AMPQE			
OG0021504	tr|A0A1X7SI25|A0A1X7SI25_AMPQE			
OG0021505	tr|A0A1X7SI26|A0A1X7SI26_AMPQE			
OG0021506	tr|A0A1X7SI29|A0A1X7SI29_AMPQE			
OG0021507	tr|A0A1X7SI33|A0A1X7SI33_AMPQE			
OG0021508	tr|A0A1X7SI39|A0A1X7SI39_AMPQE			
OG0021509	tr|A0A1X7SI44|A0A1X7SI44_AMPQE			
OG0021510	tr|A0A1X7SI46|A0A1X7SI46_AMPQE			
OG0021511	tr|A0A1X7SI49|A0A1X7SI49_AMPQE			
OG0021512	tr|A0A1X7SI61|A0A1X7SI61_AMPQE			
OG0021513	tr|A0A1X7SI62|A0A1X7SI62_AMPQE			
OG0021514	tr|A0A1X7SI76|A0A1X7SI76_AMPQE			
OG0021515	tr|A0A1X7SI80|A0A1X7SI80_AMPQE			
OG0021516	tr|A0A1X7SI82|A0A1X7SI82_AMPQE			
OG0021517	tr|A0A1X7SI83|A0A1X7SI83_AMPQE			
OG0021518	tr|A0A1X7SI89|A0A1X7SI89_AMPQE			
OG0021519	tr|A0A1X7SI92|A0A1X7SI92_AMPQE			
OG0021520	tr|A0A1X7SI93|A0A1X7SI93_AMPQE			
OG0021521	tr|A0A1X7SIA4|A0A1X7SIA4_AMPQE			
OG0021522	tr|A0A1X7SIB8|A0A1X7SIB8_AMPQE			
OG0021523	tr|A0A1X7SIC0|A0A1X7SIC0_AMPQE			
OG0021524	tr|A0A1X7SIC3|A0A1X7SIC3_AMPQE			
OG0021525	tr|A0A1X7SIC7|A0A1X7SIC7_AMPQE			
OG0021526	tr|A0A1X7SIC9|A0A1X7SIC9_AMPQE			
OG0021527	tr|A0A1X7SID1|A0A1X7SID1_AMPQE			
OG0021528	tr|A0A1X7SID3|A0A1X7SID3_AMPQE			
OG0021529	tr|A0A1X7SID4|A0A1X7SID4_AMPQE			
OG0021530	tr|A0A1X7SID5|A0A1X7SID5_AMPQE			
OG0021531	tr|A0A1X7SIE3|A0A1X7SIE3_AMPQE			
OG0021532	tr|A0A1X7SIE4|A0A1X7SIE4_AMPQE			
OG0021533	tr|A0A1X7SIF5|A0A1X7SIF5_AMPQE			
OG0021534	tr|A0A1X7SIH0|A0A1X7SIH0_AMPQE			
OG0021535	tr|A0A1X7SIH6|A0A1X7SIH6_AMPQE			
OG0021536	tr|A0A1X7SIH7|A0A1X7SIH7_AMPQE			
OG0021537	tr|A0A1X7SIH8|A0A1X7SIH8_AMPQE			
OG0021538	tr|A0A1X7SII3|A0A1X7SII3_AMPQE			
OG0021539	tr|A0A1X7SII4|A0A1X7SII4_AMPQE			
OG0021540	tr|A0A1X7SIJ0|A0A1X7SIJ0_AMPQE			
OG0021541	tr|A0A1X7SIJ1|A0A1X7SIJ1_AMPQE			
OG0021542	tr|A0A1X7SIJ6|A0A1X7SIJ6_AMPQE			
OG0021543	tr|A0A1X7SIK6|A0A1X7SIK6_AMPQE			
OG0021544	tr|A0A1X7SIK8|A0A1X7SIK8_AMPQE			
OG0021545	tr|A0A1X7SIP1|A0A1X7SIP1_AMPQE			
OG0021546	tr|A0A1X7SIQ6|A0A1X7SIQ6_AMPQE			
OG0021547	tr|A0A1X7SIS0|A0A1X7SIS0_AMPQE			
OG0021548	tr|A0A1X7SIS8|A0A1X7SIS8_AMPQE			
OG0021549	tr|A0A1X7SIT0|A0A1X7SIT0_AMPQE			
OG0021550	tr|A0A1X7SIT3|A0A1X7SIT3_AMPQE			
OG0021551	tr|A0A1X7SIT4|A0A1X7SIT4_AMPQE			
OG0021552	tr|A0A1X7SIV7|A0A1X7SIV7_AMPQE			
OG0021553	tr|A0A1X7SIV8|A0A1X7SIV8_AMPQE			
OG0021554	tr|A0A1X7SIW0|A0A1X7SIW0_AMPQE			
OG0021555	tr|A0A1X7SIW8|A0A1X7SIW8_AMPQE			
OG0021556	tr|A0A1X7SIX6|A0A1X7SIX6_AMPQE			
OG0021557	tr|A0A1X7SIX9|A0A1X7SIX9_AMPQE			
OG0021558	tr|A0A1X7SJ05|A0A1X7SJ05_AMPQE			
OG0021559	tr|A0A1X7SJ17|A0A1X7SJ17_AMPQE			
OG0021560	tr|A0A1X7SJ24|A0A1X7SJ24_AMPQE			
OG0021561	tr|A0A1X7SJ25|A0A1X7SJ25_AMPQE			
OG0021562	tr|A0A1X7SJ31|A0A1X7SJ31_AMPQE			
OG0021563	tr|A0A1X7SJ37|A0A1X7SJ37_AMPQE			
OG0021564	tr|A0A1X7SJ41|A0A1X7SJ41_AMPQE			
OG0021565	tr|A0A1X7SJ43|A0A1X7SJ43_AMPQE			
OG0021566	tr|A0A1X7SJ44|A0A1X7SJ44_AMPQE			
OG0021567	tr|A0A1X7SJ76|A0A1X7SJ76_AMPQE			
OG0021568	tr|A0A1X7SJ79|A0A1X7SJ79_AMPQE			
OG0021569	tr|A0A1X7SJ89|A0A1X7SJ89_AMPQE			
OG0021570	tr|A0A1X7SJ90|A0A1X7SJ90_AMPQE			
OG0021571	tr|A0A1X7SJ91|A0A1X7SJ91_AMPQE			
OG0021572	tr|A0A1X7SJ94|A0A1X7SJ94_AMPQE			
OG0021573	tr|A0A1X7SJB1|A0A1X7SJB1_AMPQE			
OG0021574	tr|A0A1X7SJB9|A0A1X7SJB9_AMPQE			
OG0021575	tr|A0A1X7SJD0|A0A1X7SJD0_AMPQE			
OG0021576	tr|A0A1X7SJE9|A0A1X7SJE9_AMPQE			
OG0021577	tr|A0A1X7SJF2|A0A1X7SJF2_AMPQE			
OG0021578	tr|A0A1X7SJG9|A0A1X7SJG9_AMPQE			
OG0021579	tr|A0A1X7SJJ7|A0A1X7SJJ7_AMPQE			
OG0021580	tr|A0A1X7SJJ9|A0A1X7SJJ9_AMPQE			
OG0021581	tr|A0A1X7SJK7|A0A1X7SJK7_AMPQE			
OG0021582	tr|A0A1X7SJL1|A0A1X7SJL1_AMPQE			
OG0021583	tr|A0A1X7SJL6|A0A1X7SJL6_AMPQE			
OG0021584	tr|A0A1X7SJM0|A0A1X7SJM0_AMPQE			
OG0021585	tr|A0A1X7SJM6|A0A1X7SJM6_AMPQE			
OG0021586	tr|A0A1X7SJN0|A0A1X7SJN0_AMPQE			
OG0021587	tr|A0A1X7SJN8|A0A1X7SJN8_AMPQE			
OG0021588	tr|A0A1X7SJP9|A0A1X7SJP9_AMPQE			
OG0021589	tr|A0A1X7SJQ7|A0A1X7SJQ7_AMPQE			
OG0021590	tr|A0A1X7SJT0|A0A1X7SJT0_AMPQE			
OG0021591	tr|A0A1X7SJV3|A0A1X7SJV3_AMPQE			
OG0021592	tr|A0A1X7SJV5|A0A1X7SJV5_AMPQE			
OG0021593	tr|A0A1X7SJV7|A0A1X7SJV7_AMPQE			
OG0021594	tr|A0A1X7SJW2|A0A1X7SJW2_AMPQE			
OG0021595	tr|A0A1X7SJW6|A0A1X7SJW6_AMPQE			
OG0021596	tr|A0A1X7SJY0|A0A1X7SJY0_AMPQE			
