Orthogroup	Niphates_augustus.hints.aa	Ephydatia_Emu_v1_prots
OG0000031	jg6093.t1, jg6092.t1, jg8230.t1, jg8240.t1, jg6094.t1, jg8233.t1, jg25012.t1, jg8245.t1, jg8223.t1, jg6085.t1, jg7981.t1, jg7910.t1, jg1726.t1, jg26699.t1, jg28545.t1, jg8225.t1, jg6087.t1, jg8224.t1, jg6086.t1, jg8220.t1, jg6082.t1, jg8222.t1, jg6084.t1	Em0003g1030a, Em0003g972a, Em0003g958a, Em0003g1024a, Em0003g1034a, Em0003g1036a, Em0003g912a, Em0003g956a, Em0003g969a, Em0003g966a, Em0003g1035a, Em0003g964a, Em0003g1032a, Em0003g1026a, Em0003g970a, Em0003g965a, Em0003g1033a, Em0003g330a, Em0017g618a, Em0003g689a, Em0003g693a, Em0022g651a, Em0001g236a, Em0023g111a, Em0014g138a
OG0000032	jg21959.t1	Em0013g961a, Em0001g2609a, Em0017g73a, Em0004g1590a, Em0015g364a, Em0009g544a, Em0107g13a, Em0004g1588a, Em0018g402a, Em0015g377a, Em0001g3024a, Em0009g174a, Em0016g829a
OG0000032	jg11824.t1, jg26025.t1, jg13782.t1	Em0024g106a
OG0000032	jg7366.t1	Em0010g159a, Em0001g2192a
OG0000032	jg5818.t1, jg26205.t1, jg7790.t1, jg20126.t1, jg10245.t1, jg20110.t1, jg19605.t1	Em0002g510a
OG0000032	jg5300.t1	Em0003g250a, Em0002g1218a, Em0013g557a
OG0000033	jg5797.t1	Em0020g650a, Em0003g1390a
OG0000033	jg29346.t1	Em0004g1189a, Em0001g2048a, Em0004g1691a, Em0721g1a, Em0721g3a, Em0023g914a, Em0002g180a, Em0007g175a, Em0009g908a, Em0001g500a, Em0004g1693a, Em0011g376a, Em0001g2090a, Em0001g2236a, Em0014g264a, Em0017g477a
OG0000033	jg22726.t1	Em0001g1915a, Em0007g1525a
OG0000033	jg9743.t1, jg5091.t1, jg5795.t1, jg26568.t1	Em0009g19a, Em0009g27a, Em0003g1391a, Em0063g15a, Em1067g2a, Em1326g1a, Em0025g81a
OG0000035	jg12880.t1	Em0003g1001a
OG0000036	jg22843.t1	Em0009g566a, Em0005g338a, Em0004g1716a
OG0000036	jg4238.t1, jg22842.t1	Em0001g482a, Em0005g337a, Em0006g1267a, Em0024g436a, Em0412g4a, Em0004g1713a, Em0021g550a, Em0005g715a, Em0005g717a, Em0001g3716a, Em0001g3714a, Em0012g376a, Em0016g838a, Em0032g5a, Em0047g33a, Em0014g388a, Em0024g95a, Em0032g15a, Em0012g399a, Em0003g1750a, Em0047g18a, Em0047g37a, Em0006g385a, Em0016g835a
OG0000036	jg27375.t1	Em0003g1806a, Em0011g528a, Em0001g2159a
OG0000041	jg891.t1, jg889.t1, jg892.t1, jg14983.t1, jg15010.t1, jg19688.t1, jg14992.t1, jg15000.t1, jg14986.t1, jg19690.t1, jg14993.t1, jg14981.t1, jg19689.t1, jg14978.t1, jg19686.t1, jg19692.t1, jg14982.t1, jg15012.t1, jg11988.t1, jg19685.t1, jg15000.t2, jg19695.t1, jg19694.t1, jg14987.t1	Em0004g1687a
OG0000042	jg21840.t1	Em0056g12a, Em0528g4a
OG0000042	jg7815.t1, jg6446.t1, jg5671.t1, jg4263.t1	Em0016g689a, Em0005g1327a, Em0001g265a
OG0000042	jg5670.t1	Em0007g170a, Em0001g3143a, Em0006g703a
OG0000042	jg19322.t1, jg1144.t1, jg10143.t1, jg6442.t1, jg9347.t1, jg10142.t1, jg26338.t1, jg2984.t1, jg15493.t1	Em0018g523a
OG0000042	jg17695.t1, jg21209.t1, jg29325.t1, jg7550.t1, jg285.t1	Em0015g547a, Em0023g347a, Em0006g1024a, Em0001g1683a
OG0000042	jg3822.t1, jg15301.t1	Em0008g960a, Em0001g2996a, Em0001g1433a
OG0000042	jg5843.t1, jg24151.t1, jg3850.t1, jg313.t1	Em0021g382a
OG0000042	jg2208.t1	Em0008g2a
OG0000044	jg11891.t1, jg2046.t1	Em0001g1789a, Em0002g1435a
OG0000047	jg22899.t1	Em0023g873a, Em0001g3523a, Em0015g1279a, Em0005g314a, Em0022g930a, Em0009g203a, Em0087g10a, Em0001g638a, Em0001g3009a, Em0005g653a, Em0027g7a, Em0010g172a, Em0003g1213a, Em0015g1173a, Em0133g2a, Em0189g2a, Em0053g20a, Em0117g10a, Em0001g656a, Em0020g1114a, Em0020g1111a, Em0001g668a, Em0033g2a, Em0010g491a, Em0006g315a, Em0006g320a, Em0023g870a, Em0013g804a, Em0014g420a, Em0009g1083a, Em0001g2279a, Em0067g9a, Em0005g1231a, Em0009g1099a, Em0001g3765a, Em0477g2a, Em0010g490a, Em0233g1a, Em0022g935a, Em0001g1711a, Em0015g899a, Em0417g2a, Em0021g139a, Em0024g302a, Em0011g1153a, Em0639g1a, Em0004g460a, Em0010g641a, Em0995g2a, Em0003g1516a, Em0001g2989a, Em0009g654a, Em0008g177a, Em0009g1089a, Em0007g1150a, Em0004g1585a, Em0061g9a, Em0012g727a, Em0001g2003a, Em0006g1478a, Em0001g3409a, Em0030g31a, Em0009g394a, Em0008g390a, Em0006g4a, Em0021g1a, Em0006g148a, Em0001g3349a, Em0001g2967a, Em0003g1754a, Em0003g1726a, Em0001g3074a, Em0002g1074a, Em0006g346a, Em0001g3803a, Em0008g175a, Em0019g211a, Em0002g1703a, Em0003g72a, Em0003g1567a
OG0000056	jg3603.t1, jg22871.t1, jg3296.t1, jg716.t1, jg13508.t1, jg13511.t1, jg5102.t1, jg6527.t1	Em0005g1234a, Em0006g1584a
OG0000058	jg1194.t1, jg27468.t1, jg27543.t1, jg21449.t1, jg2253.t1, jg9906.t1, jg6295.t1, jg28911.t1, jg21413.t1, jg6286.t1, jg22608.t1, jg5846.t1, jg1646.t1, jg4428.t1, jg21399.t1, jg9910.t1, jg13252.t1, jg25496.t1, jg1646.t2, jg4428.t2, jg25496.t2, jg9910.t2, jg1194.t2, jg5846.t2, jg2250.t1, jg27365.t1, jg13245.t1, jg5842.t1, jg5201.t1, jg10343.t1, jg11847.t1, jg9889.t1, jg13105.t1, jg11855.t2, jg23470.t1, jg27497.t1, jg24148.t1, jg25503.t1, jg27522.t3, jg10348.t1, jg10027.t1, jg2136.t1, jg2252.t1, jg2252.t2, jg11823.t2, jg21418.t1, jg21405.t1, jg9902.t1, jg27522.t2, jg5852.t1, jg14534.t1, jg21511.t1, jg10017.t1, jg4423.t1, jg22605.t1, jg30325.t1, jg13109.t1, jg24468.t1, jg4304.t1, jg10354.t1, jg24152.t1, jg4434.t1, jg4278.t1, jg5005.t1, jg24082.t1, jg13241.t1, jg29250.t1, jg9935.t1, jg11823.t1	Em0022g82a
OG0000071	jg21281.t1, jg4883.t1, jg3207.t1, jg4875.t1, jg18570.t1, jg15396.t1, jg12078.t1, jg15387.t1, jg9324.t1, jg15616.t1, jg4866.t1, jg12082.t1, jg15321.t1, jg2994.t1, jg15325.t1, jg15319.t3, jg15319.t2, jg15398.t2, jg15319.t1, jg15398.t1, jg21228.t1, jg21228.t2, jg21228.t3, jg15606.t2, jg15606.t1, jg21225.t1, jg29284.t1, jg30410.t1	Em0011g673a
OG0000083	jg14690.t1, jg27523.t1, jg27580.t1, jg8085.t1, jg21193.t1, jg10611.t1, jg27815.t1, jg1191.t1	Em0011g566a, Em0012g1a, Em0008g667a, Em0024g435a, Em0022g6a, Em0019g785a, Em0015g942a, Em0126g13a, Em0007g1206a, Em0002g1296a, Em0024g41a, Em0014g269a, Em0014g991a, Em0005g859a, Em0257g3a, Em0257g4a, Em0021g1004a, Em0001g1842a, Em0022g911a, Em0014g822a, Em0001g271a, Em0006g199a, Em0006g237a, Em0003g1701a, Em0006g724a, Em0002g1472a, Em0007g727a, Em0010g828a, Em0014g926a, Em0020g808a, Em1077g1a, Em0003g202a, Em0007g1296a, Em0001g1799a, Em0031g42a, Em0005g94a, Em0015g22a, Em0011g473a, Em0004g1166a, Em0008g985a, Em0021g8a, Em0008g1279a
OG0000084	jg29265.t1, jg9282.t1	Em0008g275a, Em0024g96a, Em0024g28a, Em0017g238a, Em0005g838a, Em0003g871a, Em0044g15a, Em0013g903a, Em0001g398a
OG0000084	jg30369.t1, jg24009.t1, jg16278.t1	Em0475g2a, Em0001g2252a, Em0020g472a, Em0007g598a, Em0006g722a, Em0007g692a, Em0005g295a, Em0126g5a, Em0017g750a, Em0002g882a, Em0002g1359a, Em0013g393a, Em0002g276a, Em0007g568a, Em0003g219a, Em0009g333a, Em0321g1a, Em0027g57a, Em0002g47a, Em0003g224a, Em0009g444a, Em0014g349a, Em0012g940a, Em0001g2056a, Em0022g375a, Em0010g538a, Em0002g1025a, Em0023g842a, Em0015g842a, Em0025g119a, Em0002g1723a, Em0015g848a, Em0015g841a, Em0003g983a, Em0001g2995a, Em0001g735a, Em0003g1890a, Em0022g949a, Em0004g1721a, Em0005g425a
OG0000092	jg13790.t1	Em0001g282a
OG0000096	jg2578.t1	Em0018g161a, Em0001g865a
OG0000096	jg17887.t1, jg19660.t1, jg19660.t2, jg17543.t1, jg15042.t1, jg19659.t1	Em0021g710a, Em0021g717a, Em0021g712a, Em0021g721a, Em0021g719a, Em0021g676a, Em0021g695a, Em0021g700a, Em0021g723a, Em0206g6a
OG0000096	jg3257.t1, jg22758.t1, jg25758.t1	Em0009g368a, Em0009g364a, Em0009g370a, Em0009g366a, Em0884g2a
OG0000099	jg14313.t1, jg113.t1, jg24859.t1	Em0012g487a
OG0000104	jg24250.t1, jg19995.t1, jg14808.t1, jg1565.t1, jg5135.t1, jg5120.t1, jg14810.t1, jg12430.t1, jg19839.t1, jg12442.t1, jg11851.t1	Em0005g1267a, Em0021g171a, Em0002g1241a
OG0000105	jg29241.t1, jg3179.t1, jg19400.t1	Em0006g569a
OG0000108	jg4371.t1, jg1489.t1, jg23582.t1, jg1496.t1, jg1491.t1, jg4372.t1, jg16272.t1, jg16276.t1, jg23925.t1, jg24003.t1, jg7404.t1, jg30368.t1, jg20235.t1, jg20234.t1, jg20233.t1, jg13402.t1, jg13401.t1, jg13400.t1, jg4379.t1	Em0016g528a
OG0000109	jg30107.t1, jg15508.t1, jg16004.t1, jg14272.t1, jg7343.t1, jg22028.t1, jg25022.t1, jg13216.t1, jg21744.t1, jg7339.t1, jg1784.t1, jg16695.t1, jg21069.t1, jg5694.t1, jg24036.t1, jg7340.t1, jg26388.t1, jg18792.t1, jg15177.t1, jg26450.t1, jg7424.t1, jg7583.t1, jg5679.t1, jg10145.t1, jg28715.t1	Em0001g1288a, Em0001g1229a
OG0000113	jg17439.t1	Em0006g449a
OG0000113	jg8339.t1, jg21600.t1, jg15711.t1, jg15710.t1, jg17942.t1, g30971.t1	Em0003g1566a
OG0000118	jg9238.t1	Em0009g404a, Em0009g393a, Em0003g1501a, Em0018g596a, Em0002g1160a, Em0011g94a, Em0011g111a, Em0011g459a, Em0012g458a, Em0006g642a, Em0011g999a, Em0012g380a, Em0006g408a, Em0003g928a, Em0004g792a, Em0001g2945a, Em0001g2929a, Em0005g1253a, Em0768g1a, Em0001g2858a, Em0012g493a, Em0076g2a, Em0014g965a, Em0022g383a, Em0003g1714a, Em0019g941a, Em0016g7a, Em0013g497a, Em0017g922a, Em0645g4a, Em0003g991a, Em0011g1018a, Em0014g966a, Em0011g1072a, Em0010g96a, Em0011g1131a, Em0011g1096a, Em0011g450a, Em0001g880a, Em0003g1743a, Em0014g733a, Em1368g1a, Em0019g455a, Em0010g957a, Em0098g8a, Em0002g1186a
OG0000129	jg14919.t1, jg14924.t1, jg28860.t1, jg28857.t1, jg14921.t1, jg22677.t1, jg22675.t1, jg22674.t1	Em0011g654a
OG0000130	jg17876.t1, jg17781.t1, jg25265.t1, jg10314.t1	Em0009g275a, Em0009g234a, Em0009g276a, Em0009g235a, Em0009g264a, Em0500g1a, Em0127g4a, Em0013g561a, Em0013g565a, Em0013g568a, Em0013g564a, Em0001g1474a, Em0058g21a, Em0001g1476a, Em0001g1475a, Em0058g18a, Em0058g20a
OG0000137	jg12856.t1	Em0005g1131a
OG0000137	jg28808.t1	Em0017g930a, Em0017g928a
OG0000137	jg7001.t1	Em0003g1438a, Em0003g1437a, Em0003g1436a, Em0003g1460a, Em0056g25a, Em0011g357a, Em0011g353a, Em0011g358a, Em0011g351a, Em0005g1108a, Em0003g1439a
OG0000137	jg20691.t2, jg7003.t1, jg7006.t1, jg7005.t1, jg7004.t1	Em0017g885a, Em0017g867a, Em0017g868a, Em0017g884a, Em0017g816a, Em0020g69a, Em0020g64a, Em0019g324a
OG0000147	jg2543.t1, jg21681.t1	Em0007g145a, Em0082g1a, Em0007g188a, Em0007g212a, Em0007g158a, Em0014g877a, Em0009g293a, Em0007g165a, Em0009g303a, Em0232g6a, Em0007g194a, Em0007g127a, Em0007g208a, Em0014g551a, Em0082g4a, Em0007g152a, Em0007g216a, Em0001g2522a, Em0007g190a, Em0008g1255a, Em0008g1239a, Em0006g907a
OG0000156	jg11242.t1, jg30164.t2, jg26863.t1, jg30164.t1, jg18017.t1	Em0015g1080a, Em0015g1082a, Em0015g1078a, Em0015g1077a
OG0000156	jg8051.t1, jg8041.t1, jg28159.t1, jg27713.t1, jg19862.t1, jg19826.t1, jg8042.t1, jg8049.t1, jg7467.t1, jg19850.t1, jg24435.t1, jg16311.t3, jg16311.t2, jg16311.t1, jg19827.t1, jg2736.t1, jg20850.t1	Em0390g4a, Em0004g778a, Em0004g777a, Em0004g775a, Em0004g755a, Em0004g786a, Em0004g788a, Em0004g787a, Em0004g791a, Em0004g789a
OG0000160	jg19979.t1	Em0024g208a
OG0000164	jg21680.t1, jg23789.t1	Em0008g1254a, Em0008g1238a, Em0001g2523a, Em0014g552a, Em0007g209a, Em0014g879a, Em0082g3a, Em0014g878a, Em0082g2a, Em0007g192a, Em0007g217a, Em0007g227a, Em0007g151a, Em0007g159a, Em0007g189a, Em0007g193a, Em0007g144a, Em0007g126a, Em0232g5a, Em0007g166a, Em0007g213a, Em0009g292a, Em0009g304a
OG0000168	jg20799.t1	Em0013g654a, Em0008g607a, Em0816g3a, Em0013g411a, Em0013g413a, Em0013g421a, Em0001g84a
OG0000168	jg4374.t1, jg22784.t1, jg22787.t1, jg4375.t1, jg26703.t1	Em0006g1260a, Em0006g1273a, Em0013g937a, Em0013g916a, Em0013g896a, Em0013g907a, Em0013g910a, Em0013g946a, Em0013g921a
OG0000173	jg21896.t1, jg24023.t1, jg20174.t1, jg23535.t1, jg14082.t1, jg24024.t1	Em0013g1130a
OG0000173	jg30113.t1	Em0010g359a, Em0001g3206a, Em0654g1a, Em0640g2a, Em0096g14a, Em0002g1250a, Em0006g1192a, Em0008g694a, Em0013g1003a, Em0011g932a, Em0011g902a, Em0011g267a, Em0011g199a, Em0008g519a, Em0008g521a, Em0009g447a, Em0082g18a
OG0000173	jg30090.t1	Em0011g929a, Em0018g465a, Em0008g501a, Em0024g196a
OG0000174	jg14058.t1, jg1368.t1, jg2179.t1, jg5223.t1, jg13009.t1, jg19604.t1, jg14054.t1, jg5691.t1, jg26234.t1, jg26612.t1, jg26612.t2, jg12967.t1, jg26349.t1, jg20134.t1, jg203.t1, jg4903.t1, jg12168.t1, jg24064.t1, jg22810.t1, jg24203.t1, jg11278.t1, jg11269.t1, jg11793.t1, jg21798.t1, jg240.t1, jg24932.t1, jg3342.t1, jg16137.t1, jg11803.t1, jg13662.t1, jg5479.t1, jg19722.t1, jg17629.t1, jg3870.t1, jg16606.t1, jg4244.t1	Em0016g1158a
OG0000175	jg676.t1, jg678.t2, jg678.t1, jg28997.t1	Em0014g957a, Em0014g939a, Em0014g940a, Em0014g667a, Em0014g990a, Em0014g1006a, Em0014g1007a, Em0014g958a, Em0014g989a, Em0014g668a, Em0013g646a, Em0013g621a, Em0014g963a, Em0014g983a, Em0013g650a, Em0013g636a, Em0013g648a, Em0013g634a, Em0012g753a, Em0012g762a
OG0000175	jg19232.t1	Em0016g1004a
OG0000175	jg7673.t1	Em0009g66a
OG0000183	jg994.t1, jg991.t1, jg992.t1, jg993.t1, jg990.t1, jg26064.t1, jg26062.t1, jg3506.t1, jg26067.t1, jg26065.t1, jg141.t1, jg12651.t1, jg30142.t1, jg19669.t1, jg15040.t1, jg19662.t2, jg19662.t1	Em0143g1a, Em0011g455a, Em0012g767a, Em0008g1273a, Em0011g443a, Em0011g439a, Em0008g218a, Em0011g451a, Em0008g237a, Em0011g442a, Em0004g1743a, Em0004g1734a, Em0004g1733a, Em0004g1528a, Em0004g1748a, Em0004g1731a, Em0004g1746a
OG0000184	jg24013.t1	Em0017g861a, Em0017g741a, Em0840g1a, Em0187g7a, Em0036g12a, Em0903g1a, Em0012g371a, Em1181g2a, Em0623g2a, Em0409g4a, Em0902g3a, Em0001g2164a
OG0000185	jg11755.t1, jg23149.t1, jg25899.t1	Em0026g1a
OG0000185	jg19848.t1	Em0007g1189a, Em0001g7a, Em0002g682a, Em0021g822a, Em0030g17a, Em0016g531a
OG0000185	jg1523.t1, jg6642.t1, jg19538.t1, jg9068.t1	Em0020g540a, Em0014g505a, Em0003g548a, Em0622g2a, Em0001g3766a, Em0002g263a, Em0008g949a, Em0004g399a, Em0008g438a, Em0031g3a, Em0067g3a, Em0010g163a
OG0000191	jg11944.t1	Em0009g322a
OG0000191	jg26966.t1	Em0003g788a
OG0000194	jg11693.t1, jg11694.t1, jg11692.t1, jg25621.t1, jg27980.t1, jg2815.t1, jg2813.t1, jg6818.t1, jg4570.t1, jg6819.t1, jg6823.t1, jg14722.t1	Em0002g1342a, Em0002g1341a, Em0002g1228a, Em0002g1333a, Em0002g1393a, Em0002g1301a, Em0002g856a, Em0002g867a, Em0002g854a, Em0002g859a, Em0014g359a
OG0000203	jg14928.t1, jg14927.t1, jg28864.t1, jg14926.t1, jg28859.t1, jg14923.t1	Em0017g220a, Em0012g44a, Em0012g17a, Em0012g42a, Em0012g43a, Em0011g43a, Em0011g44a, Em0599g2a, Em0011g58a, Em0011g57a, Em0011g46a, Em0599g3a, Em0011g332a, Em0011g45a, Em0013g42a, Em0015g658a
OG0000213	jg5022.t1, jg30408.t1, jg25207.t1, jg29335.t1, jg1147.t1, jg25631.t1, jg26516.t1, jg27266.t1, jg1146.t1, jg20328.t1, jg7515.t1, jg24068.t1, jg24831.t1, jg24033.t1, jg29967.t1, jg28678.t1, jg26109.t1, jg13117.t1, jg137.t1	Em0004g1046a
OG0000214	jg23101.t1, jg13704.t1, jg202.t1, jg13706.t1, jg13707.t1, jg23112.t1, jg23113.t1, jg23115.t1, jg23114.t1, jg23111.t1	Em0024g59a, Em0024g81a, Em0024g82a, Em0001g853a, Em0001g855a, Em0001g1689a, Em0001g896a, Em0019g117a
OG0000214	jg19341.t1, jg13460.t1, jg13459.t1, jg19342.t1	Em0001g2242a
OG0000226	jg21771.t1	Em0093g16a, Em0036g35a, Em0006g284a, Em0011g137a, Em0002g1332a, Em0018g558a
OG0000226	jg1355.t1, jg27224.t1, jg26267.t1, jg8003.t1, jg2877.t1, jg20379.t1	Em0005g611a, Em0016g819a, Em0009g69a, Em0011g435a, Em0020g416a, Em0011g1048a, Em0001g3805a, Em0009g505a, Em0012g265a, Em0017g787a
OG0000227	jg6534.t1	Em0001g1563a
OG0000228	jg23157.t1, jg2161.t1, jg10166.t1, jg20486.t1, jg10657.t1, jg9147.t1	Em0106g10a, Em0006g1563a, Em0093g15a, Em0001g3726a, Em0004g889a, Em0015g720a, Em0010g771a, Em0001g2998a, Em0002g1811a, Em0014g316a, Em0001g3229a, Em0006g1443a, Em0002g1923a, Em0021g566a, Em0011g440a, Em0019g8a
OG0000238	jg11590.t1, jg11587.t1, jg11588.t1, jg11591.t1, jg11589.t1, jg15936.t1	Em0010g984a
OG0000239	jg14969.t1, jg19705.t1, jg14967.t1	Em0019g162a
OG0000240	jg5357.t1, jg5344.t1, jg5350.t1, jg11496.t1, jg4061.t1, jg5343.t1, jg25285.t1, jg23186.t1, jg23305.t1, jg22076.t1, jg12051.t1, jg5168.t1, jg23187.t1	Em0011g846a, Em0011g841a, Em0011g842a, Em0011g843a, Em0011g1022a, Em0006g1368a, Em0006g1358a, Em0005g1272a
OG0000242	jg20544.t1	Em0013g409a
OG0000242	jg18352.t1	Em0009g1208a, Em0009g1212a, Em0009g1178a, Em0003g1278a, Em0001g1975a
OG0000242	jg29365.t1, jg18351.t1	Em0009g1202a, Em0009g1209a, Em0009g1206a, Em0009g1204a, Em0009g1205a, Em0017g304a, Em0020g315a, Em0020g282a
OG0000252	jg4262.t1, jg25015.t1	Em0021g625a, Em0003g605a, Em0005g466a, Em0003g243a, Em0003g553a, Em0001g1566a, Em0012g369a, Em0003g513a, Em0001g3172a, Em0001g3177a, Em0012g796a, Em0008g520a, Em0002g1084a, Em0667g2a, Em0191g3a, Em0017g484a, Em0016g661a, Em0006g230a, Em0001g951a, Em0001g861a, Em0003g20a, Em0007g439a, Em0003g798a, Em0007g433a, Em0001g2948a, Em0008g522a
OG0000259	jg1373.t1	Em0031g36a, Em0587g2a, Em0031g46a
OG0000259	jg16408.t1	Em0016g417a
OG0000259	jg10372.t1	Em0014g486a, Em0008g1102a
OG0000263	jg20092.t1, jg4377.t1, jg19477.t1, jg4388.t1, jg21701.t1, jg20291.t1, jg20289.t1, jg20290.t1, jg20294.t1, jg20293.t1	Em0006g282a, Em0006g277a, Em0022g782a, Em0006g275a, Em0022g770a, Em0006g272a, Em0021g531a, Em0008g682a, Em0006g1018a
OG0000264	jg15487.t1	Em0001g2890a, Em0001g2913a, Em0006g82a, Em0014g621a, Em0007g1346a, Em0006g214a, Em0006g1373a, Em0064g2a, Em0001g1370a, Em0011g410a, Em0001g2208a
OG0000264	jg23452.t1	Em0003g354a, Em0089g14a
OG0000267	jg24574.t1	Em0012g696a, Em0012g688a, Em0006g258a, Em0012g677a, Em0003g760a, Em0012g138a, Em0012g121a, Em0012g133a, Em0012g134a, Em0012g135a, Em0012g19a, Em0012g68a, Em0012g65a, Em0012g61a, Em0012g90a, Em0012g67a, Em0012g60a, Em0012g62a, Em0012g66a, Em0012g108a, Em0012g96a, Em0012g89a, Em0012g130a, Em0012g114a, Em0012g129a, Em0012g132a, Em0012g101a, Em0012g63a, Em0340g1a, Em0854g1a, Em0012g55a
OG0000274	jg4587.t1	Em0002g436a, Em0022g445a, Em0975g1a, Em0022g463a, Em0353g1a, Em0022g464a, Em0022g456a, Em0022g452a, Em0012g567a
OG0000274	jg6864.t1, jg25261.t1, jg25937.t1	Em0005g1578a, Em0003g566a, Em0001g1702a, Em0008g906a, Em0007g864a
OG0000291	jg13794.t1	Em0003g331a, Em0016g371a, Em0015g283a, Em0015g276a
OG0000291	jg2633.t1, jg2635.t1, jg12721.t1	Em0005g1587a, Em0005g1582a, Em0005g1580a, Em0002g301a, Em0005g1563a, Em0005g1575a, Em0005g1535a, Em0005g1534a, Em0005g1536a
OG0000292	jg21519.t1, jg23836.t1, jg26767.t1, jg4667.t1, jg18618.t1	Em0001g615a, Em0001g609a, Em0006g635a, Em0020g984a, Em0020g991a
OG0000294	jg28346.t1, jg28345.t1, jg23464.t1, jg92.t1, jg6749.t1, jg93.t1, jg6748.t1, jg1320.t1	Em0001g1951a
OG0000297	jg22379.t1	Em0006g1319a, Em0006g1121a, Em0006g1090a
OG0000297	jg8927.t2, jg8927.t1	Em0011g318a, Em0051g14a
OG0000297	jg22377.t1	Em0004g1248a, Em0004g1245a, Em0011g316a, Em0006g864a, Em0006g866a, Em0006g870a, Em0406g3a, Em0006g1087a, Em0006g1118a
OG0000302	jg15104.t1, jg1562.t1, jg15105.t1, jg20381.t1, jg27157.t1	Em0007g935a, Em0007g927a, Em0001g581a, Em0014g507a, Em0014g463a, Em0006g1385a, Em0006g1366a, Em0006g1382a, Em0006g1383a, Em0008g244a, Em0008g241a, Em0008g242a, Em0008g245a, Em0005g961a, Em0013g1108a, Em0013g673a, Em0060g1a, Em0013g644a, Em0013g625a, Em0006g1060a, Em0013g663a, Em0060g2a, Em0013g676a
OG0000313	jg14845.t1	Em0001g281a, Em0001g293a
OG0000317	jg22960.t1	Em0019g333a
