Orthogroup	Niphates_augustus.hints.aa	Amphimedon_UP000007879_400682
OG0001594	jg24062.t1, jg244.t1, jg12438.t1, jg13705.t1, jg13176.t1	tr|A0A1X7TUN6|A0A1X7TUN6_AMPQE, tr|A0A1X7UTC5|A0A1X7UTC5_AMPQE, tr|A0A1X7TB02|A0A1X7TB02_AMPQE, tr|A0A1X7UC19|A0A1X7UC19_AMPQE, tr|A0A1X7UYC0|A0A1X7UYC0_AMPQE, tr|A0A1X7V562|A0A1X7V562_AMPQE
OG0001595	jg5515.t1, jg27281.t1	tr|A0A1X7UA55|A0A1X7UA55_AMPQE, tr|A0A1X7TBW6|A0A1X7TBW6_AMPQE, tr|A0A1X7U9A1|A0A1X7U9A1_AMPQE
OG0001596	jg16314.t1, jg27043.t1, jg10379.t1	tr|A0A1X7V202|A0A1X7V202_AMPQE, tr|A0A1X7VUB8|A0A1X7VUB8_AMPQE, tr|A0A1X7TCY8|A0A1X7TCY8_AMPQE, tr|A0A1X7VWA8|A0A1X7VWA8_AMPQE, tr|A0A1X7V963|A0A1X7V963_AMPQE, tr|A0A1X7TZE7|A0A1X7TZE7_AMPQE, tr|A0A1X7TZX0|A0A1X7TZX0_AMPQE
OG0001597	jg27612.t1	tr|A0A1X7TD35|A0A1X7TD35_AMPQE, tr|A0A1X7TD31|A0A1X7TD31_AMPQE
OG0001598	jg13050.t1, jg14086.t1, jg14085.t1, jg13049.t1	tr|A0A1X7TEB3|A0A1X7TEB3_AMPQE, tr|A0A1X7UFT4|A0A1X7UFT4_AMPQE
OG0001598	jg23608.t1	tr|A0A1X7URB9|A0A1X7URB9_AMPQE, tr|A0A1X7TPD6|A0A1X7TPD6_AMPQE, tr|A0A1X7URX4|A0A1X7URX4_AMPQE, tr|A0A1X7US97|A0A1X7US97_AMPQE
OG0001599	jg6203.t1	tr|A0A1X7U6M0|A0A1X7U6M0_AMPQE
OG0001600	jg24702.t1, jg20938.t2, jg22630.t1, jg22630.t2, jg20935.t1, jg20934.t1, jg22521.t1, jg20938.t1	tr|A0A1X7TEU7|A0A1X7TEU7_AMPQE
OG0001601	jg5169.t1, jg24270.t1, jg5167.t1, jg24271.t1	tr|A0A1X7TEZ8|A0A1X7TEZ8_AMPQE, tr|A0A1X7V2U3|A0A1X7V2U3_AMPQE, tr|A0A1X7TFP6|A0A1X7TFP6_AMPQE, tr|A0A1X7V3A6|A0A1X7V3A6_AMPQE, tr|A0A1X7TF10|A0A1X7TF10_AMPQE, tr|A0A1X7V203|A0A1X7V203_AMPQE, tr|A0A1X7V2P8|A0A1X7V2P8_AMPQE
OG0001602	jg2675.t1	tr|A0A1X7TTJ6|A0A1X7TTJ6_AMPQE, tr|A0A1X7TFI8|A0A1X7TFI8_AMPQE, tr|A0A1X7VK60|A0A1X7VK60_AMPQE
OG0001603	jg11867.t1, jg10330.t1, jg11866.t1, jg28902.t1, jg14878.t1, jg27509.t1, jg26763.t1, jg11806.t1, jg26774.t1	tr|A0A1X7TFR5|A0A1X7TFR5_AMPQE
OG0001604	jg9617.t1, jg25414.t1, jg9601.t1, jg9610.t1, jg9603.t1	tr|A0A1X7TJ90|A0A1X7TJ90_AMPQE, tr|A0A1X7TJZ5|A0A1X7TJZ5_AMPQE, tr|A0A1X7V2J8|A0A1X7V2J8_AMPQE, tr|A0A1X7V1V3|A0A1X7V1V3_AMPQE
OG0001605	jg15829.t1	tr|A0A1X7TRE0|A0A1X7TRE0_AMPQE, tr|A0A1X7TJM3|A0A1X7TJM3_AMPQE, tr|A0A1X7TLN5|A0A1X7TLN5_AMPQE, tr|A0A1X7TPP1|A0A1X7TPP1_AMPQE, tr|A0A1X7UW07|A0A1X7UW07_AMPQE, tr|A0A1X7TRP4|A0A1X7TRP4_AMPQE
OG0001606	jg476.t1	tr|A0A1X7VKG2|A0A1X7VKG2_AMPQE
OG0001607	jg16915.t1, jg30449.t1	tr|A0A1X7VW89|A0A1X7VW89_AMPQE
OG0001607	jg16023.t1, jg11482.t1	tr|A0A1X7V401|A0A1X7V401_AMPQE, tr|A0A1X7VGH5|A0A1X7VGH5_AMPQE, tr|A0A1X7TL86|A0A1X7TL86_AMPQE
OG0001608	jg2712.t1, jg17014.t1, jg2708.t1, jg2711.t1, jg2709.t1, jg2710.t1	tr|A0A1X7TLH1|A0A1X7TLH1_AMPQE
OG0001609	jg25590.t1, jg15469.t1, jg25589.t2, jg25589.t1, jg15467.t1, jg15467.t2, jg25595.t1	tr|A0A1X7VCH9|A0A1X7VCH9_AMPQE, tr|A0A1X7TM33|A0A1X7TM33_AMPQE
OG0001610	jg16100.t1, jg24476.t1, jg15516.t1	tr|A0A1X7U9B1|A0A1X7U9B1_AMPQE
OG0001610	jg30349.t1, jg21472.t1	tr|A0A1X7V217|A0A1X7V217_AMPQE, tr|A0A1X7TMM4|A0A1X7TMM4_AMPQE, tr|A0A1X7V9Q9|A0A1X7V9Q9_AMPQE, tr|A0A1X7TWP4|A0A1X7TWP4_AMPQE
OG0001611	jg15767.t1	tr|A0A1X7UCE9|A0A1X7UCE9_AMPQE, tr|A0A1X7US02|A0A1X7US02_AMPQE, tr|A0A1X7U125|A0A1X7U125_AMPQE, tr|A0A1X7TPG8|A0A1X7TPG8_AMPQE, tr|A0A1X7V3Z6|A0A1X7V3Z6_AMPQE, tr|A0A1X7VK69|A0A1X7VK69_AMPQE, tr|A0A1X7V6V1|A0A1X7V6V1_AMPQE
OG0001611	jg4977.t1	tr|A0A1X7U2V8|A0A1X7U2V8_AMPQE, tr|A0A1X7VIN8|A0A1X7VIN8_AMPQE
OG0001612	jg3832.t1, jg27519.t1, jg11750.t1, jg1470.t1, jg13547.t1, jg317.t1, jg29323.t1, jg15490.t1, jg19567.t1, jg27778.t1	tr|A0A1X7TSI1|A0A1X7TSI1_AMPQE
OG0001613	jg7221.t1	tr|A0A1X7TSP1|A0A1X7TSP1_AMPQE, tr|A0A1X7UZN2|A0A1X7UZN2_AMPQE
OG0001614	jg1038.t1, jg1037.t1, jg1036.t1, jg25827.t1	tr|A0A1X7UXF2|A0A1X7UXF2_AMPQE, tr|A0A1X7U6X7|A0A1X7U6X7_AMPQE, tr|A0A1X7U7P9|A0A1X7U7P9_AMPQE, tr|A0A1X7UY71|A0A1X7UY71_AMPQE, tr|A0A1X7TSV6|A0A1X7TSV6_AMPQE, tr|A0A1X7U855|A0A1X7U855_AMPQE, tr|A0A1X7UXF7|A0A1X7UXF7_AMPQE
OG0001615	jg30451.t1	tr|A0A1X7TV10|A0A1X7TV10_AMPQE
OG0001616	jg23737.t1	tr|A0A1X7URG0|A0A1X7URG0_AMPQE
OG0001616	jg23743.t1, jg23739.t1, jg23742.t1, jg23738.t1	tr|A0A1X7TWC3|A0A1X7TWC3_AMPQE
OG0001617	jg2507.t1	tr|A0A1X7VPA7|A0A1X7VPA7_AMPQE
OG0001617	jg2506.t1	tr|A0A1X7VND3|A0A1X7VND3_AMPQE
OG0001617	jg2508.t1	tr|A0A1X7VR60|A0A1X7VR60_AMPQE
OG0001617	jg2509.t1	tr|A0A1X7TWC9|A0A1X7TWC9_AMPQE, tr|A0A1X7VPX4|A0A1X7VPX4_AMPQE
OG0001617	jg2505.t1	tr|A0A1X7VPY8|A0A1X7VPY8_AMPQE
OG0001618	jg15275.t1, jg26427.t1	tr|A0A1X7TWN8|A0A1X7TWN8_AMPQE
OG0001618	jg17185.t1, jg24809.t1, jg1321.t1, jg20140.t1, jg17186.t1, jg17186.t2	tr|A0A1X7VYK5|A0A1X7VYK5_AMPQE, tr|A0A1X7TWV9|A0A1X7TWV9_AMPQE
OG0001619	jg8035.t1	tr|A0A1X7TYB0|A0A1X7TYB0_AMPQE
OG0001620	jg23262.t1, jg10515.t1, jg22748.t1, jg22746.t1	tr|A0A1X7UQ55|A0A1X7UQ55_AMPQE, tr|A0A1X7TYN7|A0A1X7TYN7_AMPQE
OG0001621	jg27327.t1, jg22561.t1, jg27320.t1	tr|A0A1X7TZP7|A0A1X7TZP7_AMPQE
OG0001622	jg17312.t1, jg16323.t1, jg10619.t1, jg3658.t1, jg27472.t1, jg17313.t1, jg9399.t1, jg10618.t1, jg8552.t1	tr|A0A1X7VJG2|A0A1X7VJG2_AMPQE, tr|A0A1X7TZQ6|A0A1X7TZQ6_AMPQE
OG0001623	jg5354.t1	tr|A0A1X7U556|A0A1X7U556_AMPQE
OG0001623	jg19023.t1	tr|A0A1X7UV91|A0A1X7UV91_AMPQE
OG0001624	jg5792.t1, jg7336.t1, jg23979.t1, jg461.t1, jg13177.t1, jg13178.t1, jg16263.t1, jg24900.t1, jg6511.t1, jg16440.t1	tr|A0A1X7U692|A0A1X7U692_AMPQE
OG0001625	jg29217.t1	tr|A0A1X7U7G0|A0A1X7U7G0_AMPQE
OG0001626	jg13895.t1	tr|A0A1X7V936|A0A1X7V936_AMPQE
OG0001626	jg964.t1	tr|A0A1X7U8I9|A0A1X7U8I9_AMPQE
OG0001627	jg14977.t1, jg19696.t1	tr|A0A1X7U8T8|A0A1X7U8T8_AMPQE
OG0001627	jg23071.t1	tr|A0A1X7VFN9|A0A1X7VFN9_AMPQE
OG0001628	jg23055.t1, jg23055.t2	tr|A0A1X7U9W6|A0A1X7U9W6_AMPQE
OG0001629	jg9176.t1, jg10632.t1, jg30021.t1, jg21037.t1, jg13034.t1, jg13045.t1, jg15233.t1	tr|A0A1X7V8N3|A0A1X7V8N3_AMPQE, tr|A0A1X7V6J8|A0A1X7V6J8_AMPQE, tr|A0A1X7UAH2|A0A1X7UAH2_AMPQE
OG0001630	jg26738.t1	tr|A0A1X7UCB3|A0A1X7UCB3_AMPQE, tr|A0A1X7VBN5|A0A1X7VBN5_AMPQE
OG0001631	jg23240.t1	tr|A0A1X7UCT3|A0A1X7UCT3_AMPQE
OG0001632	jg20050.t1	tr|A0A1X7V579|A0A1X7V579_AMPQE
OG0001632	jg26660.t1, jg8007.t1	tr|A0A1X7UED0|A0A1X7UED0_AMPQE
OG0001633	jg4519.t1, jg4525.t1, jg4526.t1, jg21359.t1	tr|A0A1X7UGK7|A0A1X7UGK7_AMPQE
OG0001633	jg20853.t1	tr|A0A1X7VMZ6|A0A1X7VMZ6_AMPQE, tr|A0A1X7VPW3|A0A1X7VPW3_AMPQE, tr|A0A1X7VNH9|A0A1X7VNH9_AMPQE
OG0001634	jg16667.t1, jg22022.t1, jg5774.t1, jg5304.t1, jg5775.t1, jg13664.t1, jg8579.t1, jg22021.t1, jg16668.t1	tr|A0A1X7UGY1|A0A1X7UGY1_AMPQE, tr|A0A1X7VYF2|A0A1X7VYF2_AMPQE
OG0001635	jg6862.t1, jg25259.t1	tr|A0A1X7UID3|A0A1X7UID3_AMPQE
OG0001635	jg25257.t1, jg6860.t1	tr|A0A1X7UID4|A0A1X7UID4_AMPQE
OG0001636	jg809.t1	tr|A0A1X7UJ06|A0A1X7UJ06_AMPQE, tr|A0A1X7VJJ1|A0A1X7VJJ1_AMPQE
OG0001636	jg17765.t1, jg27582.t1, jg11767.t1, jg21117.t1, jg21577.t1, jg6786.t1	tr|A0A1X7VFX8|A0A1X7VFX8_AMPQE
OG0001637	jg14841.t1, jg14839.t1, jg2197.t1, jg14849.t2, jg14849.t1, jg23205.t1	tr|A0A1X7UJ30|A0A1X7UJ30_AMPQE
OG0001638	jg30356.t1, jg27829.t1	tr|A0A1X7UJR3|A0A1X7UJR3_AMPQE
OG0001638	jg24502.t1, jg2985.t1	tr|A0A1X7VXC8|A0A1X7VXC8_AMPQE
OG0001639	jg12770.t1, jg12770.t2	tr|A0A1X7UMC1|A0A1X7UMC1_AMPQE
OG0001640	jg15693.t1	tr|A0A1X7UMR6|A0A1X7UMR6_AMPQE, tr|A0A1X7UMF2|A0A1X7UMF2_AMPQE
OG0001640	jg13823.t1, jg14451.t1	tr|A0A1X7VJT9|A0A1X7VJT9_AMPQE
OG0001640	jg12613.t1, jg935.t1	tr|A0A1X7V841|A0A1X7V841_AMPQE
OG0001641	jg1879.t1	tr|A0A1X7UNS8|A0A1X7UNS8_AMPQE, tr|A0A1X7UPH4|A0A1X7UPH4_AMPQE
OG0001641	jg2780.t1	tr|A0A1X7VL65|A0A1X7VL65_AMPQE
OG0001642	jg22892.t1, jg19335.t1, jg19336.t1, jg22039.t1, jg4027.t1, jg22895.t1, jg9767.t1, jg27638.t1	tr|A0A1X7V2I0|A0A1X7V2I0_AMPQE, tr|A0A1X7UPR4|A0A1X7UPR4_AMPQE
OG0001643	jg6360.t1, jg6359.t1	tr|A0A1X7UQY5|A0A1X7UQY5_AMPQE, tr|A0A1X7URD2|A0A1X7URD2_AMPQE
OG0001644	jg12193.t1	tr|A0A1X7USH8|A0A1X7USH8_AMPQE
OG0001645	jg19552.t1, jg16111.t1, jg6630.t2, jg6630.t1, jg19518.t1, jg19529.t1, jg19520.t1, jg6640.t1, jg6621.t1, jg16109.t1	tr|A0A1X7UU21|A0A1X7UU21_AMPQE
OG0001646	jg21560.t1, jg21548.t1, jg3960.t1, jg3956.t1, jg21556.t1, jg21554.t1, jg21562.t1, jg21546.t1, jg3954.t1	tr|A0A1X7UU90|A0A1X7UU90_AMPQE
OG0001647	jg13304.t1	tr|A0A1X7UUU0|A0A1X7UUU0_AMPQE
OG0001649	jg12328.t1	tr|A0A1X7V0Q5|A0A1X7V0Q5_AMPQE
OG0001649	jg19077.t1	tr|A0A1X7UVU2|A0A1X7UVU2_AMPQE
OG0001650	jg8735.t1	tr|A0A1X7UW51|A0A1X7UW51_AMPQE
OG0001651	jg18690.t1	tr|A0A1X7UXT4|A0A1X7UXT4_AMPQE
OG0001652	jg27515.t1, jg5602.t1, jg7376.t1, jg23982.t1, jg5314.t1, jg13542.t1, jg7375.t1, jg23983.t1, jg5603.t1, jg5313.t1	tr|A0A1X7UYJ3|A0A1X7UYJ3_AMPQE
OG0001653	jg4315.t1	tr|A0A1X7V0M8|A0A1X7V0M8_AMPQE
OG0001653	jg7113.t1	tr|A0A1X7VPW9|A0A1X7VPW9_AMPQE
OG0001654	jg28398.t1	tr|A0A1X7VAP2|A0A1X7VAP2_AMPQE
OG0001654	jg10212.t1	tr|A0A1X7V271|A0A1X7V271_AMPQE
OG0001655	jg22545.t1, jg11680.t1, jg23729.t2, jg23729.t1, jg22544.t1, jg11681.t1	tr|A0A1X7V3T3|A0A1X7V3T3_AMPQE, tr|A0A1X7V523|A0A1X7V523_AMPQE, tr|A0A1X7V341|A0A1X7V341_AMPQE, tr|A0A1X7VET3|A0A1X7VET3_AMPQE
OG0001657	jg23800.t1, jg18769.t1	tr|A0A1X7V805|A0A1X7V805_AMPQE
OG0001658	jg6159.t1, jg26043.t1, jg6143.t1, jg20910.t1, jg26036.t1, jg6158.t1, jg26034.t1, jg6140.t1	tr|A0A1X7V847|A0A1X7V847_AMPQE
OG0001659	jg17502.t1	tr|A0A1X7VC35|A0A1X7VC35_AMPQE
OG0001659	jg17500.t1	tr|A0A1X7VB72|A0A1X7VB72_AMPQE
OG0001659	jg17501.t1	tr|A0A1X7VC00|A0A1X7VC00_AMPQE
OG0001660	jg3804.t1, jg3805.t1, jg3806.t1	tr|A0A1X7VI04|A0A1X7VI04_AMPQE
OG0001661	jg25159.t1	tr|A0A1X7VID9|A0A1X7VID9_AMPQE
OG0001662	jg9096.t1	tr|A0A1X7VKF6|A0A1X7VKF6_AMPQE
OG0001663	jg2456.t1	tr|A0A1X7VKX7|A0A1X7VKX7_AMPQE
OG0001664	jg2451.t1	tr|A0A1X7VKY2|A0A1X7VKY2_AMPQE
OG0001665	jg12225.t1	tr|A0A1X7VLM8|A0A1X7VLM8_AMPQE
OG0001667	jg28186.t1	tr|A0A1X7VNC6|A0A1X7VNC6_AMPQE
OG0001668	jg2528.t1, jg2525.t1	tr|A0A1X7VPD1|A0A1X7VPD1_AMPQE
OG0001670	jg24201.t1, jg9667.t1, jg24190.t1, jg29321.t1, jg5371.t1	tr|A0A1X7VT15|A0A1X7VT15_AMPQE
OG0001671	jg27053.t1, jg27059.t1, jg27889.t1, jg27889.t2, jg27896.t1, jg27895.t1	tr|A0A1X7VTA3|A0A1X7VTA3_AMPQE
OG0001672	jg20014.t1, jg20017.t1	tr|A0A1X7VTY9|A0A1X7VTY9_AMPQE
OG0001674	jg23657.t1	tr|A0A1X7VWQ7|A0A1X7VWQ7_AMPQE
OG0001675	jg10959.t1	tr|A0A1X7VWV1|A0A1X7VWV1_AMPQE
OG0001762	jg17388.t1	tr|A0A1X7SDB7|A0A1X7SDB7_AMPQE, tr|A0A1X7VCQ7|A0A1X7VCQ7_AMPQE
OG0001763	jg23736.t1, jg23736.t2	tr|A0A1X7UPQ2|A0A1X7UPQ2_AMPQE
OG0001763	jg19401.t1, jg19397.t1	tr|A0A1X7SDQ0|A0A1X7SDQ0_AMPQE
OG0001764	jg30278.t1, jg6372.t1	tr|A0A1X7SRY9|A0A1X7SRY9_AMPQE, tr|A0A1X7UFV1|A0A1X7UFV1_AMPQE, tr|A0A1X7SDS5|A0A1X7SDS5_AMPQE, tr|A0A1X7SVA1|A0A1X7SVA1_AMPQE
OG0001765	jg8761.t1	tr|A0A1X7UPV2|A0A1X7UPV2_AMPQE
OG0001765	jg8770.t1	tr|A0A1X7UPJ6|A0A1X7UPJ6_AMPQE, tr|A0A1X7U4Q3|A0A1X7U4Q3_AMPQE
OG0001765	jg8766.t1	tr|A0A1X7U4H1|A0A1X7U4H1_AMPQE
OG0001766	jg2838.t1, jg6543.t1	tr|A0A1X7SE16|A0A1X7SE16_AMPQE
OG0001766	jg22955.t1, jg2821.t1, jg16098.t1, jg26345.t1, jg15293.t2, jg15293.t1	tr|A0A1X7VJR3|A0A1X7VJR3_AMPQE
OG0001767	jg9500.t1, jg3743.t1, jg9501.t1, jg27035.t1	tr|A0A1X7SEC0|A0A1X7SEC0_AMPQE, tr|A0A1X7SQT2|A0A1X7SQT2_AMPQE, tr|A0A1X7UN89|A0A1X7UN89_AMPQE, tr|A0A1X7UIR8|A0A1X7UIR8_AMPQE, tr|A0A1X7TK09|A0A1X7TK09_AMPQE
OG0001768	jg15546.t1	tr|A0A1X7ULQ7|A0A1X7ULQ7_AMPQE, tr|A0A1X7SI85|A0A1X7SI85_AMPQE, tr|A0A1X7SVN4|A0A1X7SVN4_AMPQE, tr|A0A1X7TI15|A0A1X7TI15_AMPQE, tr|A0A1X7SYK1|A0A1X7SYK1_AMPQE, tr|A0A1X7SED4|A0A1X7SED4_AMPQE, tr|A0A1X7T7E9|A0A1X7T7E9_AMPQE, tr|A0A1X7SET7|A0A1X7SET7_AMPQE, tr|A0A1X7T2R3|A0A1X7T2R3_AMPQE
OG0001769	jg22959.t1, jg2843.t1, jg6538.t1	tr|A0A1X7V9I9|A0A1X7V9I9_AMPQE, tr|A0A1X7TBU0|A0A1X7TBU0_AMPQE, tr|A0A1X7UCZ5|A0A1X7UCZ5_AMPQE, tr|A0A1X7SEE3|A0A1X7SEE3_AMPQE, tr|A0A1X7UBD8|A0A1X7UBD8_AMPQE, tr|A0A1X7SF46|A0A1X7SF46_AMPQE
OG0001770	jg6053.t1, jg6061.t1, jg6057.t1, jg1398.t1	tr|A0A1X7TJT9|A0A1X7TJT9_AMPQE, tr|A0A1X7TJX9|A0A1X7TJX9_AMPQE, tr|A0A1X7SEH7|A0A1X7SEH7_AMPQE
OG0001771	jg956.t1	tr|A0A1X7SRL3|A0A1X7SRL3_AMPQE, tr|A0A1X7U8J8|A0A1X7U8J8_AMPQE, tr|A0A1X7UBG3|A0A1X7UBG3_AMPQE, tr|A0A1X7SKX8|A0A1X7SKX8_AMPQE, tr|A0A1X7SY45|A0A1X7SY45_AMPQE, tr|A0A1X7SEK2|A0A1X7SEK2_AMPQE, tr|A0A1X7UW33|A0A1X7UW33_AMPQE, tr|A0A1X7SWZ3|A0A1X7SWZ3_AMPQE, tr|A0A1X7U7R5|A0A1X7U7R5_AMPQE
OG0001772	jg25948.t1	tr|A0A1X7UW90|A0A1X7UW90_AMPQE, tr|A0A1X7T7A9|A0A1X7T7A9_AMPQE, tr|A0A1X7UXM9|A0A1X7UXM9_AMPQE, tr|A0A1X7STH3|A0A1X7STH3_AMPQE, tr|A0A1X7TI85|A0A1X7TI85_AMPQE, tr|A0A1X7SER1|A0A1X7SER1_AMPQE, tr|A0A1X7TSA9|A0A1X7TSA9_AMPQE
OG0001776	jg21434.t2	tr|A0A1X7SV32|A0A1X7SV32_AMPQE, tr|A0A1X7T5E3|A0A1X7T5E3_AMPQE, tr|A0A1X7SFM2|A0A1X7SFM2_AMPQE, tr|A0A1X7UJN6|A0A1X7UJN6_AMPQE, tr|A0A1X7TCF4|A0A1X7TCF4_AMPQE, tr|A0A1X7SFM8|A0A1X7SFM8_AMPQE, tr|A0A1X7SI24|A0A1X7SI24_AMPQE, tr|A0A1X7TT51|A0A1X7TT51_AMPQE, tr|A0A1X7SYF9|A0A1X7SYF9_AMPQE
OG0001778	jg29096.t1	tr|A0A1X7TED8|A0A1X7TED8_AMPQE, tr|A0A1X7V355|A0A1X7V355_AMPQE, tr|A0A1X7SXJ6|A0A1X7SXJ6_AMPQE, tr|A0A1X7SZ55|A0A1X7SZ55_AMPQE, tr|A0A1X7T005|A0A1X7T005_AMPQE, tr|A0A1X7SFQ0|A0A1X7SFQ0_AMPQE, tr|A0A1X7SJ68|A0A1X7SJ68_AMPQE
OG0001781	jg619.t1, jg3535.t1	tr|A0A1X7SUG8|A0A1X7SUG8_AMPQE, tr|A0A1X7TSP2|A0A1X7TSP2_AMPQE, tr|A0A1X7T947|A0A1X7T947_AMPQE, tr|A0A1X7SFS9|A0A1X7SFS9_AMPQE, tr|A0A1X7TUY7|A0A1X7TUY7_AMPQE, tr|A0A1X7TEY3|A0A1X7TEY3_AMPQE, tr|A0A1X7T2D1|A0A1X7T2D1_AMPQE, tr|A0A1X7TEL8|A0A1X7TEL8_AMPQE
OG0001782	jg1913.t1	tr|A0A1X7SRP7|A0A1X7SRP7_AMPQE, tr|A0A1X7TTQ2|A0A1X7TTQ2_AMPQE, tr|I1F3D4|I1F3D4_AMPQE, tr|A0A1X7SSB4|A0A1X7SSB4_AMPQE, tr|A0A1X7SLF6|A0A1X7SLF6_AMPQE, tr|A0A1X7SFU0|A0A1X7SFU0_AMPQE
OG0001784	jg14377.t1, jg14385.t1	tr|A0A1X7SNT1|A0A1X7SNT1_AMPQE, tr|A0A1X7UN07|A0A1X7UN07_AMPQE, tr|A0A1X7UMB3|A0A1X7UMB3_AMPQE
OG0001786	jg23281.t1	tr|A0A1X7UT61|A0A1X7UT61_AMPQE, tr|A0A1X7SGG4|A0A1X7SGG4_AMPQE, tr|A0A1X7SPB5|A0A1X7SPB5_AMPQE, tr|A0A1X7TF70|A0A1X7TF70_AMPQE, tr|A0A1X7U0N7|A0A1X7U0N7_AMPQE, tr|A0A1X7U826|A0A1X7U826_AMPQE, tr|A0A1X7VPN7|A0A1X7VPN7_AMPQE, tr|A0A1X7TK80|A0A1X7TK80_AMPQE, tr|A0A1X7TFE5|A0A1X7TFE5_AMPQE
OG0001787	jg1280.t1	tr|A0A1X7VP16|A0A1X7VP16_AMPQE
OG0001787	jg1274.t1, jg1274.t2	tr|A0A1X7SGI4|A0A1X7SGI4_AMPQE, tr|A0A1X7VNE7|A0A1X7VNE7_AMPQE, tr|A0A1X7TJK6|A0A1X7TJK6_AMPQE, tr|A0A1X7VNY9|A0A1X7VNY9_AMPQE, tr|A0A1X7VMH6|A0A1X7VMH6_AMPQE, tr|A0A1X7T8Y5|A0A1X7T8Y5_AMPQE
OG0001789	jg18508.t1	tr|A0A1X7TSA1|A0A1X7TSA1_AMPQE, tr|A0A1X7TDJ3|A0A1X7TDJ3_AMPQE, tr|A0A1X7TDW2|A0A1X7TDW2_AMPQE, tr|A0A1X7SGQ4|A0A1X7SGQ4_AMPQE, tr|A0A1X7T3M9|A0A1X7T3M9_AMPQE, tr|A0A1X7TD76|A0A1X7TD76_AMPQE
OG0001790	jg28660.t1	tr|A0A1X7UNQ4|A0A1X7UNQ4_AMPQE, tr|A0A1X7T5E1|A0A1X7T5E1_AMPQE, tr|A0A1X7TDD6|A0A1X7TDD6_AMPQE
OG0001790	jg16682.t1	tr|A0A1X7VWY3|A0A1X7VWY3_AMPQE, tr|A0A1X7SGU0|A0A1X7SGU0_AMPQE, tr|A0A1X7VW88|A0A1X7VW88_AMPQE, tr|A0A1X7VHN8|A0A1X7VHN8_AMPQE, tr|A0A1X7SUE5|A0A1X7SUE5_AMPQE
OG0001791	jg15977.t1, jg387.t1, jg387.t2, jg15977.t2	tr|A0A1X7STL9|A0A1X7STL9_AMPQE, tr|A0A1X7SGW2|A0A1X7SGW2_AMPQE, tr|I1EYW3|I1EYW3_AMPQE
OG0001795	jg4515.t1, jg5210.t1, jg5212.t1, jg21377.t1, jg25641.t1, jg3161.t1	tr|A0A1X7UYV8|A0A1X7UYV8_AMPQE, tr|A0A1X7SHE7|A0A1X7SHE7_AMPQE
OG0001796	jg6452.t1, jg19580.t1	tr|A0A1X7VND1|A0A1X7VND1_AMPQE, tr|A0A1X7SHG9|A0A1X7SHG9_AMPQE
OG0001798	jg18276.t1, jg11364.t1	tr|A0A1X7U3L9|A0A1X7U3L9_AMPQE, tr|A0A1X7SN43|A0A1X7SN43_AMPQE, tr|A0A1X7UH13|A0A1X7UH13_AMPQE, tr|A0A1X7SHL8|A0A1X7SHL8_AMPQE, tr|A0A1X7VPL5|A0A1X7VPL5_AMPQE, tr|A0A1X7UG59|A0A1X7UG59_AMPQE
OG0001799	jg24549.t1, jg24549.t2, jg11613.t1	tr|A0A1X7T5S8|A0A1X7T5S8_AMPQE, tr|A0A1X7TM42|A0A1X7TM42_AMPQE, tr|A0A1X7T6H0|A0A1X7T6H0_AMPQE, tr|A0A1X7T0W5|A0A1X7T0W5_AMPQE, tr|A0A1X7SHM7|A0A1X7SHM7_AMPQE, tr|A0A1X7TLC8|A0A1X7TLC8_AMPQE
OG0001800	jg12545.t1	tr|A0A1X7SM69|A0A1X7SM69_AMPQE, tr|A0A1X7TYY6|A0A1X7TYY6_AMPQE, tr|A0A1X7T1S0|A0A1X7T1S0_AMPQE, tr|A0A1X7SHM8|A0A1X7SHM8_AMPQE
OG0001801	jg7250.t1	tr|A0A1X7UG45|A0A1X7UG45_AMPQE
OG0001801	jg28038.t1	tr|A0A1X7SHT1|A0A1X7SHT1_AMPQE, tr|A0A1X7VDZ2|A0A1X7VDZ2_AMPQE
OG0001802	jg15335.t1	tr|A0A1X7SX99|A0A1X7SX99_AMPQE, tr|A0A1X7U152|A0A1X7U152_AMPQE
OG0001802	jg17106.t1	tr|A0A1X7SHZ3|A0A1X7SHZ3_AMPQE, tr|A0A1X7V9H6|A0A1X7V9H6_AMPQE, tr|A0A1X7UVI9|A0A1X7UVI9_AMPQE, tr|A0A1X7V6J5|A0A1X7V6J5_AMPQE, tr|A0A1X7TEG8|A0A1X7TEG8_AMPQE, tr|A0A1X7U8F7|A0A1X7U8F7_AMPQE
OG0001803	jg24099.t1, jg1054.t1	tr|A0A1X7U238|A0A1X7U238_AMPQE, tr|A0A1X7TIH3|A0A1X7TIH3_AMPQE, tr|A0A1X7UAH0|A0A1X7UAH0_AMPQE
OG0001803	jg24101.t1	tr|A0A1X7SI52|A0A1X7SI52_AMPQE
OG0001803	jg1056.t1, jg24102.t1	tr|A0A1X7U8R4|A0A1X7U8R4_AMPQE
