Orthogroup	Amphimedon_UP000007879_400682	Niphates_augustus.hints.aa
OG0000888	tr|A0A1X7VJU7|A0A1X7VJU7_AMPQE	jg406.t1
OG0000888	tr|A0A1X7TY92|A0A1X7TY92_AMPQE	jg22122.t1, jg17609.t1
OG0000888	tr|A0A1X7UBE7|A0A1X7UBE7_AMPQE	jg22127.t1, jg22127.t2, jg27454.t1, jg19788.t1, jg5110.t1
OG0000889	tr|A0A1X7U985|A0A1X7U985_AMPQE	jg29963.t1, jg25271.t1, jg2062.t1, jg22849.t1, jg22851.t1, jg27626.t1, jg26459.t1, jg636.t1, jg3611.t1, jg7364.t1, jg26145.t1, jg7762.t1, jg177.t1, jg26306.t1, jg23159.t1
OG0000890	tr|A0A1X7UBK6|A0A1X7UBK6_AMPQE, tr|A0A1X7UCX8|A0A1X7UCX8_AMPQE	jg21615.t1, jg8882.t1
OG0000891	tr|A0A1X7UEU1|A0A1X7UEU1_AMPQE	jg13824.t1
OG0000891	tr|A0A1X7V375|A0A1X7V375_AMPQE	jg13822.t1
OG0000892	tr|A0A1X7UFX3|A0A1X7UFX3_AMPQE	jg4368.t1, jg16532.t1, jg17926.t1, jg4211.t1, jg17928.t1, jg4212.t1, jg6166.t1, jg17927.t1, jg4214.t1, jg4210.t1, jg17924.t1, jg6167.t1, jg17925.t1, jg17929.t1, jg4213.t1
OG0000893	tr|A0A1X7VN63|A0A1X7VN63_AMPQE	jg15008.t1, jg14990.t1, jg14998.t1
OG0000893	tr|A0A1X7UGM9|A0A1X7UGM9_AMPQE	jg19754.t1
OG0000894	tr|A0A1X7UME1|A0A1X7UME1_AMPQE, tr|A0A1X7UP53|A0A1X7UP53_AMPQE	jg699.t1, jg21404.t1, jg23426.t1, jg9186.t1, jg4831.t1, jg7621.t1
OG0000894	tr|A0A1X7UNF8|A0A1X7UNF8_AMPQE	jg29343.t1, jg15745.t1, jg22037.t1, jg644.t1, jg4683.t1, jg23423.t1, jg22038.t1
OG0000895	tr|A0A1X7UMW3|A0A1X7UMW3_AMPQE, tr|A0A1X7V640|A0A1X7V640_AMPQE, tr|A0A1X7UNX4|A0A1X7UNX4_AMPQE	jg27947.t1
OG0000895	tr|A0A1X7UNK7|A0A1X7UNK7_AMPQE	jg27944.t1
OG0000896	tr|A0A1X7UNH7|A0A1X7UNH7_AMPQE	jg14587.t1
OG0000897	tr|A0A1X7UR19|A0A1X7UR19_AMPQE	jg27379.t1, jg7900.t1, jg21570.t1, jg11114.t1, jg9410.t1, jg19499.t1, jg19498.t1, jg7293.t1, jg9409.t1, jg26926.t1, jg3565.t1, jg19766.t1, jg27378.t1, jg9408.t1, jg21569.t1
OG0000898	tr|A0A1X7VNN5|A0A1X7VNN5_AMPQE, tr|A0A1X7URF6|A0A1X7URF6_AMPQE	jg1735.t1, jg16644.t1, jg16645.t1, jg26838.t1, jg13149.t1, jg8553.t1, jg10857.t1, jg27392.t1, jg21146.t1, jg3339.t1, jg15473.t1, jg19986.t1, jg24381.t1, jg11842.t1
OG0000899	tr|A0A1X7USE6|A0A1X7USE6_AMPQE	jg18054.t1, jg27066.t1, jg27884.t1, jg27065.t1, jg27885.t1
OG0000901	tr|A0A1X7UTL2|A0A1X7UTL2_AMPQE	jg3947.t1, jg21539.t1, jg3940.t1
OG0000901	tr|A0A1X7UUA0|A0A1X7UUA0_AMPQE	jg3938.t1, jg3942.t1, jg21536.t1, jg3945.t1, jg3937.t1, jg21537.t1
OG0000902	tr|A0A1X7V8R2|A0A1X7V8R2_AMPQE	jg26015.t1, jg6129.t1, jg6135.t1, jg26005.t1, jg6125.t1, jg26019.t1, jg26009.t1, jg26008.t1, jg6127.t1, jg26026.t1, jg26014.t1
OG0000902	tr|A0A1X7UW01|A0A1X7UW01_AMPQE	jg18987.t1
OG0000903	tr|A0A1X7V0W8|A0A1X7V0W8_AMPQE	jg12376.t1
OG0000904	tr|A0A1X7V7H6|A0A1X7V7H6_AMPQE	jg23307.t1, jg24622.t1, jg12439.t1, jg23308.t1
OG0000905	tr|A0A1X7VHK5|A0A1X7VHK5_AMPQE	jg25189.t1
OG0000906	tr|A0A1X7VID1|A0A1X7VID1_AMPQE	jg19362.t1, jg13438.t1
OG0000907	tr|A0A1X7VM44|A0A1X7VM44_AMPQE	jg28192.t1
OG0000908	tr|A0A1X7VWP3|A0A1X7VWP3_AMPQE	jg15992.t1, jg7564.t1, jg3473.t1, jg3473.t2, jg4645.t1
OG0000939	tr|A0A1X7SDQ5|A0A1X7SDQ5_AMPQE, tr|A0A1X7VCN6|A0A1X7VCN6_AMPQE	jg11478.t1
OG0000939	tr|A0A1X7SX66|A0A1X7SX66_AMPQE, tr|A0A1X7UE75|A0A1X7UE75_AMPQE	jg18616.t1
OG0000943	tr|A0A1X7TET9|A0A1X7TET9_AMPQE, tr|A0A1X7T2S1|A0A1X7T2S1_AMPQE, tr|A0A1X7SEH0|A0A1X7SEH0_AMPQE, tr|A0A1X7USU0|A0A1X7USU0_AMPQE, tr|A0A1X7SLW8|A0A1X7SLW8_AMPQE, tr|A0A1X7SYM1|A0A1X7SYM1_AMPQE, tr|A0A1X7TQM2|A0A1X7TQM2_AMPQE, tr|A0A1X7TE54|A0A1X7TE54_AMPQE, tr|A0A1X7T130|A0A1X7T130_AMPQE, tr|A0A1X7TVB3|A0A1X7TVB3_AMPQE, tr|A0A1X7T199|A0A1X7T199_AMPQE, tr|A0A1X7SLL3|A0A1X7SLL3_AMPQE, tr|A0A1X7U0Z5|A0A1X7U0Z5_AMPQE, tr|A0A1X7SQ71|A0A1X7SQ71_AMPQE	jg16319.t1
OG0000945	tr|A0A1X7TRP0|A0A1X7TRP0_AMPQE, tr|A0A1X7TJL5|A0A1X7TJL5_AMPQE, tr|A0A1X7SL57|A0A1X7SL57_AMPQE, tr|A0A1X7TWH0|A0A1X7TWH0_AMPQE, tr|A0A1X7T825|A0A1X7T825_AMPQE, tr|A0A1X7SRG2|A0A1X7SRG2_AMPQE, tr|A0A1X7SGE5|A0A1X7SGE5_AMPQE, tr|A0A1X7T7K7|A0A1X7T7K7_AMPQE, tr|A0A1X7TFG0|A0A1X7TFG0_AMPQE, tr|A0A1X7T4E0|A0A1X7T4E0_AMPQE, tr|A0A1X7SFE4|A0A1X7SFE4_AMPQE, tr|A0A1X7TUF9|A0A1X7TUF9_AMPQE	jg969.t2, jg969.t1
OG0000948	tr|A0A1X7SIK5|A0A1X7SIK5_AMPQE	jg14068.t1
OG0000948	tr|A0A1X7U5T3|A0A1X7U5T3_AMPQE, tr|A0A1X7THW1|A0A1X7THW1_AMPQE	jg20146.t1
OG0000948	tr|A0A1X7VXE8|A0A1X7VXE8_AMPQE, tr|A0A1X7TVJ8|A0A1X7TVJ8_AMPQE, tr|A0A1X7SGE6|A0A1X7SGE6_AMPQE, tr|A0A1X7T7D0|A0A1X7T7D0_AMPQE, tr|A0A1X7T8I4|A0A1X7T8I4_AMPQE, tr|I1ERT6|I1ERT6_AMPQE	jg1822.t1, jg6558.t1
OG0000949	tr|A0A1X7TS87|A0A1X7TS87_AMPQE, tr|A0A1X7T241|A0A1X7T241_AMPQE, tr|A0A1X7SWX2|A0A1X7SWX2_AMPQE, tr|A0A1X7TNU8|A0A1X7TNU8_AMPQE, tr|A0A1X7TR58|A0A1X7TR58_AMPQE, tr|A0A1X7SGQ2|A0A1X7SGQ2_AMPQE, tr|A0A1X7U716|A0A1X7U716_AMPQE, tr|A0A1X7TGJ5|A0A1X7TGJ5_AMPQE, tr|A0A1X7T5C7|A0A1X7T5C7_AMPQE, tr|A0A1X7SL07|A0A1X7SL07_AMPQE, tr|A0A1X7TFN5|A0A1X7TFN5_AMPQE, tr|A0A1X7UYK3|A0A1X7UYK3_AMPQE, tr|A0A1X7TRS1|A0A1X7TRS1_AMPQE, tr|A0A1X7SWI0|A0A1X7SWI0_AMPQE	jg30181.t1
OG0000953	tr|A0A1X7SJ63|A0A1X7SJ63_AMPQE, tr|A0A1X7VJN2|A0A1X7VJN2_AMPQE	jg11045.t2, jg11045.t1, jg11045.t3
OG0000954	tr|A0A1X7TAX3|A0A1X7TAX3_AMPQE	jg17782.t1
OG0000954	tr|A0A1X7SLG3|A0A1X7SLG3_AMPQE, tr|A0A1X7T701|A0A1X7T701_AMPQE, tr|A0A1X7TRK3|A0A1X7TRK3_AMPQE, tr|A0A1X7SJR6|A0A1X7SJR6_AMPQE, tr|A0A1X7TBD9|A0A1X7TBD9_AMPQE, tr|A0A1X7SLF2|A0A1X7SLF2_AMPQE, tr|A0A1X7THY0|A0A1X7THY0_AMPQE, tr|A0A1X7TH96|A0A1X7TH96_AMPQE, tr|A0A1X7U736|A0A1X7U736_AMPQE, tr|A0A1X7TXU6|A0A1X7TXU6_AMPQE	jg18296.t1, jg8661.t1, jg1230.t1
OG0000955	tr|A0A1X7TPK8|A0A1X7TPK8_AMPQE, tr|A0A1X7SKI0|A0A1X7SKI0_AMPQE, tr|A0A1X7TGU9|A0A1X7TGU9_AMPQE, tr|A0A1X7URW4|A0A1X7URW4_AMPQE, tr|A0A1X7T5Y5|A0A1X7T5Y5_AMPQE, tr|A0A1X7U1L9|A0A1X7U1L9_AMPQE, tr|A0A1X7TSR4|A0A1X7TSR4_AMPQE, tr|A0A1X7TF80|A0A1X7TF80_AMPQE, tr|A0A1X7TS43|A0A1X7TS43_AMPQE, tr|A0A1X7T9D4|A0A1X7T9D4_AMPQE, tr|A0A1X7T640|A0A1X7T640_AMPQE, tr|A0A1X7SU72|A0A1X7SU72_AMPQE, tr|A0A1X7SRZ1|A0A1X7SRZ1_AMPQE, tr|A0A1X7T556|A0A1X7T556_AMPQE	jg22044.t1
OG0000956	tr|A0A1X7TUD2|A0A1X7TUD2_AMPQE, tr|A0A1X7SWB4|A0A1X7SWB4_AMPQE, tr|A0A1X7SUA2|A0A1X7SUA2_AMPQE, tr|A0A1X7VID5|A0A1X7VID5_AMPQE, tr|A0A1X7TLB1|A0A1X7TLB1_AMPQE, tr|A0A1X7SZ42|A0A1X7SZ42_AMPQE, tr|A0A1X7SN58|A0A1X7SN58_AMPQE, tr|A0A1X7UHH6|A0A1X7UHH6_AMPQE, tr|A0A1X7TGH0|A0A1X7TGH0_AMPQE, tr|A0A1X7TUC7|A0A1X7TUC7_AMPQE, tr|A0A1X7SKJ1|A0A1X7SKJ1_AMPQE, tr|A0A1X7TZD3|A0A1X7TZD3_AMPQE, tr|A0A1X7URB4|A0A1X7URB4_AMPQE	jg18489.t1, g3326.t1
OG0000957	tr|A0A1X7TF36|A0A1X7TF36_AMPQE, tr|A0A1X7TXW7|A0A1X7TXW7_AMPQE, tr|A0A1X7SKM5|A0A1X7SKM5_AMPQE, tr|A0A1X7UEN6|A0A1X7UEN6_AMPQE, tr|A0A1X7TX53|A0A1X7TX53_AMPQE, tr|A0A1X7SUL8|A0A1X7SUL8_AMPQE, tr|A0A1X7T6R0|A0A1X7T6R0_AMPQE, tr|A0A1X7T0E3|A0A1X7T0E3_AMPQE, tr|A0A1X7SQE2|A0A1X7SQE2_AMPQE, tr|A0A1X7SXS1|A0A1X7SXS1_AMPQE, tr|A0A1X7T761|A0A1X7T761_AMPQE, tr|A0A1X7T8N8|A0A1X7T8N8_AMPQE, tr|A0A1X7TQ57|A0A1X7TQ57_AMPQE, tr|A0A1X7T3F1|A0A1X7T3F1_AMPQE	jg17610.t1
OG0000959	tr|A0A1X7SL21|A0A1X7SL21_AMPQE	jg21592.t1, jg28206.t1, jg9758.t1
OG0000962	tr|A0A1X7SPE2|A0A1X7SPE2_AMPQE	jg9380.t1, jg16699.t1, jg10655.t1
OG0000962	tr|A0A1X7V0J2|A0A1X7V0J2_AMPQE	jg3917.t1
OG0000962	tr|A0A1X7T0C8|A0A1X7T0C8_AMPQE, tr|A0A1X7VYD3|A0A1X7VYD3_AMPQE, tr|A0A1X7VPH5|A0A1X7VPH5_AMPQE	jg9264.t1
OG0000963	tr|A0A1X7T7V0|A0A1X7T7V0_AMPQE, tr|A0A1X7SPZ6|A0A1X7SPZ6_AMPQE, tr|A0A1X7UU04|A0A1X7UU04_AMPQE, tr|A0A1X7USV2|A0A1X7USV2_AMPQE	jg29667.t1, jg29672.t1
OG0000963	tr|A0A1X7UT70|A0A1X7UT70_AMPQE	jg29668.t1
OG0000964	tr|A0A1X7SR51|A0A1X7SR51_AMPQE, tr|A0A1X7TPA3|A0A1X7TPA3_AMPQE, tr|A0A1X7V3E7|A0A1X7V3E7_AMPQE, tr|A0A1X7UCL0|A0A1X7UCL0_AMPQE, tr|A0A1X7UCH5|A0A1X7UCH5_AMPQE, tr|A0A1X7TQ20|A0A1X7TQ20_AMPQE	jg25801.t1
OG0000964	tr|A0A1X7U874|A0A1X7U874_AMPQE, tr|A0A1X7U909|A0A1X7U909_AMPQE, tr|A0A1X7T3S4|A0A1X7T3S4_AMPQE, tr|A0A1X7TPY7|A0A1X7TPY7_AMPQE	jg11334.t1, jg11353.t1, jg11331.t1, jg11359.t1
OG0000965	tr|A0A1X7SRD5|A0A1X7SRD5_AMPQE, tr|A0A1X7TRA6|A0A1X7TRA6_AMPQE, tr|A0A1X7T8D6|A0A1X7T8D6_AMPQE, tr|A0A1X7SW02|A0A1X7SW02_AMPQE, tr|A0A1X7SW94|A0A1X7SW94_AMPQE, tr|A0A1X7SR53|A0A1X7SR53_AMPQE, tr|A0A1X7TGE8|A0A1X7TGE8_AMPQE, tr|A0A1X7TH42|A0A1X7TH42_AMPQE, tr|A0A1X7T4H5|A0A1X7T4H5_AMPQE, tr|A0A1X7THM3|A0A1X7THM3_AMPQE, tr|A0A1X7UVL5|A0A1X7UVL5_AMPQE	jg15827.t1
OG0000967	tr|A0A1X7UDB0|A0A1X7UDB0_AMPQE, tr|A0A1X7V3Z0|A0A1X7V3Z0_AMPQE, tr|A0A1X7TKG8|A0A1X7TKG8_AMPQE, tr|A0A1X7TN10|A0A1X7TN10_AMPQE, tr|A0A1X7UC12|A0A1X7UC12_AMPQE, tr|A0A1X7TWF1|A0A1X7TWF1_AMPQE, tr|A0A1X7T7L2|A0A1X7T7L2_AMPQE, tr|A0A1X7UG05|A0A1X7UG05_AMPQE, tr|A0A1X7SS29|A0A1X7SS29_AMPQE, tr|A0A1X7SVN2|A0A1X7SVN2_AMPQE, tr|A0A1X7T2E6|A0A1X7T2E6_AMPQE, tr|A0A1X7V0K3|A0A1X7V0K3_AMPQE, tr|A0A1X7UXU0|A0A1X7UXU0_AMPQE, tr|A0A1X7UY46|A0A1X7UY46_AMPQE	jg29281.t1
OG0000969	tr|A0A1X7SSB2|A0A1X7SSB2_AMPQE, tr|A0A1X7V1E3|A0A1X7V1E3_AMPQE	jg22382.t1
OG0000970	tr|A0A1X7TU47|A0A1X7TU47_AMPQE, tr|A0A1X7VUB1|A0A1X7VUB1_AMPQE, tr|A0A1X7TCH7|A0A1X7TCH7_AMPQE, tr|A0A1X7UJ34|A0A1X7UJ34_AMPQE	jg13516.t1
OG0000973	tr|A0A1X7U8C8|A0A1X7U8C8_AMPQE	jg11896.t1, jg15647.t1
OG0000973	tr|A0A1X7U965|A0A1X7U965_AMPQE	jg15646.t1, jg11897.t1
OG0000974	tr|A0A1X7UKT0|A0A1X7UKT0_AMPQE, tr|A0A1X7TAY2|A0A1X7TAY2_AMPQE, tr|A0A1X7ULQ9|A0A1X7ULQ9_AMPQE, tr|A0A1X7VDQ3|A0A1X7VDQ3_AMPQE, tr|A0A1X7VDR3|A0A1X7VDR3_AMPQE, tr|A0A1X7VBA1|A0A1X7VBA1_AMPQE, tr|A0A1X7T3K3|A0A1X7T3K3_AMPQE, tr|A0A1X7ULI5|A0A1X7ULI5_AMPQE, tr|A0A1X7VCA0|A0A1X7VCA0_AMPQE, tr|A0A1X7UK57|A0A1X7UK57_AMPQE, tr|A0A1X7SVH6|A0A1X7SVH6_AMPQE, tr|A0A1X7U3P3|A0A1X7U3P3_AMPQE, tr|A0A1X7VDU6|A0A1X7VDU6_AMPQE, tr|A0A1X7U2L9|A0A1X7U2L9_AMPQE	jg18684.t1
OG0000975	tr|A0A1X7UEJ6|A0A1X7UEJ6_AMPQE, tr|A0A1X7UPL3|A0A1X7UPL3_AMPQE, tr|A0A1X7TGB4|A0A1X7TGB4_AMPQE, tr|A0A1X7T8G5|A0A1X7T8G5_AMPQE, tr|A0A1X7VWC4|A0A1X7VWC4_AMPQE, tr|A0A1X7UEL9|A0A1X7UEL9_AMPQE, tr|A0A1X7TFZ0|A0A1X7TFZ0_AMPQE, tr|A0A1X7UDS2|A0A1X7UDS2_AMPQE, tr|A0A1X7SZI7|A0A1X7SZI7_AMPQE, tr|A0A1X7UNL3|A0A1X7UNL3_AMPQE, tr|A0A1X7TFL7|A0A1X7TFL7_AMPQE, tr|A0A1X7UMY9|A0A1X7UMY9_AMPQE	jg18240.t1, jg11397.t1, jg11396.t1
OG0000976	tr|A0A1X7T1X8|A0A1X7T1X8_AMPQE, tr|A0A1X7VLR9|A0A1X7VLR9_AMPQE	jg28068.t1
OG0000977	tr|A0A1X7T2D6|A0A1X7T2D6_AMPQE	jg1042.t1, jg1040.t1, jg26701.t1, jg2934.t1, jg8703.t1
OG0000978	tr|A0A1X7VCU9|A0A1X7VCU9_AMPQE	jg21624.t1
OG0000978	tr|A0A1X7UAQ1|A0A1X7UAQ1_AMPQE, tr|A0A1X7VU59|A0A1X7VU59_AMPQE	jg23046.t1
OG0000979	tr|A0A1X7T6S8|A0A1X7T6S8_AMPQE, tr|A0A1X7V2E3|A0A1X7V2E3_AMPQE, tr|A0A1X7TIU4|A0A1X7TIU4_AMPQE, tr|A0A1X7UQJ3|A0A1X7UQJ3_AMPQE, tr|A0A1X7TLY1|A0A1X7TLY1_AMPQE, tr|A0A1X7TMQ2|A0A1X7TMQ2_AMPQE, tr|A0A1X7TDT7|A0A1X7TDT7_AMPQE, tr|A0A1X7TT21|A0A1X7TT21_AMPQE	jg21723.t1, jg28645.t1, jg21720.t1, jg24163.t1
OG0000981	tr|A0A1X7UE28|A0A1X7UE28_AMPQE	jg16382.t1, jg21.t1, jg30182.t1, jg2918.t1, jg1102.t1, jg1102.t2, jg14811.t1, jg5119.t1
OG0000981	tr|A0A1X7TAV2|A0A1X7TAV2_AMPQE, tr|A0A1X7UEI7|A0A1X7UEI7_AMPQE, tr|A0A1X7UEK4|A0A1X7UEK4_AMPQE, tr|A0A1X7UDR2|A0A1X7UDR2_AMPQE, tr|A0A1X7UD76|A0A1X7UD76_AMPQE	jg27016.t1
OG0000982	tr|A0A1X7VDQ5|A0A1X7VDQ5_AMPQE, tr|A0A1X7VD02|A0A1X7VD02_AMPQE, tr|A0A1X7VKP8|A0A1X7VKP8_AMPQE	jg28575.t1, jg28570.t1
OG0000982	tr|A0A1X7VLL1|A0A1X7VLL1_AMPQE, tr|A0A1X7TEA6|A0A1X7TEA6_AMPQE, tr|A0A1X7VKP2|A0A1X7VKP2_AMPQE, tr|A0A1X7VM33|A0A1X7VM33_AMPQE, tr|A0A1X7VC43|A0A1X7VC43_AMPQE	jg28573.t1, jg28566.t1, jg8104.t1
OG0000983	tr|A0A1X7TBA4|A0A1X7TBA4_AMPQE	jg6074.t2, jg6074.t1, jg25718.t1
OG0000983	tr|A0A1X7VPG3|A0A1X7VPG3_AMPQE, tr|A0A1X7VRC1|A0A1X7VRC1_AMPQE	jg2575.t1
OG0000984	tr|A0A1X7TBS7|A0A1X7TBS7_AMPQE	jg22208.t1, jg21459.t1, jg27513.t1, jg22193.t1, jg22230.t1, jg3432.t1, jg22236.t1, jg3978.t1, jg22240.t1, jg17787.t1, jg28988.t1, jg22220.t1
OG0000985	tr|A0A1X7UHG0|A0A1X7UHG0_AMPQE	jg14505.t1
OG0000985	tr|A0A1X7UHG3|A0A1X7UHG3_AMPQE, tr|A0A1X7UHG9|A0A1X7UHG9_AMPQE, tr|A0A1X7UHT3|A0A1X7UHT3_AMPQE, tr|A0A1X7TCS4|A0A1X7TCS4_AMPQE, tr|A0A1X7UIB3|A0A1X7UIB3_AMPQE, tr|A0A1X7UIA9|A0A1X7UIA9_AMPQE	jg14502.t1
OG0000986	tr|A0A1X7U9L2|A0A1X7U9L2_AMPQE, tr|I1FA69|I1FA69_AMPQE	jg10742.t1, jg10742.t2, jg10742.t4, jg10742.t3, jg1346.t1, jg29906.t1, jg19708.t1, jg22478.t1
OG0000986	tr|A0A1X7U399|A0A1X7U399_AMPQE, tr|A0A1X7TMB4|A0A1X7TMB4_AMPQE	jg10740.t1
OG0000988	tr|A0A1X7URB3|A0A1X7URB3_AMPQE, tr|A0A1X7TZ38|A0A1X7TZ38_AMPQE, tr|A0A1X7TPV0|A0A1X7TPV0_AMPQE, tr|A0A1X7TP23|A0A1X7TP23_AMPQE, tr|A0A1X7TYP6|A0A1X7TYP6_AMPQE, tr|A0A1X7URW8|A0A1X7URW8_AMPQE, tr|A0A1X7TYZ3|A0A1X7TYZ3_AMPQE, tr|A0A1X7TZ48|A0A1X7TZ48_AMPQE, tr|A0A1X7TZH9|A0A1X7TZH9_AMPQE, tr|A0A1X7US92|A0A1X7US92_AMPQE, tr|A0A1X7TYE3|A0A1X7TYE3_AMPQE, tr|A0A1X7U0S6|A0A1X7U0S6_AMPQE, tr|A0A1X7TYE8|A0A1X7TYE8_AMPQE, tr|A0A1X7TYX6|A0A1X7TYX6_AMPQE	jg17883.t1
OG0000989	tr|A0A1X7V2Z5|A0A1X7V2Z5_AMPQE, tr|A0A1X7TVJ7|A0A1X7TVJ7_AMPQE, tr|A0A1X7TY66|A0A1X7TY66_AMPQE	jg30416.t1, jg5016.t1, jg16876.t1, jg5521.t1, jg6589.t1, jg22901.t1, jg27605.t1, jg7506.t1, jg28784.t1, jg17153.t1, jg7508.t1
OG0000990	tr|A0A1X7TVY4|A0A1X7TVY4_AMPQE	jg18207.t1, jg11428.t1, jg19792.t1, jg21137.t1, jg11385.t2, jg11385.t1, jg18253.t1, jg11384.t1, jg11434.t1, jg11427.t1, jg11430.t1, jg18205.t1
OG0000991	tr|A0A1X7UGI9|A0A1X7UGI9_AMPQE	jg22661.t1
OG0000992	tr|A0A1X7VLN3|A0A1X7VLN3_AMPQE	jg12223.t1
OG0000992	tr|A0A1X7VKS2|A0A1X7VKS2_AMPQE	jg12217.t1
OG0000992	tr|A0A1X7UHV7|A0A1X7UHV7_AMPQE	jg19430.t1
OG0000993	tr|A0A1X7UL73|A0A1X7UL73_AMPQE	jg29285.t1, jg29287.t1, jg28625.t1, jg5959.t1
OG0000994	tr|A0A1X7UME8|A0A1X7UME8_AMPQE	jg15696.t1
OG0000994	tr|A0A1X7UN49|A0A1X7UN49_AMPQE	jg15695.t1
OG0000994	tr|A0A1X7ULT0|A0A1X7ULT0_AMPQE	jg15694.t1
OG0000994	tr|A0A1X7VXL2|A0A1X7VXL2_AMPQE	jg11179.t1, jg11176.t1, jg11178.t1
OG0000995	tr|A0A1X7UM68|A0A1X7UM68_AMPQE, tr|A0A1X7UMT6|A0A1X7UMT6_AMPQE	jg14592.t1
OG0000995	tr|A0A1X7UN56|A0A1X7UN56_AMPQE	jg14590.t1, jg14593.t1
OG0000996	tr|A0A1X7UM94|A0A1X7UM94_AMPQE, tr|A0A1X7VJB1|A0A1X7VJB1_AMPQE	jg14369.t1
OG0000997	tr|A0A1X7UN92|A0A1X7UN92_AMPQE	jg10771.t1, jg10767.t1, jg16626.t1, jg16610.t1, jg20470.t1, jg19886.t1, jg23061.t1, jg16627.t1, jg19885.t1, jg16612.t1, jg20471.t1, jg23062.t1, jg11005.t1
OG0000998	tr|A0A1X7USH4|A0A1X7USH4_AMPQE	jg25328.t1
OG0000999	tr|A0A1X7VJA3|A0A1X7VJA3_AMPQE	jg14362.t1
OG0000999	tr|A0A1X7VIL2|A0A1X7VIL2_AMPQE	jg14364.t1
OG0000999	tr|A0A1X7VHT7|A0A1X7VHT7_AMPQE	jg14363.t1
OG0000999	tr|A0A1X7UYR5|A0A1X7UYR5_AMPQE	jg25964.t1, jg25961.t1, jg25963.t1, jg10703.t1
OG0001000	tr|A0A1X7V047|A0A1X7V047_AMPQE	jg12323.t1
OG0001000	tr|I1FX10|I1FX10_AMPQE	jg12322.t1
OG0001001	tr|A0A1X7V1G2|A0A1X7V1G2_AMPQE, tr|A0A1X7V242|A0A1X7V242_AMPQE, tr|A0A1X7V074|A0A1X7V074_AMPQE, tr|A0A1X7V112|A0A1X7V112_AMPQE	jg373.t1, jg27904.t1, jg26884.t1
OG0001001	tr|A0A1X7V0U3|A0A1X7V0U3_AMPQE	jg374.t1, jg27905.t1, jg26885.t1, jg26886.t1, jg27906.t1
OG0001002	tr|A0A1X7V528|A0A1X7V528_AMPQE	jg11262.t1
OG0001002	tr|A0A1X7V678|A0A1X7V678_AMPQE	jg18126.t2, jg18126.t1
OG0001004	tr|A0A1X7V6Y2|A0A1X7V6Y2_AMPQE	jg18157.t1, jg16159.t1, jg18158.t1, jg25488.t1, jg25234.t1, jg18204.t2, jg18204.t1, jg11431.t1, jg11435.t1, jg11435.t2
OG0001005	tr|A0A1X7VMI9|A0A1X7VMI9_AMPQE	jg19453.t1
OG0001007	tr|A0A1X7VQ86|A0A1X7VQ86_AMPQE	jg1394.t1, jg1394.t2, jg2594.t1, jg2594.t2
OG0001007	tr|A0A1X7VVE2|A0A1X7VVE2_AMPQE	jg23653.t1
OG0001008	tr|A0A1X7VTB3|A0A1X7VTB3_AMPQE	jg29882.t1
OG0001009	tr|E5KCC5|E5KCC5_AMPQE	jg20048.t1
OG0001049	tr|A0A1X7T1N5|A0A1X7T1N5_AMPQE, tr|A0A1X7SJJ2|A0A1X7SJJ2_AMPQE, tr|A0A1X7UGJ8|A0A1X7UGJ8_AMPQE, tr|A0A1X7U817|A0A1X7U817_AMPQE, tr|A0A1X7TFS4|A0A1X7TFS4_AMPQE, tr|A0A1X7T1Q6|A0A1X7T1Q6_AMPQE, tr|A0A1X7SEW9|A0A1X7SEW9_AMPQE, tr|A0A1X7SDG1|A0A1X7SDG1_AMPQE, tr|A0A1X7SEU8|A0A1X7SEU8_AMPQE, tr|A0A1X7STB1|A0A1X7STB1_AMPQE, tr|A0A1X7T6Q1|A0A1X7T6Q1_AMPQE, tr|A0A1X7T6N3|A0A1X7T6N3_AMPQE, tr|A0A1X7UVC3|A0A1X7UVC3_AMPQE	jg16710.t1
OG0001051	tr|A0A1X7TQC5|A0A1X7TQC5_AMPQE	jg27876.t2
OG0001051	tr|A0A1X7STX4|A0A1X7STX4_AMPQE, tr|A0A1X7SE66|A0A1X7SE66_AMPQE, tr|A0A1X7SP87|A0A1X7SP87_AMPQE, tr|A0A1X7SZA1|A0A1X7SZA1_AMPQE, tr|A0A1X7TU22|A0A1X7TU22_AMPQE, tr|A0A1X7SII0|A0A1X7SII0_AMPQE	jg27878.t1, jg27873.t1, jg27918.t1, jg27911.t1, jg5138.t1, jg9828.t1
OG0001053	tr|A0A1X7UJ87|A0A1X7UJ87_AMPQE, tr|A0A1X7T5F1|A0A1X7T5F1_AMPQE, tr|A0A1X7TW54|A0A1X7TW54_AMPQE, tr|A0A1X7U6V5|A0A1X7U6V5_AMPQE, tr|A0A1X7SEI9|A0A1X7SEI9_AMPQE, tr|A0A1X7TWA1|A0A1X7TWA1_AMPQE, tr|A0A1X7SH35|A0A1X7SH35_AMPQE, tr|A0A1X7STJ7|A0A1X7STJ7_AMPQE, tr|A0A1X7U7T7|A0A1X7U7T7_AMPQE, tr|A0A1X7UVK1|A0A1X7UVK1_AMPQE, tr|A0A1X7SIA2|A0A1X7SIA2_AMPQE, tr|A0A1X7SRF5|A0A1X7SRF5_AMPQE	jg12080.t1, jg15323.t1
