Orthogroup	Amphimedon_UP000007879_400682	Human_UP000005640_9606
OG0001324	tr|A0A1X7SRV0|A0A1X7SRV0_AMPQE, tr|A0A1X7SF03|A0A1X7SF03_AMPQE, tr|A0A1X7TKX9|A0A1X7TKX9_AMPQE	sp|A2RRP1|NBAS_HUMAN
OG0001325	tr|A0A1X7SM44|A0A1X7SM44_AMPQE, tr|A0A1X7SF10|A0A1X7SF10_AMPQE, tr|A0A1X7UI13|A0A1X7UI13_AMPQE, tr|A0A1X7UGL7|A0A1X7UGL7_AMPQE	sp|Q5VXU9|SHOC1_HUMAN
OG0001332	tr|A0A1X7V2H8|A0A1X7V2H8_AMPQE, tr|A0A1X7TI91|A0A1X7TI91_AMPQE, tr|A0A1X7SXC4|A0A1X7SXC4_AMPQE, tr|A0A1X7SGB1|A0A1X7SGB1_AMPQE, tr|A0A1X7THM5|A0A1X7THM5_AMPQE, tr|A0A1X7TU45|A0A1X7TU45_AMPQE, tr|A0A1X7TBF7|A0A1X7TBF7_AMPQE	sp|P51398|RT29_HUMAN
OG0001334	tr|A0A1X7SGP9|A0A1X7SGP9_AMPQE, tr|A0A1X7UG64|A0A1X7UG64_AMPQE, tr|A0A1X7UFM8|A0A1X7UFM8_AMPQE, tr|A0A1X7SKH5|A0A1X7SKH5_AMPQE, tr|A0A1X7UH10|A0A1X7UH10_AMPQE, tr|A0A1X7SKP5|A0A1X7SKP5_AMPQE	sp|O75808|CAN15_HUMAN
OG0001337	tr|A0A1X7UGW7|A0A1X7UGW7_AMPQE, tr|A0A1X7U5Q5|A0A1X7U5Q5_AMPQE, tr|A0A1X7SHG7|A0A1X7SHG7_AMPQE, tr|A0A1X7U9D0|A0A1X7U9D0_AMPQE	sp|P18433|PTPRA_HUMAN, sp|P23469|PTPRE_HUMAN
OG0001338	tr|A0A1X7U8D3|A0A1X7U8D3_AMPQE, tr|A0A1X7SHK8|A0A1X7SHK8_AMPQE	sp|Q8N6M0|OTU6B_HUMAN, sp|Q7L8S5|OTU6A_HUMAN
OG0001340	tr|A0A1X7TP22|A0A1X7TP22_AMPQE, tr|A0A1X7SHU0|A0A1X7SHU0_AMPQE, tr|A0A1X7U4J2|A0A1X7U4J2_AMPQE, tr|A0A1X7TNJ7|A0A1X7TNJ7_AMPQE, tr|A0A1X7TMS8|A0A1X7TMS8_AMPQE, tr|A0A1X7TNQ4|A0A1X7TNQ4_AMPQE, tr|A0A1X7SV47|A0A1X7SV47_AMPQE, tr|A0A1X7TDD2|A0A1X7TDD2_AMPQE	sp|Q9BYT1|S17A9_HUMAN
OG0001342	tr|A0A1X7SHZ4|A0A1X7SHZ4_AMPQE, tr|A0A1X7SRB2|A0A1X7SRB2_AMPQE, tr|A0A1X7TVZ0|A0A1X7TVZ0_AMPQE, tr|A0A1X7T1M9|A0A1X7T1M9_AMPQE, tr|A0A1X7SI34|A0A1X7SI34_AMPQE, tr|A0A1X7UKP0|A0A1X7UKP0_AMPQE, tr|A0A1X7TW83|A0A1X7TW83_AMPQE, tr|A0A1X7UKG9|A0A1X7UKG9_AMPQE	sp|P34925|RYK_HUMAN
OG0001344	tr|A0A1X7TF14|A0A1X7TF14_AMPQE, tr|A0A1X7SZW0|A0A1X7SZW0_AMPQE, tr|A0A1X7T193|A0A1X7T193_AMPQE, tr|A0A1X7U8R1|A0A1X7U8R1_AMPQE, tr|A0A1X7VXQ9|A0A1X7VXQ9_AMPQE, tr|A0A1X7TBG5|A0A1X7TBG5_AMPQE, tr|A0A1X7TKG7|A0A1X7TKG7_AMPQE, tr|A0A1X7SI94|A0A1X7SI94_AMPQE, tr|A0A1X7UJ91|A0A1X7UJ91_AMPQE	sp|P42696|RBM34_HUMAN
OG0001345	tr|A0A1X7SZK9|A0A1X7SZK9_AMPQE, tr|A0A1X7SJ06|A0A1X7SJ06_AMPQE, tr|A0A1X7U4R9|A0A1X7U4R9_AMPQE, tr|A0A1X7TSA0|A0A1X7TSA0_AMPQE, tr|A0A1X7TRZ2|A0A1X7TRZ2_AMPQE	sp|Q9NXD2|MTMRA_HUMAN, sp|Q9C0I1|MTMRC_HUMAN, sp|A4FU01|MTMRB_HUMAN
OG0001353	tr|A0A1X7TIM1|A0A1X7TIM1_AMPQE, tr|A0A1X7TCM3|A0A1X7TCM3_AMPQE, tr|A0A1X7TIL3|A0A1X7TIL3_AMPQE, tr|A0A1X7TS63|A0A1X7TS63_AMPQE, tr|A0A1X7SL48|A0A1X7SL48_AMPQE, tr|A0A1X7STP6|A0A1X7STP6_AMPQE, tr|A0A1X7SVR5|A0A1X7SVR5_AMPQE, tr|A0A1X7THP4|A0A1X7THP4_AMPQE	sp|Q14644|RASA3_HUMAN, sp|Q15283|RASA2_HUMAN
OG0001357	tr|A0A1X7SNP2|A0A1X7SNP2_AMPQE, tr|A0A1X7TYC0|A0A1X7TYC0_AMPQE	sp|Q8TE77|SSH3_HUMAN, sp|Q8WYL5|SSH1_HUMAN
OG0001358	tr|A0A1X7VMR9|A0A1X7VMR9_AMPQE	sp|Q9UBV7|B4GT7_HUMAN
OG0001358	tr|A0A1X7SP08|A0A1X7SP08_AMPQE	sp|Q9UBX8|B4GT6_HUMAN, sp|O43286|B4GT5_HUMAN, sp|P15291|B4GT1_HUMAN, sp|O60909|B4GT2_HUMAN, sp|O60512|B4GT3_HUMAN, sp|O60513|B4GT4_HUMAN
OG0001365	tr|A0A1X7VWH2|A0A1X7VWH2_AMPQE, tr|A0A1X7SSD8|A0A1X7SSD8_AMPQE, tr|A0A1X7VXR0|A0A1X7VXR0_AMPQE, tr|A0A1X7STR5|A0A1X7STR5_AMPQE, tr|A0A1X7SSJ7|A0A1X7SSJ7_AMPQE	sp|P00491|PNPH_HUMAN
OG0001366	tr|A0A1X7STF9|A0A1X7STF9_AMPQE	sp|P61006|RAB8A_HUMAN
OG0001366	tr|A0A1X7TMW7|A0A1X7TMW7_AMPQE, tr|A0A1X7UW91|A0A1X7UW91_AMPQE	sp|Q86YS6|RAB43_HUMAN
OG0001370	tr|A0A1X7TW82|A0A1X7TW82_AMPQE, tr|A0A1X7SV35|A0A1X7SV35_AMPQE, tr|A0A1X7TWM4|A0A1X7TWM4_AMPQE, tr|A0A1X7TX18|A0A1X7TX18_AMPQE, tr|A0A1X7T8A9|A0A1X7T8A9_AMPQE, tr|A0A1X7TAS0|A0A1X7TAS0_AMPQE, tr|A0A1X7TBT2|A0A1X7TBT2_AMPQE, tr|A0A1X7UVB2|A0A1X7UVB2_AMPQE, tr|A0A1X7UVF8|A0A1X7UVF8_AMPQE	sp|Q15468|STIL_HUMAN
OG0001371	tr|A0A1X7T4Y5|A0A1X7T4Y5_AMPQE, tr|A0A1X7TA20|A0A1X7TA20_AMPQE, tr|A0A1X7T9T8|A0A1X7T9T8_AMPQE, tr|A0A1X7T9Y1|A0A1X7T9Y1_AMPQE, tr|A0A1X7SVG1|A0A1X7SVG1_AMPQE	sp|Q8WWQ0|PHIP_HUMAN, sp|Q6RI45|BRWD3_HUMAN, sp|Q9NSI6|BRWD1_HUMAN
OG0001374	tr|A0A1X7SWH1|A0A1X7SWH1_AMPQE, tr|A0A1X7UXV6|A0A1X7UXV6_AMPQE	sp|Q5JQF8|PAP1M_HUMAN, sp|Q96DU9|PABP5_HUMAN, sp|P0CB38|PAB4L_HUMAN, sp|Q13310|PABP4_HUMAN, sp|P11940|PABP1_HUMAN, sp|Q9H361|PABP3_HUMAN, sp|Q4VXU2|PAP1L_HUMAN
OG0001382	tr|A0A1X7T7R8|A0A1X7T7R8_AMPQE, tr|A0A1X7UGV0|A0A1X7UGV0_AMPQE, tr|A0A1X7TA58|A0A1X7TA58_AMPQE, tr|A0A1X7T4I6|A0A1X7T4I6_AMPQE, tr|A0A1X7T9W8|A0A1X7T9W8_AMPQE, tr|A0A1X7TSF3|A0A1X7TSF3_AMPQE, tr|A0A1X7UAP0|A0A1X7UAP0_AMPQE	sp|Q8TBB5|KLDC4_HUMAN
OG0001384	tr|A0A1X7TTY0|A0A1X7TTY0_AMPQE	sp|Q96JB1|DYH8_HUMAN
OG0001384	tr|A0A1X7T5W8|A0A1X7T5W8_AMPQE, tr|A0A1X7TY15|A0A1X7TY15_AMPQE, tr|A0A1X7V4V8|A0A1X7V4V8_AMPQE	sp|Q8TE73|DYH5_HUMAN
OG0001387	tr|A0A1X7VU09|A0A1X7VU09_AMPQE, tr|A0A1X7VSF5|A0A1X7VSF5_AMPQE, tr|A0A1X7V9G0|A0A1X7V9G0_AMPQE, tr|A0A1X7UNX1|A0A1X7UNX1_AMPQE, tr|A0A1X7VA56|A0A1X7VA56_AMPQE, tr|A0A1X7TA45|A0A1X7TA45_AMPQE, tr|A0A1X7TAG4|A0A1X7TAG4_AMPQE, tr|A0A1X7V8R5|A0A1X7V8R5_AMPQE, tr|A0A1X7TA41|A0A1X7TA41_AMPQE	sp|P15848|ARSB_HUMAN
OG0001389	tr|A0A1X7UVA4|A0A1X7UVA4_AMPQE, tr|A0A1X7TGS6|A0A1X7TGS6_AMPQE	sp|Q99933|BAG1_HUMAN
OG0001392	tr|A0A1X7TLL2|A0A1X7TLL2_AMPQE, tr|A0A1X7TLZ0|A0A1X7TLZ0_AMPQE, tr|A0A1X7U6K8|A0A1X7U6K8_AMPQE	sp|Q96MV1|TLCD4_HUMAN
OG0001393	tr|A0A1X7U7K9|A0A1X7U7K9_AMPQE	sp|Q96FA7|ZB6CL_HUMAN
OG0001393	tr|A0A1X7TME1|A0A1X7TME1_AMPQE, tr|A0A1X7U3K0|A0A1X7U3K0_AMPQE, tr|A0A1X7TWE0|A0A1X7TWE0_AMPQE	sp|O75132|ZBED4_HUMAN, sp|P86452|ZBED6_HUMAN
OG0001395	tr|A0A1X7UA17|A0A1X7UA17_AMPQE, tr|A0A1X7V0I3|A0A1X7V0I3_AMPQE, tr|A0A1X7TNW6|A0A1X7TNW6_AMPQE	sp|Q8N7A1|KLDC1_HUMAN
OG0001397	tr|A0A1X7TWH2|A0A1X7TWH2_AMPQE, tr|A0A1X7TWC6|A0A1X7TWC6_AMPQE, tr|A0A1X7V6C7|A0A1X7V6C7_AMPQE	sp|Q16762|THTR_HUMAN, sp|P25325|THTM_HUMAN
OG0001400	tr|A0A1X7VCC6|A0A1X7VCC6_AMPQE, tr|A0A1X7TZS6|A0A1X7TZS6_AMPQE, tr|A0A1X7V3P5|A0A1X7V3P5_AMPQE	sp|Q15493|RGN_HUMAN
OG0001402	tr|A0A1X7V879|A0A1X7V879_AMPQE, tr|A0A1X7U2E2|A0A1X7U2E2_AMPQE	sp|O00401|WASL_HUMAN, sp|P42768|WASP_HUMAN
OG0001403	tr|A0A1X7U2X5|A0A1X7U2X5_AMPQE, tr|A0A1X7V253|A0A1X7V253_AMPQE	sp|Q9UGT4|SUSD2_HUMAN
OG0001406	tr|A0A1X7U8G4|A0A1X7U8G4_AMPQE, tr|A0A1X7U7J5|A0A1X7U7J5_AMPQE	sp|O43529|CHSTA_HUMAN, sp|Q7L1S5|CHST9_HUMAN, sp|Q9H2A9|CHST8_HUMAN, sp|Q9NPF2|CHSTB_HUMAN, sp|Q8NET6|CHSTD_HUMAN, sp|Q9NRB3|CHSTC_HUMAN, sp|Q8NCH0|CHSTE_HUMAN
OG0001407	tr|A0A1X7UNH9|A0A1X7UNH9_AMPQE, tr|A0A1X7UE02|A0A1X7UE02_AMPQE, tr|A0A1X7UEG1|A0A1X7UEG1_AMPQE	sp|P17213|BPI_HUMAN, sp|P18428|LBP_HUMAN
OG0001409	tr|A0A1X7UFX1|A0A1X7UFX1_AMPQE	sp|Q8NHU6|TDRD7_HUMAN
OG0001410	tr|A0A1X7VUT6|A0A1X7VUT6_AMPQE	sp|O75038|PLCH2_HUMAN
OG0001410	tr|A0A1X7UI87|A0A1X7UI87_AMPQE, tr|A0A1X7UIJ2|A0A1X7UIJ2_AMPQE	sp|P51178|PLCD1_HUMAN, sp|Q8N3E9|PLCD3_HUMAN, sp|Q9BRC7|PLCD4_HUMAN, sp|Q86YW0|PLCZ1_HUMAN
OG0001411	tr|A0A1X7UJH4|A0A1X7UJH4_AMPQE	sp|Q9NQT5|EXOS3_HUMAN
OG0001413	tr|A0A1X7VND2|A0A1X7VND2_AMPQE, tr|A0A1X7UK12|A0A1X7UK12_AMPQE	sp|Q13554|KCC2B_HUMAN, sp|Q13555|KCC2G_HUMAN, sp|Q13557|KCC2D_HUMAN, sp|Q9UQM7|KCC2A_HUMAN
OG0001414	tr|A0A1X7UZK0|A0A1X7UZK0_AMPQE, tr|A0A1X7UZ20|A0A1X7UZ20_AMPQE, tr|A0A1X7UYV6|A0A1X7UYV6_AMPQE	sp|Q8TBB6|S7A14_HUMAN, sp|Q8WY07|CTR3_HUMAN, sp|P52569|CTR2_HUMAN, sp|P30825|SL7A1_HUMAN, sp|O43246|CTR4_HUMAN
OG0001415	tr|A0A1X7VB40|A0A1X7VB40_AMPQE, tr|A0A1X7VB45|A0A1X7VB45_AMPQE, tr|A0A1X7VNF9|A0A1X7VNF9_AMPQE, tr|A0A1X7V020|A0A1X7V020_AMPQE	sp|Q06278|AOXA_HUMAN, sp|P47989|XDH_HUMAN
OG0001420	tr|A0A1X7V2W0|A0A1X7V2W0_AMPQE	sp|P36873|PP1G_HUMAN
OG0001420	tr|A0A1X7VED7|A0A1X7VED7_AMPQE	sp|P62136|PP1A_HUMAN, sp|P62140|PP1B_HUMAN
OG0001421	tr|A0A1X7V686|A0A1X7V686_AMPQE, tr|A0A1X7V722|A0A1X7V722_AMPQE	sp|O43739|CYH3_HUMAN, sp|Q15438|CYH1_HUMAN, sp|Q99418|CYH2_HUMAN, sp|Q9UIA0|CYH4_HUMAN
OG0001422	tr|A0A1X7V9Z5|A0A1X7V9Z5_AMPQE	sp|Q8TDI7|TMC2_HUMAN, sp|Q8TDI8|TMC1_HUMAN, sp|Q7Z5M5|TMC3_HUMAN
OG0001424	tr|A0A1X7VM60|A0A1X7VM60_AMPQE, tr|A0A1X7VKR7|A0A1X7VKR7_AMPQE, tr|A0A1X7VJY2|A0A1X7VJY2_AMPQE	sp|P00751|CFAB_HUMAN, sp|P06681|CO2_HUMAN
OG0001425	tr|A0A1X7VPA6|A0A1X7VPA6_AMPQE, tr|A0A1X7VMW0|A0A1X7VMW0_AMPQE, tr|A0A1X7VLG1|A0A1X7VLG1_AMPQE, tr|A0A1X7VN08|A0A1X7VN08_AMPQE	sp|Q15063|POSTN_HUMAN, sp|Q15582|BGH3_HUMAN
OG0001426	tr|A0A1X7VLL7|A0A1X7VLL7_AMPQE, tr|A0A1X7VMH9|A0A1X7VMH9_AMPQE	sp|Q9H892|TTC12_HUMAN
OG0001428	tr|A0A1X7VSW4|A0A1X7VSW4_AMPQE	sp|Q14573|ITPR3_HUMAN, sp|Q14571|ITPR2_HUMAN, sp|Q14643|ITPR1_HUMAN
OG0001429	tr|A0A1X7VTJ2|A0A1X7VTJ2_AMPQE, tr|A0A1X7VU91|A0A1X7VU91_AMPQE	sp|Q9NQR7|CC177_HUMAN
OG0001429	tr|A0A1X7VUW5|A0A1X7VUW5_AMPQE	sp|O95551|TYDP2_HUMAN
OG0001430	tr|A0A1X7VVQ6|A0A1X7VVQ6_AMPQE	sp|Q6P9B6|MEAK7_HUMAN
OG0001494	tr|A0A1X7SP65|A0A1X7SP65_AMPQE, tr|A0A1X7SIP7|A0A1X7SIP7_AMPQE, tr|A0A1X7TZC3|A0A1X7TZC3_AMPQE, tr|A0A1X7TYT2|A0A1X7TYT2_AMPQE, tr|A0A1X7SG84|A0A1X7SG84_AMPQE, tr|A0A1X7SD82|A0A1X7SD82_AMPQE	sp|Q53H54|TYW2_HUMAN
OG0001495	tr|A0A1X7SDA1|A0A1X7SDA1_AMPQE, tr|A0A1X7UDM0|A0A1X7UDM0_AMPQE	sp|Q96S82|UBL7_HUMAN, sp|Q9NRR5|UBQL4_HUMAN, sp|Q9UMX0|UBQL1_HUMAN, sp|Q9UHD9|UBQL2_HUMAN, sp|Q9H347|UBQL3_HUMAN, sp|Q8IYU4|UBQLN_HUMAN
OG0001496	tr|A0A1X7SY26|A0A1X7SY26_AMPQE, tr|A0A1X7SDH9|A0A1X7SDH9_AMPQE, tr|A0A1X7VAP4|A0A1X7VAP4_AMPQE, tr|A0A1X7V8G9|A0A1X7V8G9_AMPQE, tr|A0A1X7TCS8|A0A1X7TCS8_AMPQE, tr|A0A1X7SKF1|A0A1X7SKF1_AMPQE	sp|Q6P1N0|C2D1A_HUMAN, sp|Q5T0F9|C2D1B_HUMAN
OG0001497	tr|A0A1X7SDK8|A0A1X7SDK8_AMPQE, tr|A0A1X7VVN5|A0A1X7VVN5_AMPQE	sp|Q6ZVM7|TM1L2_HUMAN, sp|O60784|TOM1_HUMAN
OG0001500	tr|A0A1X7SUS0|A0A1X7SUS0_AMPQE, tr|A0A1X7SDU0|A0A1X7SDU0_AMPQE, tr|A0A1X7SSX7|A0A1X7SSX7_AMPQE, tr|A0A1X7SW10|A0A1X7SW10_AMPQE, tr|A0A1X7T7F8|A0A1X7T7F8_AMPQE, tr|A0A1X7SXA1|A0A1X7SXA1_AMPQE, tr|A0A1X7T6Y2|A0A1X7T6Y2_AMPQE, tr|A0A1X7TLT1|A0A1X7TLT1_AMPQE, tr|A0A1X7SLI1|A0A1X7SLI1_AMPQE, tr|A0A1X7SSD2|A0A1X7SSD2_AMPQE	sp|P80370|DLK1_HUMAN
OG0001506	tr|A0A1X7V4R8|A0A1X7V4R8_AMPQE	sp|Q9BYM8|HOIL1_HUMAN
OG0001506	tr|A0A1X7SEU5|A0A1X7SEU5_AMPQE, tr|A0A1X7SN86|A0A1X7SN86_AMPQE	sp|Q9H0F6|SHRPN_HUMAN
OG0001513	tr|A0A1X7UPQ7|A0A1X7UPQ7_AMPQE, tr|A0A1X7SG42|A0A1X7SG42_AMPQE	sp|P50750|CDK9_HUMAN
OG0001513	tr|A0A1X7VQH1|A0A1X7VQH1_AMPQE	sp|Q14004|CDK13_HUMAN, sp|Q9NYV4|CDK12_HUMAN
OG0001517	tr|A0A1X7TGX2|A0A1X7TGX2_AMPQE, tr|A0A1X7U388|A0A1X7U388_AMPQE, tr|A0A1X7TG91|A0A1X7TG91_AMPQE, tr|A0A1X7U378|A0A1X7U378_AMPQE, tr|A0A1X7SH16|A0A1X7SH16_AMPQE, tr|A0A1X7TAU0|A0A1X7TAU0_AMPQE, tr|A0A1X7TG86|A0A1X7TG86_AMPQE	sp|Q9BRP4|PAAF1_HUMAN
OG0001519	tr|A0A1X7SS06|A0A1X7SS06_AMPQE, tr|A0A1X7T7U3|A0A1X7T7U3_AMPQE, tr|A0A1X7UUC1|A0A1X7UUC1_AMPQE, tr|A0A1X7UUN2|A0A1X7UUN2_AMPQE, tr|A0A1X7TEE3|A0A1X7TEE3_AMPQE, tr|A0A1X7T7G1|A0A1X7T7G1_AMPQE, tr|A0A1X7SHH5|A0A1X7SHH5_AMPQE	sp|Q6PGP7|TTC37_HUMAN
OG0001520	tr|A0A1X7UWH3|A0A1X7UWH3_AMPQE, tr|A0A1X7SHH7|A0A1X7SHH7_AMPQE	sp|O43581|SYT7_HUMAN
OG0001520	tr|A0A1X7UXN5|A0A1X7UXN5_AMPQE	sp|Q9BXY5|CAYP2_HUMAN
OG0001521	tr|A0A1X7SHJ8|A0A1X7SHJ8_AMPQE, tr|A0A1X7VF34|A0A1X7VF34_AMPQE	sp|Q8NEH6|MNS1_HUMAN
OG0001524	tr|A0A1X7UNC2|A0A1X7UNC2_AMPQE, tr|A0A1X7SI78|A0A1X7SI78_AMPQE, tr|A0A1X7UNB7|A0A1X7UNB7_AMPQE, tr|A0A1X7UNM7|A0A1X7UNM7_AMPQE, tr|A0A1X7ULZ8|A0A1X7ULZ8_AMPQE	sp|Q7Z2Z2|EFL1_HUMAN
OG0001525	tr|A0A1X7T0I8|A0A1X7T0I8_AMPQE, tr|A0A1X7TI66|A0A1X7TI66_AMPQE, tr|A0A1X7THH1|A0A1X7THH1_AMPQE, tr|A0A1X7SI81|A0A1X7SI81_AMPQE, tr|A0A1X7TYL7|A0A1X7TYL7_AMPQE, tr|A0A1X7T082|A0A1X7T082_AMPQE, tr|A0A1X7TXP0|A0A1X7TXP0_AMPQE	sp|Q5SQI0|ATAT_HUMAN
OG0001526	tr|A0A1X7VLH2|A0A1X7VLH2_AMPQE, tr|A0A1X7SIM0|A0A1X7SIM0_AMPQE	sp|P35670|ATP7B_HUMAN, sp|Q04656|ATP7A_HUMAN
OG0001533	tr|A0A1X7V2P7|A0A1X7V2P7_AMPQE, tr|A0A1X7SK54|A0A1X7SK54_AMPQE, tr|A0A1X7TK05|A0A1X7TK05_AMPQE, tr|A0A1X7V1V8|A0A1X7V1V8_AMPQE, tr|A0A1X7V3U5|A0A1X7V3U5_AMPQE, tr|A0A1X7TK00|A0A1X7TK00_AMPQE, tr|A0A1X7TJI9|A0A1X7TJI9_AMPQE	sp|Q5T8I9|HENMT_HUMAN
OG0001534	tr|A0A1X7SRP2|A0A1X7SRP2_AMPQE, tr|A0A1X7TIN4|A0A1X7TIN4_AMPQE, tr|A0A1X7UUB9|A0A1X7UUB9_AMPQE, tr|A0A1X7SKB2|A0A1X7SKB2_AMPQE	sp|Q9BTX7|TTPAL_HUMAN, sp|P12271|RLBP1_HUMAN
OG0001538	tr|A0A1X7SUR6|A0A1X7SUR6_AMPQE, tr|A0A1X7UY25|A0A1X7UY25_AMPQE, tr|A0A1X7UYS3|A0A1X7UYS3_AMPQE, tr|A0A1X7SMF1|A0A1X7SMF1_AMPQE	sp|Q8N1G2|CMTR1_HUMAN
OG0001541	tr|A0A1X7TIH5|A0A1X7TIH5_AMPQE, tr|A0A1X7SXD1|A0A1X7SXD1_AMPQE, tr|A0A1X7URK8|A0A1X7URK8_AMPQE, tr|A0A1X7SNB4|A0A1X7SNB4_AMPQE, tr|A0A1X7TIM5|A0A1X7TIM5_AMPQE, tr|A0A1X7TIE1|A0A1X7TIE1_AMPQE, tr|A0A1X7UQN3|A0A1X7UQN3_AMPQE	sp|Q9UI95|MD2L2_HUMAN
OG0001542	tr|A0A1X7TII0|A0A1X7TII0_AMPQE, tr|A0A1X7SQM6|A0A1X7SQM6_AMPQE, tr|A0A1X7SRN0|A0A1X7SRN0_AMPQE, tr|A0A1X7SNI6|A0A1X7SNI6_AMPQE, tr|A0A1X7TIM9|A0A1X7TIM9_AMPQE, tr|A0A1X7UR97|A0A1X7UR97_AMPQE, tr|A0A1X7SPJ1|A0A1X7SPJ1_AMPQE	sp|Q8WYP5|ELYS_HUMAN
OG0001546	tr|A0A1X7VPL4|A0A1X7VPL4_AMPQE, tr|A0A1X7VN59|A0A1X7VN59_AMPQE, tr|A0A1X7VPQ9|A0A1X7VPQ9_AMPQE, tr|A0A1X7SPR2|A0A1X7SPR2_AMPQE, tr|A0A1X7VDM4|A0A1X7VDM4_AMPQE	sp|Q6UX65|DRAM2_HUMAN, sp|Q8N682|DRAM1_HUMAN
OG0001547	tr|A0A1X7TFY2|A0A1X7TFY2_AMPQE, tr|A0A1X7SWK0|A0A1X7SWK0_AMPQE, tr|A0A1X7SPS5|A0A1X7SPS5_AMPQE, tr|A0A1X7TQP8|A0A1X7TQP8_AMPQE, tr|A0A1X7UP60|A0A1X7UP60_AMPQE, tr|A0A1X7TKY6|A0A1X7TKY6_AMPQE, tr|A0A1X7UQ62|A0A1X7UQ62_AMPQE	sp|Q9NY33|DPP3_HUMAN
OG0001551	tr|A0A1X7SR62|A0A1X7SR62_AMPQE	sp|Q86SQ4|AGRG6_HUMAN, sp|Q8IZP9|AGRG2_HUMAN, sp|Q8IZF6|AGRG4_HUMAN
OG0001552	tr|A0A1X7T9E4|A0A1X7T9E4_AMPQE, tr|A0A1X7TBY4|A0A1X7TBY4_AMPQE, tr|A0A1X7TE80|A0A1X7TE80_AMPQE, tr|A0A1X7TBX3|A0A1X7TBX3_AMPQE, tr|A0A1X7T641|A0A1X7T641_AMPQE, tr|A0A1X7T6J7|A0A1X7T6J7_AMPQE, tr|A0A1X7T7C8|A0A1X7T7C8_AMPQE, tr|A0A1X7SRZ6|A0A1X7SRZ6_AMPQE, tr|A0A1X7V0Q2|A0A1X7V0Q2_AMPQE	sp|Q9P1A2|PP4RL_HUMAN, sp|Q8TF05|PP4R1_HUMAN
OG0001555	tr|A0A1X7SSG9|A0A1X7SSG9_AMPQE, tr|A0A1X7VJ92|A0A1X7VJ92_AMPQE, tr|A0A1X7VFI0|A0A1X7VFI0_AMPQE	sp|Q6PJF5|RHDF2_HUMAN, sp|Q96CC6|RHDF1_HUMAN
OG0001556	tr|A0A1X7TNR0|A0A1X7TNR0_AMPQE, tr|A0A1X7T8K6|A0A1X7T8K6_AMPQE, tr|A0A1X7T0Q0|A0A1X7T0Q0_AMPQE	sp|P07202|PERT_HUMAN
OG0001556	tr|A0A1X7SSI1|A0A1X7SSI1_AMPQE	sp|Q86T13|CLC14_HUMAN, sp|Q9NPY3|C1QR1_HUMAN, sp|Q9HCU0|CD248_HUMAN, sp|P07204|TRBM_HUMAN
OG0001560	tr|A0A1X7STQ3|A0A1X7STQ3_AMPQE, tr|A0A1X7UL93|A0A1X7UL93_AMPQE, tr|A0A1X7UKK1|A0A1X7UKK1_AMPQE, tr|A0A1X7UL96|A0A1X7UL96_AMPQE, tr|A0A1X7UJX6|A0A1X7UJX6_AMPQE, tr|A0A1X7UKT3|A0A1X7UKT3_AMPQE	sp|P13798|ACPH_HUMAN
OG0001563	tr|A0A1X7SU07|A0A1X7SU07_AMPQE, tr|A0A1X7UIW3|A0A1X7UIW3_AMPQE	sp|P0CG31|Z286B_HUMAN, sp|A0A2Z4LIS9|FXO3B_HUMAN, sp|O43524|FOXO3_HUMAN, sp|Q12778|FOXO1_HUMAN, sp|P98177|FOXO4_HUMAN, sp|A8MYZ6|FOXO6_HUMAN
OG0001567	tr|A0A1X7UYZ5|A0A1X7UYZ5_AMPQE, tr|A0A1X7T0G4|A0A1X7T0G4_AMPQE, tr|A0A1X7SW77|A0A1X7SW77_AMPQE, tr|A0A1X7UY96|A0A1X7UY96_AMPQE	sp|Q9BQ90|KLDC3_HUMAN
OG0001571	tr|A0A1X7SXL9|A0A1X7SXL9_AMPQE, tr|A0A1X7UA02|A0A1X7UA02_AMPQE, tr|A0A1X7T0Y6|A0A1X7T0Y6_AMPQE	sp|O94822|LTN1_HUMAN
OG0001575	tr|A0A1X7VYX5|A0A1X7VYX5_AMPQE, tr|A0A1X7TKN0|A0A1X7TKN0_AMPQE, tr|A0A1X7SZD7|A0A1X7SZD7_AMPQE, tr|A0A1X7VJT8|A0A1X7VJT8_AMPQE, tr|A0A1X7V9V4|A0A1X7V9V4_AMPQE	sp|O96006|ZBED1_HUMAN
OG0001577	tr|A0A1X7TLZ4|A0A1X7TLZ4_AMPQE, tr|A0A1X7TL79|A0A1X7TL79_AMPQE, tr|A0A1X7TEI2|A0A1X7TEI2_AMPQE, tr|A0A1X7T074|A0A1X7T074_AMPQE, tr|A0A1X7TKF3|A0A1X7TKF3_AMPQE, tr|A0A1X7U1B8|A0A1X7U1B8_AMPQE, tr|A0A1X7VCU8|A0A1X7VCU8_AMPQE	sp|P36776|LONM_HUMAN, sp|Q86WA8|LONP2_HUMAN
OG0001579	tr|A0A1X7U4H6|A0A1X7U4H6_AMPQE, tr|A0A1X7VTQ0|A0A1X7VTQ0_AMPQE, tr|A0A1X7T0Z2|A0A1X7T0Z2_AMPQE, tr|A0A1X7U5D5|A0A1X7U5D5_AMPQE, tr|A0A1X7V6K7|A0A1X7V6K7_AMPQE, tr|A0A1X7U475|A0A1X7U475_AMPQE	sp|P15918|RAG1_HUMAN
