Orthogroup	Human_UP000005640_9606	Amphimedon_UP000007879_400682
OG0001182	sp|Q9Y266|NUDC_HUMAN	tr|A0A1X7TXI0|A0A1X7TXI0_AMPQE, tr|A0A1X7TXN1|A0A1X7TXN1_AMPQE
OG0001182	sp|Q6IQ55|TTBK2_HUMAN	tr|A0A1X7U4W3|A0A1X7U4W3_AMPQE
OG0001183	sp|Q9NR30|DDX21_HUMAN, sp|Q9BQ39|DDX50_HUMAN	tr|A0A1X7V4E3|A0A1X7V4E3_AMPQE, tr|A0A1X7TXN6|A0A1X7TXN6_AMPQE, tr|A0A1X7SY57|A0A1X7SY57_AMPQE, tr|A0A1X7SLD8|A0A1X7SLD8_AMPQE, tr|A0A1X7TXE1|A0A1X7TXE1_AMPQE, tr|A0A1X7TXN0|A0A1X7TXN0_AMPQE, tr|A0A1X7SI42|A0A1X7SI42_AMPQE
OG0001194	sp|P78352|DLG4_HUMAN, sp|Q12959|DLG1_HUMAN, sp|Q15700|DLG2_HUMAN, sp|Q92796|DLG3_HUMAN	tr|A0A1X7SZS8|A0A1X7SZS8_AMPQE, tr|A0A1X7VQJ0|A0A1X7VQJ0_AMPQE, tr|A0A1X7SM62|A0A1X7SM62_AMPQE, tr|A0A1X7SUZ0|A0A1X7SUZ0_AMPQE
OG0001198	sp|Q96PE2|ARHGH_HUMAN	tr|A0A1X7SMQ5|A0A1X7SMQ5_AMPQE, tr|A0A1X7T2N9|A0A1X7T2N9_AMPQE, tr|A0A1X7U4I3|A0A1X7U4I3_AMPQE, tr|A0A1X7TG06|A0A1X7TG06_AMPQE, tr|A0A1X7UT94|A0A1X7UT94_AMPQE, tr|A0A1X7TGN9|A0A1X7TGN9_AMPQE, tr|A0A1X7T017|A0A1X7T017_AMPQE
OG0001201	sp|Q495C1|RN212_HUMAN	tr|A0A1X7U1Y4|A0A1X7U1Y4_AMPQE
OG0001201	sp|A8MTL3|R212B_HUMAN	tr|A0A1X7T5G6|A0A1X7T5G6_AMPQE, tr|A0A1X7SPF3|A0A1X7SPF3_AMPQE, tr|A0A1X7STC9|A0A1X7STC9_AMPQE, tr|A0A1X7SSZ7|A0A1X7SSZ7_AMPQE, tr|A0A1X7U107|A0A1X7U107_AMPQE, tr|A0A1X7TAA9|A0A1X7TAA9_AMPQE, tr|A0A1X7UF31|A0A1X7UF31_AMPQE, tr|A0A1X7SZM7|A0A1X7SZM7_AMPQE, tr|A0A1X7SWK9|A0A1X7SWK9_AMPQE, tr|A0A1X7U1M8|A0A1X7U1M8_AMPQE
OG0001204	sp|P20073|ANXA7_HUMAN	tr|A0A1X7VQ74|A0A1X7VQ74_AMPQE
OG0001204	sp|P09525|ANXA4_HUMAN	tr|A0A1X7V673|A0A1X7V673_AMPQE
OG0001207	sp|Q9UHF1|EGFL7_HUMAN	tr|A0A1X7SSQ4|A0A1X7SSQ4_AMPQE, tr|A0A1X7V0L3|A0A1X7V0L3_AMPQE, tr|A0A1X7T0G0|A0A1X7T0G0_AMPQE, tr|A0A1X7TGK7|A0A1X7TGK7_AMPQE, tr|A0A1X7V5F3|A0A1X7V5F3_AMPQE
OG0001210	sp|Q12933|TRAF2_HUMAN	tr|A0A1X7T321|A0A1X7T321_AMPQE, tr|A0A1X7TNY0|A0A1X7TNY0_AMPQE, tr|A0A1X7SUK0|A0A1X7SUK0_AMPQE, tr|A0A1X7T4V7|A0A1X7T4V7_AMPQE, tr|A0A1X7TNS4|A0A1X7TNS4_AMPQE, tr|A0A1X7U9F0|A0A1X7U9F0_AMPQE
OG0001213	sp|Q49AM3|TTC31_HUMAN	tr|A0A1X7VCW6|A0A1X7VCW6_AMPQE, tr|A0A1X7SVF3|A0A1X7SVF3_AMPQE, tr|A0A1X7VDM2|A0A1X7VDM2_AMPQE, tr|A0A1X7SV76|A0A1X7SV76_AMPQE, tr|A0A1X7SVC2|A0A1X7SVC2_AMPQE, tr|A0A1X7VEI8|A0A1X7VEI8_AMPQE, tr|A0A1X7VDQ9|A0A1X7VDQ9_AMPQE
OG0001216	sp|Q02083|NAAA_HUMAN	tr|A0A1X7URV2|A0A1X7URV2_AMPQE, tr|A0A1X7SVR9|A0A1X7SVR9_AMPQE, tr|A0A1X7URG3|A0A1X7URG3_AMPQE, tr|A0A1X7U5P5|A0A1X7U5P5_AMPQE, tr|A0A1X7U4F0|A0A1X7U4F0_AMPQE
OG0001217	sp|Q3L8U1|CHD9_HUMAN, sp|Q9HCK8|CHD8_HUMAN, sp|Q9P2D1|CHD7_HUMAN, sp|Q8TD26|CHD6_HUMAN	tr|A0A1X7SVT4|A0A1X7SVT4_AMPQE, tr|A0A1X7T521|A0A1X7T521_AMPQE, tr|A0A1X7UPI6|A0A1X7UPI6_AMPQE, tr|A0A1X7UNY3|A0A1X7UNY3_AMPQE, tr|A0A1X7TFF7|A0A1X7TFF7_AMPQE
OG0001219	sp|Q6ZQW0|I23O2_HUMAN, sp|P14902|I23O1_HUMAN	tr|A0A1X7SXS4|A0A1X7SXS4_AMPQE, tr|A0A1X7T408|A0A1X7T408_AMPQE, tr|A0A1X7UQJ9|A0A1X7UQJ9_AMPQE
OG0001220	sp|O75717|WDHD1_HUMAN	tr|A0A1X7U0S4|A0A1X7U0S4_AMPQE, tr|A0A1X7U0R9|A0A1X7U0R9_AMPQE, tr|A0A1X7U0H6|A0A1X7U0H6_AMPQE, tr|A0A1X7SZ12|A0A1X7SZ12_AMPQE
OG0001221	sp|Q9UKU0|ACSL6_HUMAN, sp|Q9ULC5|ACSL5_HUMAN	tr|A0A1X7TMV0|A0A1X7TMV0_AMPQE, tr|A0A1X7SZR7|A0A1X7SZR7_AMPQE, tr|A0A1X7U4D9|A0A1X7U4D9_AMPQE, tr|A0A1X7TMP3|A0A1X7TMP3_AMPQE
OG0001223	sp|Q8TDB6|DTX3L_HUMAN, sp|Q8N9I9|DTX3_HUMAN, sp|Q5VTB9|RN220_HUMAN	tr|A0A1X7TAA7|A0A1X7TAA7_AMPQE, tr|A0A1X7TZU2|A0A1X7TZU2_AMPQE, tr|A0A1X7T379|A0A1X7T379_AMPQE
OG0001227	sp|Q9Y242|TCF19_HUMAN	tr|A0A1X7T6J5|A0A1X7T6J5_AMPQE, tr|A0A1X7TB24|A0A1X7TB24_AMPQE, tr|A0A1X7TLM4|A0A1X7TLM4_AMPQE, tr|A0A1X7VWY9|A0A1X7VWY9_AMPQE
OG0001229	sp|Q14764|MVP_HUMAN	tr|A0A1X7V8F5|A0A1X7V8F5_AMPQE, tr|A0A1X7VEZ8|A0A1X7VEZ8_AMPQE, tr|A0A1X7VEE6|A0A1X7VEE6_AMPQE, tr|A0A1X7TM74|A0A1X7TM74_AMPQE, tr|A0A1X7TES5|A0A1X7TES5_AMPQE
OG0001230	sp|Q9UK23|NAGPA_HUMAN	tr|A0A1X7THU2|A0A1X7THU2_AMPQE, tr|A0A1X7TF37|A0A1X7TF37_AMPQE, tr|A0A1X7VN70|A0A1X7VN70_AMPQE
OG0001233	sp|Q99489|OXDD_HUMAN	tr|A0A1X7UYN6|A0A1X7UYN6_AMPQE, tr|A0A1X7TJ52|A0A1X7TJ52_AMPQE, tr|A0A1X7TJW5|A0A1X7TJW5_AMPQE, tr|A0A1X7VL09|A0A1X7VL09_AMPQE
OG0001234	sp|Q9ULX3|NOB1_HUMAN	tr|A0A1X7U570|A0A1X7U570_AMPQE, tr|A0A1X7U454|A0A1X7U454_AMPQE, tr|A0A1X7U5D3|A0A1X7U5D3_AMPQE, tr|A0A1X7TJW1|A0A1X7TJW1_AMPQE, tr|A0A1X7TKB4|A0A1X7TKB4_AMPQE, tr|A0A1X7TQG8|A0A1X7TQG8_AMPQE, tr|A0A1X7TQ38|A0A1X7TQ38_AMPQE, tr|A0A1X7TQL9|A0A1X7TQL9_AMPQE
OG0001236	sp|Q9Y2W3|S45A1_HUMAN, sp|Q5BKX6|S45A4_HUMAN, sp|Q9UMX9|S45A2_HUMAN	tr|A0A1X7TMC7|A0A1X7TMC7_AMPQE, tr|A0A1X7TN59|A0A1X7TN59_AMPQE, tr|A0A1X7TVD3|A0A1X7TVD3_AMPQE, tr|A0A1X7VNG0|A0A1X7VNG0_AMPQE
OG0001239	sp|P40261|NNMT_HUMAN, sp|O95050|INMT_HUMAN, sp|P11086|PNMT_HUMAN	tr|A0A1X7TS66|A0A1X7TS66_AMPQE, tr|A0A1X7UGG4|A0A1X7UGG4_AMPQE
OG0001241	sp|P07332|FES_HUMAN, sp|P16591|FER_HUMAN	tr|A0A1X7TWX1|A0A1X7TWX1_AMPQE
OG0001242	sp|Q6NT16|S18B1_HUMAN	tr|A0A1X7TYG0|A0A1X7TYG0_AMPQE
OG0001246	sp|Q96PP8|GBP5_HUMAN, sp|P32456|GBP2_HUMAN, sp|Q9H0R5|GBP3_HUMAN, sp|P32455|GBP1_HUMAN, sp|Q6ZN66|GBP6_HUMAN, sp|Q8N8V2|GBP7_HUMAN, sp|Q96PP9|GBP4_HUMAN	tr|A0A1X7U5G1|A0A1X7U5G1_AMPQE
OG0001247	sp|Q14914|PTGR1_HUMAN	tr|A0A1X7U9W5|A0A1X7U9W5_AMPQE, tr|A0A1X7U9E1|A0A1X7U9E1_AMPQE, tr|A0A1X7U928|A0A1X7U928_AMPQE, tr|A0A1X7U8K1|A0A1X7U8K1_AMPQE
OG0001250	sp|Q6ZQN7|SO4C1_HUMAN, sp|Q86UG4|SO6A1_HUMAN, sp|Q96BD0|SO4A1_HUMAN	tr|A0A1X7UBD9|A0A1X7UBD9_AMPQE, tr|A0A1X7UBY7|A0A1X7UBY7_AMPQE, tr|A0A1X7UB28|A0A1X7UB28_AMPQE
OG0001253	sp|Q6ZNE9|RUFY4_HUMAN	tr|A0A1X7UHN6|A0A1X7UHN6_AMPQE
OG0001255	sp|Q38SD2|LRRK1_HUMAN	tr|A0A1X7UTQ5|A0A1X7UTQ5_AMPQE
OG0001256	sp|Q9BX79|STRA6_HUMAN	tr|A0A1X7UTZ9|A0A1X7UTZ9_AMPQE, tr|A0A1X7VU27|A0A1X7VU27_AMPQE
OG0001257	sp|Q9NP87|DPOLM_HUMAN, sp|P04053|TDT_HUMAN	tr|A0A1X7UWF6|A0A1X7UWF6_AMPQE
OG0001257	sp|Q5T5M9|CCNJ_HUMAN, sp|Q8IV13|CCNJL_HUMAN	tr|A0A1X7VPD4|A0A1X7VPD4_AMPQE
OG0001258	sp|Q9UQ10|DHDH_HUMAN	tr|A0A1X7V111|A0A1X7V111_AMPQE, tr|A0A1X7V0N0|A0A1X7V0N0_AMPQE, tr|A0A1X7UZZ8|A0A1X7UZZ8_AMPQE, tr|A0A1X7UZE2|A0A1X7UZE2_AMPQE
OG0001259	sp|Q8N6K7|SAMD3_HUMAN	tr|A0A1X7V3Z2|A0A1X7V3Z2_AMPQE
OG0001261	sp|P00352|AL1A1_HUMAN, sp|P47895|AL1A3_HUMAN, sp|O94788|AL1A2_HUMAN, sp|P05091|ALDH2_HUMAN, sp|P30837|AL1B1_HUMAN	tr|A0A1X7V480|A0A1X7V480_AMPQE, tr|A0A1X7V4C4|A0A1X7V4C4_AMPQE
OG0001262	sp|P0DP24|CALM2_HUMAN, sp|P0DP25|CALM3_HUMAN, sp|P0DP23|CALM1_HUMAN	tr|A0A1X7VC32|A0A1X7VC32_AMPQE, tr|A0A1X7VAN2|A0A1X7VAN2_AMPQE, tr|A0A1X7VAR6|A0A1X7VAR6_AMPQE, tr|A0A1X7V9V0|A0A1X7V9V0_AMPQE
OG0001263	sp|O75340|PDCD6_HUMAN	tr|A0A1X7VXR4|A0A1X7VXR4_AMPQE
OG0001263	sp|Q9UBV8|PEF1_HUMAN	tr|A0A1X7VBU5|A0A1X7VBU5_AMPQE
OG0001264	sp|Q9UPU3|SORC3_HUMAN, sp|Q8WY21|SORC1_HUMAN, sp|Q96PQ0|SORC2_HUMAN	tr|A0A1X7VDR5|A0A1X7VDR5_AMPQE
OG0001265	sp|Q9NPB6|PAR6A_HUMAN, sp|Q9BYG5|PAR6B_HUMAN, sp|Q9BYG4|PAR6G_HUMAN	tr|A0A1X7VFD5|A0A1X7VFD5_AMPQE
OG0001265	sp|P30044|PRDX5_HUMAN	tr|A0A1X7VEM2|A0A1X7VEM2_AMPQE
OG0001267	sp|O14610|GBGT2_HUMAN, sp|P63211|GBG1_HUMAN, sp|P61952|GBG11_HUMAN, sp|P63215|GBG3_HUMAN, sp|P50150|GBG4_HUMAN, sp|P59768|GBG2_HUMAN, sp|Q9UK08|GBG8_HUMAN, sp|P63218|GBG5_HUMAN, sp|P50151|GBG10_HUMAN, sp|A0A1W2PPG7|GBG14_HUMAN, sp|Q9UBI6|GBG12_HUMAN, sp|O60262|GBG7_HUMAN	tr|A0A1X7VI03|A0A1X7VI03_AMPQE
OG0001269	sp|O60704|TPST2_HUMAN, sp|O60507|TPST1_HUMAN	tr|A0A1X7VIC2|A0A1X7VIC2_AMPQE
OG0001270	sp|Q96MP5|ZSWM3_HUMAN	tr|A0A1X7VIJ8|A0A1X7VIJ8_AMPQE
OG0001271	sp|Q75V66|ANO5_HUMAN, sp|Q4KMQ2|ANO6_HUMAN, sp|Q9BYT9|ANO3_HUMAN, sp|Q32M45|ANO4_HUMAN	tr|A0A1X7VNI0|A0A1X7VNI0_AMPQE, tr|A0A1X7VMK6|A0A1X7VMK6_AMPQE
OG0001272	sp|Q53GQ0|DHB12_HUMAN	tr|A0A1X7VQC6|A0A1X7VQC6_AMPQE, tr|A0A1X7VS96|A0A1X7VS96_AMPQE, tr|A0A1X7VPI1|A0A1X7VPI1_AMPQE, tr|A0A1X7VR26|A0A1X7VR26_AMPQE
OG0001273	sp|Q9Y6W6|DUS10_HUMAN	tr|A0A1X7VVV2|A0A1X7VVV2_AMPQE
OG0001315	sp|Q9H4G8|DPH3B_HUMAN, sp|Q96FX2|DPH3_HUMAN	tr|A0A1X7TII6|A0A1X7TII6_AMPQE, tr|A0A1X7SDA5|A0A1X7SDA5_AMPQE, tr|A0A1X7SK63|A0A1X7SK63_AMPQE, tr|A0A1X7UV52|A0A1X7UV52_AMPQE
OG0001317	sp|Q68DL7|CR063_HUMAN	tr|A0A1X7SDN2|A0A1X7SDN2_AMPQE, tr|A0A1X7V105|A0A1X7V105_AMPQE, tr|A0A1X7UZL5|A0A1X7UZL5_AMPQE, tr|A0A1X7V0F0|A0A1X7V0F0_AMPQE, tr|A0A1X7V1G6|A0A1X7V1G6_AMPQE, tr|A0A1X7VI47|A0A1X7VI47_AMPQE, tr|A0A1X7V0V0|A0A1X7V0V0_AMPQE, tr|A0A1X7VIH0|A0A1X7VIH0_AMPQE
OG0001318	sp|Q9UBB9|TFP11_HUMAN	tr|A0A1X7SLD0|A0A1X7SLD0_AMPQE, tr|A0A1X7UJY7|A0A1X7UJY7_AMPQE, tr|A0A1X7SGJ4|A0A1X7SGJ4_AMPQE, tr|A0A1X7SV98|A0A1X7SV98_AMPQE, tr|A0A1X7UJ81|A0A1X7UJ81_AMPQE, tr|A0A1X7SDT6|A0A1X7SDT6_AMPQE
OG0001324	sp|A2RRP1|NBAS_HUMAN	tr|A0A1X7SRV0|A0A1X7SRV0_AMPQE, tr|A0A1X7SF03|A0A1X7SF03_AMPQE, tr|A0A1X7TKX9|A0A1X7TKX9_AMPQE
OG0001325	sp|Q5VXU9|SHOC1_HUMAN	tr|A0A1X7SM44|A0A1X7SM44_AMPQE, tr|A0A1X7SF10|A0A1X7SF10_AMPQE, tr|A0A1X7UI13|A0A1X7UI13_AMPQE, tr|A0A1X7UGL7|A0A1X7UGL7_AMPQE
OG0001332	sp|P51398|RT29_HUMAN	tr|A0A1X7V2H8|A0A1X7V2H8_AMPQE, tr|A0A1X7TI91|A0A1X7TI91_AMPQE, tr|A0A1X7SXC4|A0A1X7SXC4_AMPQE, tr|A0A1X7SGB1|A0A1X7SGB1_AMPQE, tr|A0A1X7THM5|A0A1X7THM5_AMPQE, tr|A0A1X7TU45|A0A1X7TU45_AMPQE, tr|A0A1X7TBF7|A0A1X7TBF7_AMPQE
OG0001334	sp|O75808|CAN15_HUMAN	tr|A0A1X7SGP9|A0A1X7SGP9_AMPQE, tr|A0A1X7UG64|A0A1X7UG64_AMPQE, tr|A0A1X7UFM8|A0A1X7UFM8_AMPQE, tr|A0A1X7SKH5|A0A1X7SKH5_AMPQE, tr|A0A1X7UH10|A0A1X7UH10_AMPQE, tr|A0A1X7SKP5|A0A1X7SKP5_AMPQE
OG0001337	sp|P18433|PTPRA_HUMAN, sp|P23469|PTPRE_HUMAN	tr|A0A1X7UGW7|A0A1X7UGW7_AMPQE, tr|A0A1X7U5Q5|A0A1X7U5Q5_AMPQE, tr|A0A1X7SHG7|A0A1X7SHG7_AMPQE, tr|A0A1X7U9D0|A0A1X7U9D0_AMPQE
OG0001338	sp|Q8N6M0|OTU6B_HUMAN, sp|Q7L8S5|OTU6A_HUMAN	tr|A0A1X7U8D3|A0A1X7U8D3_AMPQE, tr|A0A1X7SHK8|A0A1X7SHK8_AMPQE
OG0001340	sp|Q9BYT1|S17A9_HUMAN	tr|A0A1X7TP22|A0A1X7TP22_AMPQE, tr|A0A1X7SHU0|A0A1X7SHU0_AMPQE, tr|A0A1X7U4J2|A0A1X7U4J2_AMPQE, tr|A0A1X7TNJ7|A0A1X7TNJ7_AMPQE, tr|A0A1X7TMS8|A0A1X7TMS8_AMPQE, tr|A0A1X7TNQ4|A0A1X7TNQ4_AMPQE, tr|A0A1X7SV47|A0A1X7SV47_AMPQE, tr|A0A1X7TDD2|A0A1X7TDD2_AMPQE
OG0001342	sp|P34925|RYK_HUMAN	tr|A0A1X7SHZ4|A0A1X7SHZ4_AMPQE, tr|A0A1X7SRB2|A0A1X7SRB2_AMPQE, tr|A0A1X7TVZ0|A0A1X7TVZ0_AMPQE, tr|A0A1X7T1M9|A0A1X7T1M9_AMPQE, tr|A0A1X7SI34|A0A1X7SI34_AMPQE, tr|A0A1X7UKP0|A0A1X7UKP0_AMPQE, tr|A0A1X7TW83|A0A1X7TW83_AMPQE, tr|A0A1X7UKG9|A0A1X7UKG9_AMPQE
OG0001344	sp|P42696|RBM34_HUMAN	tr|A0A1X7TF14|A0A1X7TF14_AMPQE, tr|A0A1X7SZW0|A0A1X7SZW0_AMPQE, tr|A0A1X7T193|A0A1X7T193_AMPQE, tr|A0A1X7U8R1|A0A1X7U8R1_AMPQE, tr|A0A1X7VXQ9|A0A1X7VXQ9_AMPQE, tr|A0A1X7TBG5|A0A1X7TBG5_AMPQE, tr|A0A1X7TKG7|A0A1X7TKG7_AMPQE, tr|A0A1X7SI94|A0A1X7SI94_AMPQE, tr|A0A1X7UJ91|A0A1X7UJ91_AMPQE
OG0001345	sp|Q9NXD2|MTMRA_HUMAN, sp|Q9C0I1|MTMRC_HUMAN, sp|A4FU01|MTMRB_HUMAN	tr|A0A1X7SZK9|A0A1X7SZK9_AMPQE, tr|A0A1X7SJ06|A0A1X7SJ06_AMPQE, tr|A0A1X7U4R9|A0A1X7U4R9_AMPQE, tr|A0A1X7TSA0|A0A1X7TSA0_AMPQE, tr|A0A1X7TRZ2|A0A1X7TRZ2_AMPQE
OG0001353	sp|Q14644|RASA3_HUMAN, sp|Q15283|RASA2_HUMAN	tr|A0A1X7TIM1|A0A1X7TIM1_AMPQE, tr|A0A1X7TCM3|A0A1X7TCM3_AMPQE, tr|A0A1X7TIL3|A0A1X7TIL3_AMPQE, tr|A0A1X7TS63|A0A1X7TS63_AMPQE, tr|A0A1X7SL48|A0A1X7SL48_AMPQE, tr|A0A1X7STP6|A0A1X7STP6_AMPQE, tr|A0A1X7SVR5|A0A1X7SVR5_AMPQE, tr|A0A1X7THP4|A0A1X7THP4_AMPQE
OG0001357	sp|Q8TE77|SSH3_HUMAN, sp|Q8WYL5|SSH1_HUMAN	tr|A0A1X7SNP2|A0A1X7SNP2_AMPQE, tr|A0A1X7TYC0|A0A1X7TYC0_AMPQE
OG0001358	sp|Q9UBV7|B4GT7_HUMAN	tr|A0A1X7VMR9|A0A1X7VMR9_AMPQE
OG0001358	sp|Q9UBX8|B4GT6_HUMAN, sp|O43286|B4GT5_HUMAN, sp|P15291|B4GT1_HUMAN, sp|O60909|B4GT2_HUMAN, sp|O60512|B4GT3_HUMAN, sp|O60513|B4GT4_HUMAN	tr|A0A1X7SP08|A0A1X7SP08_AMPQE
OG0001365	sp|P00491|PNPH_HUMAN	tr|A0A1X7VWH2|A0A1X7VWH2_AMPQE, tr|A0A1X7SSD8|A0A1X7SSD8_AMPQE, tr|A0A1X7VXR0|A0A1X7VXR0_AMPQE, tr|A0A1X7STR5|A0A1X7STR5_AMPQE, tr|A0A1X7SSJ7|A0A1X7SSJ7_AMPQE
OG0001366	sp|P61006|RAB8A_HUMAN	tr|A0A1X7STF9|A0A1X7STF9_AMPQE
OG0001366	sp|Q86YS6|RAB43_HUMAN	tr|A0A1X7TMW7|A0A1X7TMW7_AMPQE, tr|A0A1X7UW91|A0A1X7UW91_AMPQE
OG0001370	sp|Q15468|STIL_HUMAN	tr|A0A1X7TW82|A0A1X7TW82_AMPQE, tr|A0A1X7SV35|A0A1X7SV35_AMPQE, tr|A0A1X7TWM4|A0A1X7TWM4_AMPQE, tr|A0A1X7TX18|A0A1X7TX18_AMPQE, tr|A0A1X7T8A9|A0A1X7T8A9_AMPQE, tr|A0A1X7TAS0|A0A1X7TAS0_AMPQE, tr|A0A1X7TBT2|A0A1X7TBT2_AMPQE, tr|A0A1X7UVB2|A0A1X7UVB2_AMPQE, tr|A0A1X7UVF8|A0A1X7UVF8_AMPQE
OG0001371	sp|Q8WWQ0|PHIP_HUMAN, sp|Q6RI45|BRWD3_HUMAN, sp|Q9NSI6|BRWD1_HUMAN	tr|A0A1X7T4Y5|A0A1X7T4Y5_AMPQE, tr|A0A1X7TA20|A0A1X7TA20_AMPQE, tr|A0A1X7T9T8|A0A1X7T9T8_AMPQE, tr|A0A1X7T9Y1|A0A1X7T9Y1_AMPQE, tr|A0A1X7SVG1|A0A1X7SVG1_AMPQE
OG0001374	sp|Q5JQF8|PAP1M_HUMAN, sp|Q96DU9|PABP5_HUMAN, sp|P0CB38|PAB4L_HUMAN, sp|Q13310|PABP4_HUMAN, sp|P11940|PABP1_HUMAN, sp|Q9H361|PABP3_HUMAN, sp|Q4VXU2|PAP1L_HUMAN	tr|A0A1X7SWH1|A0A1X7SWH1_AMPQE, tr|A0A1X7UXV6|A0A1X7UXV6_AMPQE
OG0001382	sp|Q8TBB5|KLDC4_HUMAN	tr|A0A1X7T7R8|A0A1X7T7R8_AMPQE, tr|A0A1X7UGV0|A0A1X7UGV0_AMPQE, tr|A0A1X7TA58|A0A1X7TA58_AMPQE, tr|A0A1X7T4I6|A0A1X7T4I6_AMPQE, tr|A0A1X7T9W8|A0A1X7T9W8_AMPQE, tr|A0A1X7TSF3|A0A1X7TSF3_AMPQE, tr|A0A1X7UAP0|A0A1X7UAP0_AMPQE
OG0001384	sp|Q96JB1|DYH8_HUMAN	tr|A0A1X7TTY0|A0A1X7TTY0_AMPQE
OG0001384	sp|Q8TE73|DYH5_HUMAN	tr|A0A1X7T5W8|A0A1X7T5W8_AMPQE, tr|A0A1X7TY15|A0A1X7TY15_AMPQE, tr|A0A1X7V4V8|A0A1X7V4V8_AMPQE
OG0001387	sp|P15848|ARSB_HUMAN	tr|A0A1X7VU09|A0A1X7VU09_AMPQE, tr|A0A1X7VSF5|A0A1X7VSF5_AMPQE, tr|A0A1X7V9G0|A0A1X7V9G0_AMPQE, tr|A0A1X7UNX1|A0A1X7UNX1_AMPQE, tr|A0A1X7VA56|A0A1X7VA56_AMPQE, tr|A0A1X7TA45|A0A1X7TA45_AMPQE, tr|A0A1X7TAG4|A0A1X7TAG4_AMPQE, tr|A0A1X7V8R5|A0A1X7V8R5_AMPQE, tr|A0A1X7TA41|A0A1X7TA41_AMPQE
OG0001389	sp|Q99933|BAG1_HUMAN	tr|A0A1X7UVA4|A0A1X7UVA4_AMPQE, tr|A0A1X7TGS6|A0A1X7TGS6_AMPQE
OG0001392	sp|Q96MV1|TLCD4_HUMAN	tr|A0A1X7TLL2|A0A1X7TLL2_AMPQE, tr|A0A1X7TLZ0|A0A1X7TLZ0_AMPQE, tr|A0A1X7U6K8|A0A1X7U6K8_AMPQE
OG0001393	sp|Q96FA7|ZB6CL_HUMAN	tr|A0A1X7U7K9|A0A1X7U7K9_AMPQE
OG0001393	sp|O75132|ZBED4_HUMAN, sp|P86452|ZBED6_HUMAN	tr|A0A1X7TME1|A0A1X7TME1_AMPQE, tr|A0A1X7U3K0|A0A1X7U3K0_AMPQE, tr|A0A1X7TWE0|A0A1X7TWE0_AMPQE
OG0001395	sp|Q8N7A1|KLDC1_HUMAN	tr|A0A1X7UA17|A0A1X7UA17_AMPQE, tr|A0A1X7V0I3|A0A1X7V0I3_AMPQE, tr|A0A1X7TNW6|A0A1X7TNW6_AMPQE
OG0001397	sp|Q16762|THTR_HUMAN, sp|P25325|THTM_HUMAN	tr|A0A1X7TWH2|A0A1X7TWH2_AMPQE, tr|A0A1X7TWC6|A0A1X7TWC6_AMPQE, tr|A0A1X7V6C7|A0A1X7V6C7_AMPQE
OG0001400	sp|Q15493|RGN_HUMAN	tr|A0A1X7VCC6|A0A1X7VCC6_AMPQE, tr|A0A1X7TZS6|A0A1X7TZS6_AMPQE, tr|A0A1X7V3P5|A0A1X7V3P5_AMPQE
OG0001402	sp|O00401|WASL_HUMAN, sp|P42768|WASP_HUMAN	tr|A0A1X7V879|A0A1X7V879_AMPQE, tr|A0A1X7U2E2|A0A1X7U2E2_AMPQE
OG0001403	sp|Q9UGT4|SUSD2_HUMAN	tr|A0A1X7U2X5|A0A1X7U2X5_AMPQE, tr|A0A1X7V253|A0A1X7V253_AMPQE
OG0001406	sp|O43529|CHSTA_HUMAN, sp|Q7L1S5|CHST9_HUMAN, sp|Q9H2A9|CHST8_HUMAN, sp|Q9NPF2|CHSTB_HUMAN, sp|Q8NET6|CHSTD_HUMAN, sp|Q9NRB3|CHSTC_HUMAN, sp|Q8NCH0|CHSTE_HUMAN	tr|A0A1X7U8G4|A0A1X7U8G4_AMPQE, tr|A0A1X7U7J5|A0A1X7U7J5_AMPQE
OG0001407	sp|P17213|BPI_HUMAN, sp|P18428|LBP_HUMAN	tr|A0A1X7UNH9|A0A1X7UNH9_AMPQE, tr|A0A1X7UE02|A0A1X7UE02_AMPQE, tr|A0A1X7UEG1|A0A1X7UEG1_AMPQE
OG0001409	sp|Q8NHU6|TDRD7_HUMAN	tr|A0A1X7UFX1|A0A1X7UFX1_AMPQE
OG0001410	sp|O75038|PLCH2_HUMAN	tr|A0A1X7VUT6|A0A1X7VUT6_AMPQE
OG0001410	sp|P51178|PLCD1_HUMAN, sp|Q8N3E9|PLCD3_HUMAN, sp|Q9BRC7|PLCD4_HUMAN, sp|Q86YW0|PLCZ1_HUMAN	tr|A0A1X7UI87|A0A1X7UI87_AMPQE, tr|A0A1X7UIJ2|A0A1X7UIJ2_AMPQE
OG0001411	sp|Q9NQT5|EXOS3_HUMAN	tr|A0A1X7UJH4|A0A1X7UJH4_AMPQE
OG0001413	sp|Q13554|KCC2B_HUMAN, sp|Q13555|KCC2G_HUMAN, sp|Q13557|KCC2D_HUMAN, sp|Q9UQM7|KCC2A_HUMAN	tr|A0A1X7VND2|A0A1X7VND2_AMPQE, tr|A0A1X7UK12|A0A1X7UK12_AMPQE
