Orthogroup	Human_UP000005640_9606	Ephydatia_Emu_v1_prots
OG0000137	sp|Q5NE16|CATL3_HUMAN, sp|P07711|CATL1_HUMAN, sp|O60911|CATL2_HUMAN, sp|P43235|CATK_HUMAN	Em0005g1131a, Em0017g930a, Em0017g928a, Em0003g1438a, Em0003g1437a, Em0003g1436a, Em0003g1460a, Em0056g25a, Em0011g357a, Em0011g353a, Em0011g358a, Em0011g351a, Em0005g1108a, Em0003g1439a, Em0017g885a, Em0017g867a, Em0017g868a, Em0017g884a, Em0017g816a, Em0020g69a, Em0020g64a, Em0019g324a
OG0000141	sp|Q5VTL7|FNDC7_HUMAN	Em0005g340a, Em0018g1174a, Em0005g396a, Em0005g298a, Em0025g47a, Em0025g103a, Em0005g288a, Em0005g430a, Em0005g346a, Em0025g5a, Em0005g332a, Em0005g402a, Em0005g292a, Em0025g27a, Em0025g32a, Em0025g64a, Em0005g380a, Em0005g343a, Em0025g42a, Em0025g29a, Em0005g345a, Em0005g394a, Em0005g312a, Em0025g48a, Em0025g9a, Em0025g31a, Em0025g114a, Em0005g300a, Em0005g398a, Em0005g388a, Em0005g462a, Em0005g389a, Em0025g56a, Em0005g356a, Em0025g3a, Em0005g302a, Em0025g38a, Em0005g349a, Em0005g438a, Em0005g353a, Em0025g84a, Em0025g109a, Em0021g650a, Em0004g424a
OG0000147	sp|P58876|H2B1D_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q6DRA6|H2B2D_HUMAN, sp|Q6DN03|H2B2C_HUMAN, sp|Q16778|H2B2E_HUMAN, sp|P06899|H2B1J_HUMAN, sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN, sp|P62807|H2B1C_HUMAN, sp|P33778|H2B1B_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|P23527|H2B1O_HUMAN, sp|Q8N257|H2B3B_HUMAN, sp|Q99880|H2B1L_HUMAN, sp|Q96A08|H2B1A_HUMAN	Em0007g145a, Em0082g1a, Em0007g188a, Em0007g212a, Em0007g158a, Em0014g877a, Em0009g293a, Em0007g165a, Em0009g303a, Em0232g6a, Em0007g194a, Em0007g127a, Em0007g208a, Em0014g551a, Em0082g4a, Em0007g152a, Em0007g216a, Em0001g2522a, Em0007g190a, Em0008g1255a, Em0008g1239a, Em0006g907a
OG0000164	sp|Q8IUE6|H2A2B_HUMAN, sp|P0C0S8|H2A1_HUMAN, sp|P04908|H2A1B_HUMAN, sp|P20671|H2A1D_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|Q7L7L0|H2A3_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q16777|H2A2C_HUMAN, sp|Q9BTM1|H2AJ_HUMAN, sp|Q96QV6|H2A1A_HUMAN, sp|P16104|H2AX_HUMAN	Em0008g1254a, Em0008g1238a, Em0001g2523a, Em0014g552a, Em0007g209a, Em0014g879a, Em0082g3a, Em0014g878a, Em0082g2a, Em0007g192a, Em0007g217a, Em0007g227a, Em0007g151a, Em0007g159a, Em0007g189a, Em0007g193a, Em0007g144a, Em0007g126a, Em0232g5a, Em0007g166a, Em0007g213a, Em0009g292a, Em0009g304a
OG0000168	sp|O75899|GABR2_HUMAN	Em0023g249a, Em0019g1032a, Em0013g654a, Em0008g607a, Em0816g3a, Em0013g411a, Em0013g413a, Em0013g421a, Em0001g84a, Em0006g1260a, Em0006g1273a, Em0013g937a, Em0013g916a, Em0013g896a, Em0013g907a, Em0013g910a, Em0013g946a, Em0013g921a
OG0000175	sp|P11142|HSP7C_HUMAN, sp|P54652|HSP72_HUMAN	Em0014g957a, Em0014g939a, Em0014g940a, Em0014g667a, Em0014g990a, Em0014g1006a, Em0014g1007a, Em0014g958a, Em0014g989a, Em0014g668a, Em0013g646a, Em0013g621a, Em0014g963a, Em0014g983a, Em0013g650a, Em0013g636a, Em0013g648a, Em0013g634a, Em0012g753a, Em0012g762a
OG0000175	sp|P11021|BIP_HUMAN	Em0016g1004a
OG0000175	sp|P17066|HSP76_HUMAN, sp|P48741|HSP77_HUMAN	Em0009g66a
OG0000203	sp|Q6ZNA5|FRRS1_HUMAN, sp|Q9P0K9|FRS1L_HUMAN	Em0017g220a, Em0012g44a, Em0012g17a, Em0012g42a, Em0012g43a, Em0011g43a, Em0011g44a, Em0599g2a, Em0011g58a, Em0011g57a, Em0011g46a, Em0599g3a, Em0011g332a, Em0011g45a, Em0013g42a, Em0015g658a
OG0000214	sp|A1L4L8|PL8L1_HUMAN, sp|Q9BYD5|CNFN_HUMAN, sp|Q9NZF1|PLAC8_HUMAN	Em0024g59a, Em0024g81a, Em0024g82a, Em0001g853a, Em0001g855a, Em0001g1689a, Em0001g896a, Em0019g117a, Em0001g2242a
OG0000215	sp|O95625|ZBT11_HUMAN	Em0033g28a, Em0004g1292a, Em0012g799a, Em0017g266a, Em0002g217a, Em0003g1321a, Em0004g1143a, Em0012g598a, Em0013g739a, Em0017g712a, Em0004g1165a, Em0003g1100a, Em0001g1759a, Em0017g758a, Em0004g1053a, Em0003g799a, Em0017g265a, Em0012g784a, Em0002g516a, Em0001g3369a, Em0017g706a, Em0006g398a, Em0007g780a, Em0003g699a, Em0007g806a, Em0185g1a, Em0008g25a, Em0001g960a, Em0011g466a, Em0242g2a, Em0351g4a, Em0370g5a, Em0527g3a, Em0251g5a
OG0000221	sp|Q96CN5|LRC45_HUMAN	Em0012g629a, Em0002g681a, Em0006g1336a, Em0002g725a, Em0002g713a, Em0061g14a, Em0322g2a, Em0408g2a, Em0002g786a, Em0002g1077a, Em0002g1099a, Em0002g784a, Em0002g704a, Em0002g791a, Em0002g652a, Em0002g666a, Em0002g668a, Em0002g773a, Em0002g716a, Em0002g718a, Em0002g724a, Em0002g778a, Em0002g703a, Em0002g717a, Em0002g790a, Em0336g4a, Em0002g710a, Em0558g2a, Em0061g6a, Em0002g689a, Em0002g695a, Em0002g698a, Em0002g787a, Em0002g654a, Em0002g660a
OG0000228	sp|Q9P215|POGK_HUMAN	Em0011g649a, Em0106g10a, Em0006g1563a, Em0093g15a, Em0001g3726a, Em0004g889a, Em0015g720a, Em0010g771a, Em0001g2998a, Em0002g1811a, Em0014g316a, Em0001g3229a, Em0006g1443a, Em0002g1923a, Em0021g566a, Em0011g440a, Em0019g8a
OG0000232	sp|A0A1B0GV85|RELD1_HUMAN	Em0002g512a, Em0016g825a, Em0007g685a, Em0008g669a, Em0007g697a, Em0007g694a, Em0008g593a, Em0020g989a, Em0115g5a, Em0018g257a, Em0115g2a, Em0002g519a, Em0018g262a, Em0018g241a, Em0018g263a, Em0018g275a, Em0002g513a, Em0018g240a, Em0009g931a, Em0009g870a, Em0009g893a, Em0009g903a, Em0009g911a, Em0001g689a, Em0018g260a, Em0018g259a, Em0016g906a, Em0016g893a, Em0557g1a, Em0557g2a, Em0006g44a, Em0006g43a, Em0006g42a, Em0006g45a
OG0000239	sp|Q9NVC6|MED17_HUMAN	Em0019g162a
OG0000240	sp|Q9NZJ4|SACS_HUMAN	Em0011g846a, Em0011g841a, Em0011g842a, Em0011g843a, Em0011g1022a, Em0006g1368a, Em0006g1358a, Em0005g1272a
OG0000242	sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN	Em0013g409a, Em0009g1208a, Em0009g1212a, Em0009g1178a, Em0003g1278a, Em0001g1975a, Em0009g1201a, Em0002g887a, Em0009g1202a, Em0009g1209a, Em0009g1206a, Em0009g1204a, Em0009g1205a, Em0017g304a, Em0020g315a, Em0020g282a
OG0000243	sp|Q9HCI6|K1586_HUMAN	Em0015g397a, Em0021g320a, Em0016g454a, Em0017g553a, Em1121g1a, Em0001g1315a, Em0024g172a, Em0011g611a, Em0087g5a, Em0008g995a, Em0004g692a, Em0036g20a, Em0681g1a, Em0003g138a, Em0013g38a, Em0187g11a, Em0012g351a, Em0023g597a, Em0481g5a, Em0001g459a, Em0001g2295a, Em0010g462a, Em0007g120a, Em0014g70a, Em0016g455a, Em0017g584a, Em0004g860a, Em0004g838a, Em0004g816a, Em1344g1a, Em0007g1137a, Em0014g1008a, Em0019g450a
OG0000263	sp|Q6UVY6|MOXD1_HUMAN	Em0006g282a, Em0006g277a, Em0022g782a, Em0006g275a, Em0022g770a, Em0006g272a, Em0021g531a, Em0008g682a, Em0006g1018a
OG0000274	sp|Q9NR16|C163B_HUMAN, sp|Q86VB7|C163A_HUMAN, sp|Q9UGM3|DMBT1_HUMAN	Em0006g910a, Em0006g913a, Em0002g436a, Em0022g445a, Em0975g1a, Em0022g463a, Em0353g1a, Em0022g464a, Em0022g456a, Em0022g452a, Em0012g567a, Em0019g1086a, Em0005g1578a, Em0003g566a, Em0001g1702a, Em0008g906a, Em0007g864a
OG0000291	sp|Q8NBP7|PCSK9_HUMAN	Em0003g331a, Em0016g371a, Em0015g283a, Em0015g276a, Em0005g1587a, Em0005g1582a, Em0005g1580a, Em0002g301a, Em0005g1563a, Em0005g1575a, Em0005g1535a, Em0005g1534a, Em0005g1536a
OG0000297	sp|P11678|PERE_HUMAN, sp|P05164|PERM_HUMAN, sp|P22079|PERL_HUMAN	Em0006g1319a, Em0006g1121a, Em0006g1090a, Em0011g318a, Em0051g14a, Em0004g1248a, Em0004g1245a, Em0011g316a, Em0006g864a, Em0006g866a, Em0006g870a, Em0406g3a, Em0006g1087a, Em0006g1118a
OG0000302	sp|P09917|LOX5_HUMAN	Em0007g935a, Em0007g927a, Em0001g581a, Em0014g507a, Em0014g463a, Em0006g1385a, Em0006g1366a, Em0006g1382a, Em0006g1383a, Em0008g244a, Em0008g241a, Em0008g242a, Em0008g245a, Em0005g961a, Em0013g1108a, Em0013g673a, Em0060g1a, Em0013g644a, Em0013g625a, Em0006g1060a, Em0013g663a, Em0060g2a, Em0013g676a
OG0000317	sp|Q13405|RM49_HUMAN	Em0019g333a
OG0000318	sp|Q96DM1|PGBD4_HUMAN	Em0007g1275a, Em0635g2a, Em1217g1a, Em0001g3594a, Em0001g1042a, Em0007g1291a, Em0026g3a, Em0803g2a, Em0008g292a, Em0007g1541a, Em0003g13a, Em0003g5a, Em0001g3573a, Em0014g673a, Em0012g33a
OG0000319	sp|Q9HBH5|RDH14_HUMAN, sp|Q8NBN7|RDH13_HUMAN	Em0003g1402a, Em0001g1108a, Em0001g1076a, Em0011g113a, Em0011g96a, Em0011g110a, Em0011g93a, Em0011g95a, Em0011g112a, Em0011g115a, Em1064g2a, Em0011g594a, Em0003g1409a
OG0000341	sp|O60760|HPGDS_HUMAN	Em0005g1017a, Em0012g670a, Em0012g663a, Em0009g918a, Em0009g915a, Em0615g2a, Em0009g598a, Em0009g599a, Em0009g594a, Em0009g824a
OG0000356	sp|P63000|RAC1_HUMAN	Em0020g639a, Em0009g740a, Em0009g737a, Em0009g753a, Em0009g410a, Em0009g414a, Em0009g434a, Em0009g422a, Em0009g416a, Em0009g433a, Em0009g432a, Em0009g415a, Em0009g423a, Em0009g417a
OG0000358	sp|Q9UL26|RB22A_HUMAN, sp|Q13636|RAB31_HUMAN	Em0018g1050a, Em0018g1092a, Em0048g19a
OG0000363	sp|Q99102|MUC4_HUMAN	Em0010g208a, Em0010g218a, Em0001g1649a, Em0001g1674a, Em0001g1634a, Em0010g214a, Em0310g2a, Em0382g2a, Em0418g2a, Em0462g1a, Em0010g762a, Em0010g757a, Em0010g756a, Em0418g1a, Em0005g97a, Em0001g3643a, Em0010g209a, Em0010g239a, Em0002g1565a, Em0002g1561a
OG0000382	sp|P56730|NETR_HUMAN, sp|Q8WTU2|SRB4D_HUMAN	Em0008g1100a, Em0008g1090a, Em0002g1699a, Em0002g1733a, Em0001g1646a, Em0002g1717a, Em0002g1711a, Em0001g1698a, Em0005g1586a, Em0001g1690a, Em0001g1679a
OG0000385	sp|Q2TB18|ASTE1_HUMAN	Em0016g520a
OG0000386	sp|Q2M3G0|ABCB5_HUMAN, sp|P08183|MDR1_HUMAN, sp|P21439|MDR3_HUMAN, sp|O95342|ABCBB_HUMAN	Em0022g356a, Em0022g351a, Em0022g354a, Em0021g383a, Em0001g2337a, Em0001g2339a, Em0808g1a, Em0008g111a, Em0008g116a, Em0001g2322a, Em0001g2268a, Em0001g2275a, Em0021g160a, Em0021g159a
OG0000388	sp|Q13114|TRAF3_HUMAN	Em0008g783a, Em0008g744a, Em0008g713a, Em0008g749a, Em0008g717a, Em0008g748a, Em0008g740a, Em0008g752a, Em0008g751a, Em0008g712a, Em0008g719a, Em0008g775a, Em0008g778a, Em0008g714a, Em0008g745a, Em0008g743a, Em0008g784a, Em0008g754a, Em0008g753a, Em0885g1a, Em0008g741a, Em0008g710a, Em0008g709a
OG0000409	sp|Q9NXI6|RN186_HUMAN	Em0012g468a, Em0002g1761a
OG0000410	sp|Q9Y3Q0|NALD2_HUMAN, sp|Q9HBA9|FOH1B_HUMAN, sp|Q04609|FOLH1_HUMAN	Em0009g756a, Em0009g742a, Em0009g757a, Em0009g728a, Em0009g729a, Em0009g733a, Em0009g748a, Em0009g758a, Em0009g735a, Em0001g3672a, Em0001g3671a
OG0000411	sp|O00534|VMA5A_HUMAN	Em0020g860a, Em0020g858a, Em0020g849a, Em0020g854a, Em0020g851a, Em0020g850a, Em0020g880a, Em0020g881a, Em0020g874a, Em0020g879a, Em0020g877a, Em0010g170a, Em0001g2780a, Em0001g2773a, Em0001g2777a, Em0001g2788a, Em0022g38a
OG0000415	sp|Q96B67|ARRD3_HUMAN, sp|Q8TBH0|ARRD2_HUMAN, sp|Q8NCT1|ARRD4_HUMAN, sp|Q9H3M7|TXNIP_HUMAN, sp|Q8N5I2|ARRD1_HUMAN	Em0011g595a, Em0011g627a, Em0011g628a, Em0011g610a, Em0087g6a, Em0087g7a, Em0011g609a, Em0018g592a, Em0001g241a, Em0001g239a, Em0011g555a
OG0000416	sp|P0DPH8|TBA3D_HUMAN, sp|P0DPH7|TBA3C_HUMAN, sp|Q6PEY2|TBA3E_HUMAN	Em0005g667a
OG0000416	sp|P68363|TBA1B_HUMAN, sp|Q71U36|TBA1A_HUMAN, sp|Q9BQE3|TBA1C_HUMAN, sp|P68366|TBA4A_HUMAN, sp|Q9NY65|TBA8_HUMAN, sp|A6NHL2|TBAL3_HUMAN	Em0018g783a, Em0018g776a, Em0018g785a, Em0018g786a, Em0018g773a
OG0000417	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN	Em0020g41a
OG0000438	sp|Q6ZMJ2|SCAR5_HUMAN	Em0016g925a, Em0007g861a
OG0000439	sp|Q7Z6K1|THAP5_HUMAN, sp|Q8NA92|THAP8_HUMAN	Em0389g4a, Em0022g877a, Em0005g628a, Em0003g1251a, Em0001g2682a, Em0389g2a, Em0005g631a, Em0011g1137a, Em0005g734a, Em0016g388a, Em0007g1413a, Em0004g1110a
OG0000443	sp|Q9NZJ5|E2AK3_HUMAN, sp|Q9BQI3|E2AK1_HUMAN, sp|P19525|E2AK2_HUMAN	Em0018g163a, Em0018g162a, Em0018g176a
OG0000448	sp|P06241|FYN_HUMAN, sp|P07947|YES_HUMAN, sp|P12931|SRC_HUMAN	Em0023g184a, Em0023g157a, Em0023g158a, Em0023g150a
OG0000448	sp|P42685|FRK_HUMAN	Em0023g340a, Em0023g348a, Em0015g483a, Em0023g344a, Em0023g342a, Em0023g349a
OG0000449	sp|Q8NCC3|PAG15_HUMAN, sp|P04180|LCAT_HUMAN	Em0018g1058a, Em0018g1059a, Em0018g1060a, Em0002g1410a, Em0001g2768a, Em0002g1430a, Em0002g1422a, Em0002g1414a, Em0006g461a, Em0006g453a, Em0049g25a, Em0027g43a
OG0000450	sp|P05111|INHA_HUMAN	Em0001g1047a
OG0000450	sp|Q99988|GDF15_HUMAN, sp|P12645|BMP3_HUMAN, sp|P55107|GDF10_HUMAN, sp|P27539|GDF1_HUMAN, sp|Q9NR23|GDF3_HUMAN, sp|Q7Z5Y6|BMP8A_HUMAN, sp|P34820|BMP8B_HUMAN, sp|P18075|BMP7_HUMAN, sp|P22003|BMP5_HUMAN, sp|P22004|BMP6_HUMAN, sp|P12643|BMP2_HUMAN, sp|P12644|BMP4_HUMAN, sp|Q9UK05|GDF2_HUMAN, sp|O95393|BMP10_HUMAN, sp|Q6KF10|GDF6_HUMAN, sp|P43026|GDF5_HUMAN, sp|Q7Z4P5|GDF7_HUMAN	Em0006g1427a, Em0316g5a, Em0005g1373a
OG0000471	sp|Q9H013|ADA19_HUMAN, sp|Q9BZ11|ADA33_HUMAN, sp|O43184|ADA12_HUMAN, sp|Q9H2U9|ADAM7_HUMAN, sp|Q9UKQ2|ADA28_HUMAN	Em0007g926a, Em0021g178a, Em0021g179a, Em0021g192a, Em0021g327a, Em0021g324a, Em0021g322a, Em0012g530a, Em0012g550a, Em0013g506a, Em0782g2a
OG0000474	sp|Q8TER0|SNED1_HUMAN	Em0001g1320a, Em0020g19a, Em0019g209a, Em0014g245a, Em0006g238a, Em0019g942a, Em0009g956a, Em0007g174a, Em0009g900a, Em0009g957a, Em0009g884a, Em0009g906a, Em0051g23a, Em0009g827a, Em0009g926a, Em0009g853a, Em0051g11a
OG0000475	sp|Q5JS37|NHLC3_HUMAN	Em0009g679a, Em0004g831a
OG0000476	sp|Q6P988|NOTUM_HUMAN	Em0021g959a, Em0021g945a
OG0000477	sp|Q86WB7|UN93A_HUMAN	Em0015g837a, Em0015g874a, Em0015g668a, Em0015g669a, Em0015g811a, Em0015g797a
OG0000484	sp|Q5C9Z4|NOM1_HUMAN	Em0016g156a
OG0000489	sp|Q15043|S39AE_HUMAN, sp|Q9C0K1|S39A8_HUMAN, sp|Q504Y0|S39AC_HUMAN	Em0006g633a, Em0006g644a
OG0000505	sp|O00459|P85B_HUMAN, sp|P27986|P85A_HUMAN, sp|Q92569|P55G_HUMAN	Em0781g1a, Em0779g1a, Em0196g3a, Em0779g2a, Em0781g2a, Em0927g1a, Em0784g1a, Em0011g776a
OG0000509	sp|Q6UX04|CWC27_HUMAN	Em0011g158a, Em0011g159a
OG0000513	sp|Q9HBW9|AGRL4_HUMAN	Em0001g3333a
OG0000514	sp|Q6ZNR0|TMM91_HUMAN, sp|Q9H7V2|SYNG1_HUMAN, sp|A6NDD5|SYN1L_HUMAN, sp|Q99946|PRRT1_HUMAN	Em0020g82a
OG0000523	sp|Q8N6F8|MET27_HUMAN	Em0018g267a
OG0000526	sp|Q9NP91|S6A20_HUMAN, sp|Q96N87|S6A18_HUMAN, sp|Q695T7|S6A19_HUMAN, sp|Q9H2J7|S6A15_HUMAN, sp|Q9H1V8|S6A17_HUMAN, sp|Q9GZN6|S6A16_HUMAN, sp|Q9Y345|SC6A5_HUMAN, sp|Q9UN76|S6A14_HUMAN, sp|P48067|SC6A9_HUMAN, sp|Q99884|SC6A7_HUMAN, sp|P31645|SC6A4_HUMAN, sp|P23975|SC6A2_HUMAN, sp|Q01959|SC6A3_HUMAN, sp|P30531|SC6A1_HUMAN, sp|P48029|SC6A8_HUMAN, sp|P31641|SC6A6_HUMAN, sp|P48066|S6A11_HUMAN, sp|P48065|S6A12_HUMAN, sp|Q9NSD5|S6A13_HUMAN	Em0018g189a
OG0000528	sp|P98187|CP4F8_HUMAN, sp|P78329|CP4F2_HUMAN, sp|Q08477|CP4F3_HUMAN, sp|Q9HBI6|CP4FB_HUMAN, sp|Q9HCS2|CP4FC_HUMAN, sp|Q6NT55|CP4FN_HUMAN	Em0007g620a, Em0007g616a, Em0007g606a, Em0007g615a, Em0007g605a, Em0022g202a, Em0799g3a, Em0021g731a, Em0021g742a, Em0799g1a, Em0011g131a
OG0000555	sp|P62330|ARF6_HUMAN	Em0017g564a
OG0000555	sp|P84085|ARF5_HUMAN	Em0001g1765a
OG0000555	sp|P61204|ARF3_HUMAN, sp|P84077|ARF1_HUMAN	Em0004g46a, Em0004g45a
OG0000557	sp|Q9NU22|MDN1_HUMAN	Em0016g534a, Em0016g533a
OG0000562	sp|Q9NYV6|RRN3_HUMAN, sp|A6NIE6|RN3P2_HUMAN, sp|Q2M238|RN3P1_HUMAN	Em0020g283a
OG0000563	sp|Q9NXP7|GIN1_HUMAN	Em0013g772a, Em0001g172a, Em0004g1300a, Em0022g392a, Em0001g887a, Em0004g695a, Em0003g960a, Em0004g112a, Em0675g4a, Em0007g58a, Em0029g39a, Em0008g635a, Em0010g601a, Em0001g1659a, Em0005g1251a, Em0214g3a
OG0000564	sp|Q9UFH2|DYH17_HUMAN, sp|Q96DT5|DYH11_HUMAN, sp|Q9NYC9|DYH9_HUMAN	Em0164g2a, Em1050g1a, Em0454g1a, Em0021g401a, Em0164g4a, Em0006g966a, Em0006g952a, Em0524g1a, Em0339g1a, Em1153g1a, Em1188g1a, Em0801g1a, Em0265g1a
OG0000567	sp|P16519|NEC2_HUMAN, sp|Q6UW60|PCSK4_HUMAN, sp|P29122|PCSK6_HUMAN	Em0005g1351a, Em0005g1352a, Em0007g862a, Em0005g1366a, Em0005g1359a, Em0005g1363a, Em0005g1360a, Em0013g613a, Em0020g486a, Em0009g1198a
