Orthogroup	Human_UP000005640_9606	Niphates_augustus.hints.aa
OG0000164	sp|Q8IUE6|H2A2B_HUMAN, sp|P0C0S8|H2A1_HUMAN, sp|P04908|H2A1B_HUMAN, sp|P20671|H2A1D_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|Q7L7L0|H2A3_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q16777|H2A2C_HUMAN, sp|Q9BTM1|H2AJ_HUMAN, sp|Q96QV6|H2A1A_HUMAN, sp|P16104|H2AX_HUMAN	jg21680.t1, jg23789.t1
OG0000168	sp|O75899|GABR2_HUMAN	jg20799.t1, jg4374.t1, jg22784.t1, jg22787.t1, jg4375.t1, jg26703.t1
OG0000175	sp|P11142|HSP7C_HUMAN, sp|P54652|HSP72_HUMAN	jg676.t1, jg678.t2, jg678.t1, jg28997.t1
OG0000175	sp|P11021|BIP_HUMAN	jg19232.t1
OG0000175	sp|P17066|HSP76_HUMAN, sp|P48741|HSP77_HUMAN	jg7673.t1
OG0000203	sp|Q6ZNA5|FRRS1_HUMAN, sp|Q9P0K9|FRS1L_HUMAN	jg14928.t1, jg14927.t1, jg28864.t1, jg14926.t1, jg28859.t1, jg14923.t1
OG0000214	sp|A1L4L8|PL8L1_HUMAN, sp|Q9BYD5|CNFN_HUMAN, sp|Q9NZF1|PLAC8_HUMAN	jg23101.t1, jg13704.t1, jg202.t1, jg13706.t1, jg13707.t1, jg23112.t1, jg23113.t1, jg23115.t1, jg23114.t1, jg23111.t1, jg19341.t1, jg13460.t1, jg13459.t1, jg19342.t1
OG0000228	sp|Q9P215|POGK_HUMAN	jg23157.t1, jg2161.t1, jg10166.t1, jg20486.t1, jg10657.t1, jg9147.t1
OG0000239	sp|Q9NVC6|MED17_HUMAN	jg14969.t1, jg19705.t1, jg14967.t1
OG0000240	sp|Q9NZJ4|SACS_HUMAN	jg5357.t1, jg5344.t1, jg5350.t1, jg11496.t1, jg4061.t1, jg5343.t1, jg25285.t1, jg23186.t1, jg23305.t1, jg22076.t1, jg12051.t1, jg5168.t1, jg23187.t1
OG0000242	sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q562R1|ACTBL_HUMAN	jg20544.t1, jg18352.t1, jg29365.t1, jg18351.t1
OG0000262	sp|Q96ME1|FXL18_HUMAN	jg7683.t1, jg12575.t1, jg23389.t1
OG0000263	sp|Q6UVY6|MOXD1_HUMAN	jg20092.t1, jg4377.t1, jg19477.t1, jg4388.t1, jg21701.t1, jg20291.t1, jg20289.t1, jg20290.t1, jg20294.t1, jg20293.t1
OG0000274	sp|Q9NR16|C163B_HUMAN, sp|Q86VB7|C163A_HUMAN, sp|Q9UGM3|DMBT1_HUMAN	jg4584.t1, jg4587.t1, jg6864.t1, jg25261.t1, jg25937.t1
OG0000291	sp|Q8NBP7|PCSK9_HUMAN	jg13794.t1, jg2633.t1, jg2635.t1, jg12721.t1
OG0000295	sp|Q9NWX5|ASB6_HUMAN	jg8662.t1
OG0000297	sp|P11678|PERE_HUMAN, sp|P05164|PERM_HUMAN, sp|P22079|PERL_HUMAN	jg22379.t1, jg1722.t1, jg14976.t1, jg19697.t1, jg8928.t1, jg8927.t2, jg8927.t1, jg22377.t1
OG0000298	sp|Q96MB7|HARB1_HUMAN	jg5621.t1, jg13141.t1, jg26401.t1, jg13232.t1, jg16604.t1, jg14016.t1
OG0000302	sp|P09917|LOX5_HUMAN	jg15104.t1, jg1562.t1, jg15105.t1, jg20381.t1, jg27157.t1
OG0000317	sp|Q13405|RM49_HUMAN	jg22960.t1
OG0000318	sp|Q96DM1|PGBD4_HUMAN	jg752.t1, jg7813.t1, jg22691.t1, jg26294.t1, jg22708.t1
OG0000319	sp|Q9HBH5|RDH14_HUMAN, sp|Q8NBN7|RDH13_HUMAN	jg17395.t1, jg13315.t1, jg13313.t1, jg28153.t1, jg28154.t1
OG0000336	sp|Q9NVV9|THAP1_HUMAN, sp|Q8TBB0|THAP6_HUMAN	jg24067.t1
OG0000336	sp|Q9P2Z0|THA10_HUMAN	jg11509.t1, jg15257.t1, jg26168.t1, jg30110.t1, jg2111.t1, jg15226.t1, jg28685.t1, jg9966.t1
OG0000341	sp|O60760|HPGDS_HUMAN	jg27672.t1, jg27673.t1, jg27671.t1, jg27670.t1, jg27669.t1, jg27678.t1, jg27676.t1, jg27674.t1
OG0000356	sp|P63000|RAC1_HUMAN	jg29401.t1, jg5894.t1, jg3151.t2, jg24376.t2, jg24376.t1, jg3151.t1, jg5892.t1
OG0000358	sp|Q9UL26|RB22A_HUMAN, sp|Q13636|RAB31_HUMAN	jg14228.t1, jg3810.t1, jg11907.t1, jg11901.t1, jg11904.t1, jg11902.t1, jg11905.t1, jg25748.t1, jg15641.t1, jg25748.t2, jg15639.t1, jg22549.t1, jg18638.t1, jg2058.t1
OG0000363	sp|Q99102|MUC4_HUMAN	jg29407.t1, jg4635.t1
OG0000377	sp|Q5SVZ6|ZMYM1_HUMAN	jg10644.t1, jg15294.t1, jg12610.t1, jg9063.t1, jg19329.t1, jg13230.t1, jg22811.t1, jg16430.t1, jg22913.t1
OG0000381	sp|P22304|IDS_HUMAN	jg24608.t1, jg16240.t1, jg13871.t1, jg13363.t1, jg2343.t1, jg13857.t1, jg13858.t1, jg13859.t1, jg13860.t1, jg13856.t1, jg7466.t1, jg8052.t1, jg8053.t1, jg7465.t1
OG0000382	sp|P56730|NETR_HUMAN, sp|Q8WTU2|SRB4D_HUMAN	jg27901.t1, jg27038.t1, jg15553.t1
OG0000385	sp|Q2TB18|ASTE1_HUMAN	jg18090.t1, jg18089.t1, jg18091.t1, jg8.t1, jg19247.t1
OG0000386	sp|Q2M3G0|ABCB5_HUMAN, sp|P08183|MDR1_HUMAN, sp|P21439|MDR3_HUMAN, sp|O95342|ABCBB_HUMAN	jg29126.t1, jg23639.t1, jg29064.t1, jg29063.t1, jg29062.t1
OG0000388	sp|Q13114|TRAF3_HUMAN	jg25951.t1
OG0000409	sp|Q9NXI6|RN186_HUMAN	jg22072.t1, jg3197.t1, jg9313.t1, jg9316.t2, jg9316.t1, jg3199.t1, jg3202.t1, jg9314.t1, jg3196.t1, jg9317.t1, jg9315.t1, jg1858.t1, jg20249.t1, jg22071.t1, jg3198.t1
OG0000410	sp|Q9Y3Q0|NALD2_HUMAN, sp|Q9HBA9|FOH1B_HUMAN, sp|Q04609|FOLH1_HUMAN	jg23731.t1, jg23731.t2, jg835.t1, jg9402.t1, jg835.t2, jg9402.t2, jg27005.t1, jg23709.t1
OG0000411	sp|O00534|VMA5A_HUMAN	jg18279.t1, jg16121.t1, jg18280.t1, jg18860.t1
OG0000412	sp|Q86TS9|RM52_HUMAN	jg11865.t1, jg27506.t1, jg21457.t1, jg14879.t1, jg10336.t1, jg1663.t1, jg1679.t1, jg26772.t2, jg11840.t1, jg11856.t1, jg28903.t1, jg11868.t1, jg10333.t1, jg21435.t1, jg28888.t1, jg26772.t1, jg14876.t1, jg28900.t1, jg27490.t1, jg11805.t1, jg14880.t1
OG0000415	sp|Q96B67|ARRD3_HUMAN, sp|Q8TBH0|ARRD2_HUMAN, sp|Q8NCT1|ARRD4_HUMAN, sp|Q9H3M7|TXNIP_HUMAN, sp|Q8N5I2|ARRD1_HUMAN	jg2627.t1, jg14231.t1, jg2628.t1, jg2629.t1
OG0000416	sp|P0DPH8|TBA3D_HUMAN, sp|P0DPH7|TBA3C_HUMAN, sp|Q6PEY2|TBA3E_HUMAN	jg22390.t1, jg22391.t1, jg22392.t1, jg22393.t1
OG0000416	sp|P68363|TBA1B_HUMAN, sp|Q71U36|TBA1A_HUMAN, sp|Q9BQE3|TBA1C_HUMAN, sp|P68366|TBA4A_HUMAN, sp|Q9NY65|TBA8_HUMAN, sp|A6NHL2|TBAL3_HUMAN	jg2926.t1, jg30483.t1, jg30484.t1
OG0000417	sp|Q6QN14|U17L6_HUMAN, sp|D6RBM5|U17LN_HUMAN, sp|Q6R6M4|U17L2_HUMAN, sp|A6NCW0|U17L3_HUMAN, sp|Q7RTZ2|U17L1_HUMAN, sp|P0C7I0|U17L8_HUMAN, sp|A6NCW7|U17L4_HUMAN, sp|P0C7H9|U17L7_HUMAN, sp|C9JJH3|U17LA_HUMAN, sp|D6RBQ6|U17LH_HUMAN, sp|C9JLJ4|U17LD_HUMAN, sp|D6RCP7|U17LJ_HUMAN, sp|D6RA61|U17LM_HUMAN, sp|C9J2P7|U17LF_HUMAN, sp|C9JVI0|U17LB_HUMAN, sp|D6R9N7|U17LI_HUMAN, sp|D6RJB6|U17LK_HUMAN, sp|Q0WX57|U17LO_HUMAN, sp|A8MUK1|U17L5_HUMAN, sp|C9JPN9|UL17C_HUMAN, sp|D6R901|U17LL_HUMAN	jg1591.t1, jg29587.t1
OG0000438	sp|Q6ZMJ2|SCAR5_HUMAN	jg25994.t1, jg6113.t1, jg25993.t1, jg6112.t1, jg25995.t1, jg6115.t1, jg6114.t1
OG0000439	sp|Q7Z6K1|THAP5_HUMAN, sp|Q8NA92|THAP8_HUMAN	jg27660.t1, jg5139.t1, jg26598.t1
OG0000443	sp|Q9NZJ5|E2AK3_HUMAN, sp|Q9BQI3|E2AK1_HUMAN, sp|P19525|E2AK2_HUMAN	jg25722.t1, jg26848.t1, jg16586.t1, jg26851.t1, jg20493.t1, jg1458.t1, jg26846.t1, jg2775.t1
OG0000448	sp|P06241|FYN_HUMAN, sp|P07947|YES_HUMAN, sp|P12931|SRC_HUMAN	jg15984.t1, jg17839.t1
OG0000448	sp|P42685|FRK_HUMAN	jg20711.t1, jg23261.t1, jg20712.t1, jg20713.t1
OG0000449	sp|Q8NCC3|PAG15_HUMAN, sp|P04180|LCAT_HUMAN	jg6758.t1, jg6760.t1, jg28181.t1, jg28180.t1
OG0000450	sp|Q99988|GDF15_HUMAN, sp|P12645|BMP3_HUMAN, sp|P55107|GDF10_HUMAN, sp|P27539|GDF1_HUMAN, sp|Q9NR23|GDF3_HUMAN, sp|Q7Z5Y6|BMP8A_HUMAN, sp|P34820|BMP8B_HUMAN, sp|P18075|BMP7_HUMAN, sp|P22003|BMP5_HUMAN, sp|P22004|BMP6_HUMAN, sp|P12643|BMP2_HUMAN, sp|P12644|BMP4_HUMAN, sp|Q9UK05|GDF2_HUMAN, sp|O95393|BMP10_HUMAN, sp|Q6KF10|GDF6_HUMAN, sp|P43026|GDF5_HUMAN, sp|Q7Z4P5|GDF7_HUMAN	jg13286.t1
OG0000471	sp|Q9H013|ADA19_HUMAN, sp|Q9BZ11|ADA33_HUMAN, sp|O43184|ADA12_HUMAN, sp|Q9H2U9|ADAM7_HUMAN, sp|Q9UKQ2|ADA28_HUMAN	jg2352.t2, jg2352.t1
OG0000476	sp|Q6P988|NOTUM_HUMAN	jg14375.t1, jg14374.t1, jg11399.t1, jg18237.t1, jg11398.t1, jg18239.t1, jg8685.t1, jg1254.t1, jg14513.t1, jg14512.t1, jg14514.t1, jg11512.t1
OG0000477	sp|Q86WB7|UN93A_HUMAN	jg2401.t1, jg4158.t1, jg11048.t1, jg11049.t1, jg11046.t1, jg22979.t1, jg22980.t1, jg28410.t1
OG0000484	sp|Q5C9Z4|NOM1_HUMAN	jg19740.t1, jg10280.t1, jg26688.t1, jg26683.t1, jg26691.t1, jg11982.t1, jg10275.t1, jg28866.t1, jg2909.t1, jg19735.t1, jg10277.t1, jg19745.t1, jg10273.t1, jg19733.t1, jg28868.t1, jg19747.t1, jg19743.t1, jg14951.t1, jg26685.t1, jg10279.t1
OG0000489	sp|Q15043|S39AE_HUMAN, sp|Q9C0K1|S39A8_HUMAN, sp|Q504Y0|S39AC_HUMAN	jg22328.t1, jg18404.t1, jg22341.t1, jg9863.t1, jg8015.t1, jg8014.t1, jg26667.t1, jg22335.t1, jg22342.t1, jg4224.t1, jg26668.t1, jg8016.t1, jg26679.t1, jg8028.t1
OG0000505	sp|O00459|P85B_HUMAN, sp|P27986|P85A_HUMAN, sp|Q92569|P55G_HUMAN	jg1039.t1, jg25829.t2, jg25829.t1, jg1039.t2, jg25828.t1, jg25828.t2
OG0000509	sp|Q6UX04|CWC27_HUMAN	jg5160.t1, jg5165.t1, jg5175.t1, jg27393.t1
OG0000513	sp|Q9HBW9|AGRL4_HUMAN	jg2429.t1, jg2426.t1, jg2427.t1, jg1860.t1, jg1859.t1, jg12388.t1, jg14865.t1, jg28891.t1, jg12396.t1, jg19661.t1, jg19668.t1, jg15035.t1, jg15041.t2, jg15041.t1
OG0000514	sp|Q6ZNR0|TMM91_HUMAN, sp|Q9H7V2|SYNG1_HUMAN, sp|A6NDD5|SYN1L_HUMAN, sp|Q99946|PRRT1_HUMAN	jg29644.t1, jg29643.t1, jg29646.t1, jg29645.t1, jg28021.t1
OG0000523	sp|Q9P209|CEP72_HUMAN	jg16979.t1
OG0000523	sp|Q8N6F8|MET27_HUMAN	jg29768.t1, jg28994.t1, jg4750.t1, jg4749.t1, jg3218.t1, jg4042.t1, jg4752.t1, jg4751.t1
OG0000523	sp|Q1X8D7|LRC36_HUMAN	jg12627.t1
OG0000526	sp|Q9NP91|S6A20_HUMAN, sp|Q96N87|S6A18_HUMAN, sp|Q695T7|S6A19_HUMAN, sp|Q9H2J7|S6A15_HUMAN, sp|Q9H1V8|S6A17_HUMAN, sp|Q9GZN6|S6A16_HUMAN, sp|Q9Y345|SC6A5_HUMAN, sp|Q9UN76|S6A14_HUMAN, sp|P48067|SC6A9_HUMAN, sp|Q99884|SC6A7_HUMAN, sp|P31645|SC6A4_HUMAN, sp|P23975|SC6A2_HUMAN, sp|Q01959|SC6A3_HUMAN, sp|P30531|SC6A1_HUMAN, sp|P48029|SC6A8_HUMAN, sp|P31641|SC6A6_HUMAN, sp|P48066|S6A11_HUMAN, sp|P48065|S6A12_HUMAN, sp|Q9NSD5|S6A13_HUMAN	jg18094.t1
OG0000528	sp|P98187|CP4F8_HUMAN, sp|P78329|CP4F2_HUMAN, sp|Q08477|CP4F3_HUMAN, sp|Q9HBI6|CP4FB_HUMAN, sp|Q9HCS2|CP4FC_HUMAN, sp|Q6NT55|CP4FN_HUMAN	jg12832.t1, jg19069.t1
OG0000555	sp|P62330|ARF6_HUMAN	jg11065.t1
OG0000555	sp|P84085|ARF5_HUMAN	jg18829.t1
OG0000555	sp|P61204|ARF3_HUMAN, sp|P84077|ARF1_HUMAN	jg7157.t2, jg7157.t3, jg7157.t1
OG0000557	sp|Q9NU22|MDN1_HUMAN	jg22068.t1, jg10384.t1, jg2889.t1, jg22066.t1, jg2892.t1, jg22069.t1, jg12948.t1, jg23856.t1
OG0000562	sp|Q9NYV6|RRN3_HUMAN, sp|A6NIE6|RN3P2_HUMAN, sp|Q2M238|RN3P1_HUMAN	jg25501.t1, jg9895.t1, jg21473.t1, jg23468.t1, jg25494.t1, jg9892.t1, jg2117.t1, jg9916.t1, jg27520.t1, jg21428.t1, jg27476.t1, jg20900.t1, jg1643.t1, jg14536.t1, jg24083.t1
OG0000563	sp|Q9NXP7|GIN1_HUMAN	jg22410.t1, jg30437.t1, jg24230.t1
OG0000564	sp|Q9UFH2|DYH17_HUMAN, sp|Q96DT5|DYH11_HUMAN, sp|Q9NYC9|DYH9_HUMAN	jg3281.t1, jg29583.t1
OG0000567	sp|P16519|NEC2_HUMAN, sp|Q6UW60|PCSK4_HUMAN, sp|P29122|PCSK6_HUMAN	jg28426.t1, jg1853.t1, jg16022.t1, jg3505.t1, jg18759.t1, jg1854.t1
OG0000568	sp|O15438|MRP3_HUMAN, sp|O95255|MRP6_HUMAN, sp|P33527|MRP1_HUMAN, sp|Q92887|MRP2_HUMAN	jg14902.t1, jg7251.t1, jg14901.t1, jg29392.t1, jg23277.t1, jg16766.t1, jg8704.t1, jg14336.t1, jg14335.t1
OG0000571	sp|P01116|RASK_HUMAN, sp|P01112|RASH_HUMAN, sp|P01111|RASN_HUMAN	jg11041.t1
OG0000573	sp|Q8N4E7|FTMT_HUMAN, sp|P02794|FRIH_HUMAN, sp|Q9BXU8|FHL17_HUMAN, sp|P0C7X4|FHL19_HUMAN	jg21684.t1, jg21686.t1
OG0000574	sp|P35579|MYH9_HUMAN, sp|P35749|MYH11_HUMAN, sp|P35580|MYH10_HUMAN, sp|Q7Z406|MYH14_HUMAN	jg29547.t1
OG0000574	sp|Q9UKX3|MYH13_HUMAN, sp|Q9Y623|MYH4_HUMAN, sp|P12882|MYH1_HUMAN, sp|Q9UKX2|MYH2_HUMAN, sp|P13535|MYH8_HUMAN, sp|P11055|MYH3_HUMAN, sp|Q9H6N6|MYH16_HUMAN, sp|P13533|MYH6_HUMAN, sp|P12883|MYH7_HUMAN, sp|A7E2Y1|MYH7B_HUMAN, sp|Q9Y2K3|MYH15_HUMAN	jg27900.t1, jg27047.t1
OG0000576	sp|Q96RJ6|FER3L_HUMAN, sp|Q7RTS3|PTF1A_HUMAN, sp|Q7RTU4|BHA09_HUMAN, sp|Q15672|TWST1_HUMAN, sp|Q8WVJ9|TWST2_HUMAN, sp|Q7RTU7|SCX_HUMAN, sp|Q12870|TCF15_HUMAN, sp|O96004|HAND1_HUMAN, sp|P61296|HAND2_HUMAN, sp|O43680|TCF21_HUMAN, sp|O60682|MUSC_HUMAN, sp|Q7RTU0|TCF24_HUMAN, sp|Q7RTU1|TCF23_HUMAN, sp|Q02577|HEN2_HUMAN, sp|Q02575|HEN1_HUMAN, sp|Q16559|TAL2_HUMAN, sp|P17542|TAL1_HUMAN, sp|P12980|LYL1_HUMAN	jg19301.t1
OG0000602	sp|Q8N8K9|K1958_HUMAN	jg5386.t1, jg3900.t1
OG0000604	sp|Q52LW3|RHG29_HUMAN, sp|Q92619|HMHA1_HUMAN	jg4864.t2, jg9319.t1, jg3203.t1, jg18570.t3, jg18570.t2, jg15598.t1, jg18578.t1, jg21231.t1, jg4864.t1, jg15395.t1, jg15317.t1, jg9322.t1, jg18576.t1, jg12075.t1
OG0000611	sp|P84243|H33_HUMAN	jg7966.t1
OG0000611	sp|Q71DI3|H32_HUMAN	jg25156.t1, jg14351.t1
OG0000617	sp|Q6R327|RICTR_HUMAN	jg15371.t1, jg27028.t1, jg11456.t1, jg11459.t1, jg18173.t1, jg12408.t1, jg12411.t1, jg18187.t1, jg18174.t2, jg3739.t1, jg11444.t1, jg11454.t1, jg6849.t1, jg18174.t1, jg6658.t1, jg18187.t2, jg18187.t3
OG0000619	sp|Q9UI42|CBPA4_HUMAN, sp|P48052|CBPA2_HUMAN, sp|Q8WXQ8|CBPA5_HUMAN, sp|P15085|CBPA1_HUMAN, sp|Q8IVL8|CBPO_HUMAN, sp|Q96IY4|CBPB2_HUMAN, sp|P15086|CBPB1_HUMAN, sp|P15088|CBPA3_HUMAN, sp|Q8N4T0|CBPA6_HUMAN	jg10225.t1, jg10223.t1, jg10224.t1, jg23255.t1
OG0000620	sp|P41732|TSN7_HUMAN, sp|O43657|TSN6_HUMAN, sp|O60637|TSN3_HUMAN, sp|P08962|CD63_HUMAN	jg23016.t1, jg23017.t1, jg23018.t1, jg23014.t1, jg23015.t1
OG0000632	sp|Q9BZW7|TSG10_HUMAN	jg3972.t1, jg22200.t1, jg22244.t1, jg22228.t1, jg3436.t1, jg22237.t1, jg22194.t1, jg4006.t1, jg4015.t1, jg28990.t1, jg3976.t1, jg3971.t1, jg3991.t1, jg17785.t1, jg22223.t1, jg4014.t1, jg22231.t1, jg28992.t1
OG0000652	sp|O15360|FANCA_HUMAN	jg19234.t1
OG0000659	sp|Q9H7H0|MET17_HUMAN	jg21456.t1, jg1965.t1, jg23840.t1, jg27457.t1, jg26765.t1, jg23834.t1, jg21463.t1, jg11835.t1, jg11838.t1, jg11834.t1, jg11843.t1, jg11811.t1
OG0000662	sp|Q8N2G6|ZCH24_HUMAN	jg19997.t1, jg19996.t1, jg19998.t1, jg20000.t1
OG0000665	sp|O15431|COPT1_HUMAN, sp|O15432|COPT2_HUMAN	jg8975.t1
OG0000666	sp|P20815|CP3A5_HUMAN, sp|P08684|CP3A4_HUMAN, sp|P24462|CP3A7_HUMAN, sp|Q9HB55|CP343_HUMAN	jg10883.t1, jg10884.t1, jg1872.t1, jg12416.t1
OG0000671	sp|Q5VZP5|STYL2_HUMAN, sp|Q68J44|DUS29_HUMAN, sp|Q9UII6|DS13B_HUMAN, sp|Q9BV47|DUS26_HUMAN, sp|P51452|DUS3_HUMAN	jg17919.t1, jg4205.t1, jg17920.t1, jg4206.t1
OG0000672	sp|Q99758|ABCA3_HUMAN	jg2309.t1
OG0000672	sp|A6NIL9|CRAS1_HUMAN	jg12795.t1, jg5912.t1, jg8033.t1, jg12692.t1, jg12692.t2, jg22991.t1, jg7245.t1, jg7246.t1
