HOG	OG	Gene Tree Parent Clade	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
N2.HOG0000261	OG0000103	n0	tr|A0A1X7U604|A0A1X7U604_AMPQE, tr|A0A1X7SDM2|A0A1X7SDM2_AMPQE, tr|A0A1X7TLH0|A0A1X7TLH0_AMPQE, tr|A0A1X7SQW2|A0A1X7SQW2_AMPQE, tr|A0A1X7SE12|A0A1X7SE12_AMPQE, tr|A0A1X7SUT5|A0A1X7SUT5_AMPQE, tr|A0A1X7T5K1|A0A1X7T5K1_AMPQE, tr|A0A1X7SHN8|A0A1X7SHN8_AMPQE, tr|A0A1X7TLM3|A0A1X7TLM3_AMPQE, tr|A0A1X7T7K1|A0A1X7T7K1_AMPQE, tr|A0A1X7VSD6|A0A1X7VSD6_AMPQE, tr|A0A1X7SKE7|A0A1X7SKE7_AMPQE, tr|A0A1X7SHP7|A0A1X7SHP7_AMPQE, tr|A0A1X7U1X3|A0A1X7U1X3_AMPQE, tr|A0A1X7U6F3|A0A1X7U6F3_AMPQE, tr|A0A1X7UCG6|A0A1X7UCG6_AMPQE, tr|A0A1X7T1G8|A0A1X7T1G8_AMPQE, tr|A0A1X7SNS8|A0A1X7SNS8_AMPQE, tr|A0A1X7T1Y3|A0A1X7T1Y3_AMPQE, tr|A0A1X7SR67|A0A1X7SR67_AMPQE, tr|A0A1X7TP87|A0A1X7TP87_AMPQE, tr|A0A1X7SHR2|A0A1X7SHR2_AMPQE, tr|A0A1X7SFF7|A0A1X7SFF7_AMPQE, tr|A0A1X7SF92|A0A1X7SF92_AMPQE, tr|A0A1X7T5B4|A0A1X7T5B4_AMPQE, tr|A0A1X7SHL6|A0A1X7SHL6_AMPQE, tr|A0A1X7TRI1|A0A1X7TRI1_AMPQE, tr|A0A1X7SP02|A0A1X7SP02_AMPQE, tr|A0A1X7SZP4|A0A1X7SZP4_AMPQE, tr|A0A1X7TV68|A0A1X7TV68_AMPQE, tr|A0A1X7SG06|A0A1X7SG06_AMPQE, tr|A0A1X7TRN8|A0A1X7TRN8_AMPQE, tr|A0A1X7TRG6|A0A1X7TRG6_AMPQE, tr|A0A1X7TSC9|A0A1X7TSC9_AMPQE, tr|A0A1X7UU81|A0A1X7UU81_AMPQE, tr|A0A1X7TF71|A0A1X7TF71_AMPQE, tr|A0A1X7TRY8|A0A1X7TRY8_AMPQE, tr|A0A1X7T4F7|A0A1X7T4F7_AMPQE, tr|A0A1X7SED1|A0A1X7SED1_AMPQE, tr|A0A1X7SKJ2|A0A1X7SKJ2_AMPQE, tr|A0A1X7SE63|A0A1X7SE63_AMPQE, tr|A0A1X7TVS8|A0A1X7TVS8_AMPQE, tr|A0A1X7T7M5|A0A1X7T7M5_AMPQE, tr|A0A1X7SVA7|A0A1X7SVA7_AMPQE, tr|A0A1X7SJC9|A0A1X7SJC9_AMPQE, tr|A0A1X7SF22|A0A1X7SF22_AMPQE, tr|A0A1X7T0E7|A0A1X7T0E7_AMPQE, tr|A0A1X7TVP3|A0A1X7TVP3_AMPQE, tr|A0A1X7T107|A0A1X7T107_AMPQE, tr|A0A1X7STX2|A0A1X7STX2_AMPQE, tr|A0A1X7U1A7|A0A1X7U1A7_AMPQE, tr|A0A1X7T889|A0A1X7T889_AMPQE			
N2.HOG0000262	OG0000104	n11	tr|A0A1X7SYN0|A0A1X7SYN0_AMPQE			jg5135.t1, jg5120.t1, jg14810.t1
N2.HOG0000263	OG0000104	n23	tr|A0A1X7SNC8|A0A1X7SNC8_AMPQE, tr|A0A1X7TFG2|A0A1X7TFG2_AMPQE, tr|A0A1X7TB61|A0A1X7TB61_AMPQE			jg12430.t1
N2.HOG0000264	OG0000104	n26	tr|A0A1X7UM19|A0A1X7UM19_AMPQE, tr|A0A1X7UMF9|A0A1X7UMF9_AMPQE, tr|A0A1X7UDA8|A0A1X7UDA8_AMPQE, tr|A0A1X7UFJ7|A0A1X7UFJ7_AMPQE			jg19839.t1
N2.HOG0000265	OG0000104	n30	tr|A0A1X7T1I0|A0A1X7T1I0_AMPQE, tr|A0A1X7UV16|A0A1X7UV16_AMPQE, tr|A0A1X7TMD3|A0A1X7TMD3_AMPQE, tr|A0A1X7UF15|A0A1X7UF15_AMPQE, tr|A0A1X7TA37|A0A1X7TA37_AMPQE, tr|A0A1X7TAB7|A0A1X7TAB7_AMPQE, tr|A0A1X7TZB5|A0A1X7TZB5_AMPQE, tr|A0A1X7U0F6|A0A1X7U0F6_AMPQE, tr|A0A1X7TP02|A0A1X7TP02_AMPQE, tr|A0A1X7TJ64|A0A1X7TJ64_AMPQE, tr|A0A1X7TX24|A0A1X7TX24_AMPQE, tr|A0A1X7T8E0|A0A1X7T8E0_AMPQE, tr|A0A1X7UG77|A0A1X7UG77_AMPQE, tr|A0A1X7TFS9|A0A1X7TFS9_AMPQE, tr|A0A1X7USX4|A0A1X7USX4_AMPQE, tr|A0A1X7UUM0|A0A1X7UUM0_AMPQE, tr|A0A1X7TH49|A0A1X7TH49_AMPQE, tr|A0A1X7THK8|A0A1X7THK8_AMPQE, tr|A0A1X7UGP0|A0A1X7UGP0_AMPQE, tr|A0A1X7UMQ3|A0A1X7UMQ3_AMPQE			jg12442.t1
N2.HOG0000266	OG0000104	n50	tr|A0A1X7TET5|A0A1X7TET5_AMPQE			jg11851.t1
N2.HOG0000267	OG0000105	n5	tr|A0A1X7SH08|A0A1X7SH08_AMPQE, tr|A0A1X7V0G5|A0A1X7V0G5_AMPQE, tr|A0A1X7UJR4|A0A1X7UJR4_AMPQE, tr|A0A1X7T1N1|A0A1X7T1N1_AMPQE, tr|A0A1X7TNK9|A0A1X7TNK9_AMPQE, tr|A0A1X7TR83|A0A1X7TR83_AMPQE, tr|A0A1X7SVJ0|A0A1X7SVJ0_AMPQE, tr|A0A1X7T4E5|A0A1X7T4E5_AMPQE, tr|A0A1X7TT06|A0A1X7TT06_AMPQE, tr|A0A1X7TYJ5|A0A1X7TYJ5_AMPQE, tr|A0A1X7TZG0|A0A1X7TZG0_AMPQE, tr|A0A1X7SUG9|A0A1X7SUG9_AMPQE, tr|A0A1X7SKI3|A0A1X7SKI3_AMPQE, tr|A0A1X7TYA0|A0A1X7TYA0_AMPQE, tr|A0A1X7T4N2|A0A1X7T4N2_AMPQE, tr|A0A1X7TVW0|A0A1X7TVW0_AMPQE, tr|A0A1X7T1R8|A0A1X7T1R8_AMPQE, tr|A0A1X7U0K4|A0A1X7U0K4_AMPQE, tr|A0A1X7U0E3|A0A1X7U0E3_AMPQE, tr|A0A1X7SXN8|A0A1X7SXN8_AMPQE, tr|A0A1X7TLU1|A0A1X7TLU1_AMPQE, tr|A0A1X7TLK5|A0A1X7TLK5_AMPQE, tr|A0A1X7TZK5|A0A1X7TZK5_AMPQE, tr|A0A1X7TZU5|A0A1X7TZU5_AMPQE, tr|A0A1X7SXD8|A0A1X7SXD8_AMPQE, tr|A0A1X7T4A4|A0A1X7T4A4_AMPQE, tr|A0A1X7TZD1|A0A1X7TZD1_AMPQE, tr|A0A1X7UIX1|A0A1X7UIX1_AMPQE, tr|A0A1X7TWB3|A0A1X7TWB3_AMPQE, tr|A0A1X7UUK9|A0A1X7UUK9_AMPQE, tr|A0A1X7TYZ7|A0A1X7TYZ7_AMPQE, tr|A0A1X7TZP8|A0A1X7TZP8_AMPQE, tr|A0A1X7TZQ2|A0A1X7TZQ2_AMPQE, tr|A0A1X7U000|A0A1X7U000_AMPQE, tr|A0A1X7U038|A0A1X7U038_AMPQE, tr|A0A1X7UU61|A0A1X7UU61_AMPQE, tr|A0A1X7TZJ5|A0A1X7TZJ5_AMPQE, tr|A0A1X7UHI4|A0A1X7UHI4_AMPQE, tr|A0A1X7U098|A0A1X7U098_AMPQE, tr|A0A1X7TZK0|A0A1X7TZK0_AMPQE, tr|A0A1X7U0D3|A0A1X7U0D3_AMPQE, tr|A0A1X7TVB1|A0A1X7TVB1_AMPQE, tr|A0A1X7U7U8|A0A1X7U7U8_AMPQE			jg3179.t1
N2.HOG0000268	OG0000105	n48	tr|A0A1X7TMC1|A0A1X7TMC1_AMPQE, tr|A0A1X7V3H0|A0A1X7V3H0_AMPQE			jg19400.t1
N2.HOG0000269	OG0000108	n11	tr|A0A1X7VMC9|A0A1X7VMC9_AMPQE, tr|A0A1X7SYA2|A0A1X7SYA2_AMPQE			
N2.HOG0000270	OG0000108	n15	tr|A0A1X7UFI3|A0A1X7UFI3_AMPQE, tr|A0A1X7SYG2|A0A1X7SYG2_AMPQE			jg4371.t1
N2.HOG0000271	OG0000108	n17	tr|A0A1X7UGG0|A0A1X7UGG0_AMPQE			jg1489.t1, jg23582.t1, jg1496.t1, jg1491.t1
N2.HOG0000272	OG0000108	n23	tr|A0A1X7US23|A0A1X7US23_AMPQE			jg16272.t1, jg16276.t1, jg23925.t1, jg24003.t1, jg7404.t1, jg30368.t1
N2.HOG0000273	OG0000108	n31	tr|A0A1X7T295|A0A1X7T295_AMPQE, tr|A0A1X7UYV1|A0A1X7UYV1_AMPQE			jg20235.t1, jg20234.t1, jg20233.t1
N2.HOG0000274	OG0000108	n35	tr|A0A1X7T1I4|A0A1X7T1I4_AMPQE, tr|A0A1X7VU44|A0A1X7VU44_AMPQE, tr|A0A1X7VVH0|A0A1X7VVH0_AMPQE, tr|A0A1X7VWT2|A0A1X7VWT2_AMPQE, tr|A0A1X7VFD4|A0A1X7VFD4_AMPQE, tr|A0A1X7VH04|A0A1X7VH04_AMPQE, tr|A0A1X7UQM3|A0A1X7UQM3_AMPQE			jg13402.t1, jg13401.t1, jg13400.t1
N2.HOG0000275	OG0000108	n44	tr|A0A1X7URA8|A0A1X7URA8_AMPQE, tr|A0A1X7US86|A0A1X7US86_AMPQE, tr|A0A1X7SEY7|A0A1X7SEY7_AMPQE, tr|A0A1X7USM6|A0A1X7USM6_AMPQE, tr|A0A1X7UJA4|A0A1X7UJA4_AMPQE			jg4379.t1
N2.HOG0000276	OG0000109	n1	tr|A0A1X7SFZ0|A0A1X7SFZ0_AMPQE			
N2.HOG0000277	OG0000109	n3	tr|A0A1X7UB75|A0A1X7UB75_AMPQE			
N2.HOG0000278	OG0000109	n9	tr|A0A1X7V8M3|A0A1X7V8M3_AMPQE, tr|A0A1X7UP62|A0A1X7UP62_AMPQE, tr|A0A1X7U5N6|A0A1X7U5N6_AMPQE			
N2.HOG0000279	OG0000109	n16	tr|A0A1X7V2Y0|A0A1X7V2Y0_AMPQE			jg30107.t1
N2.HOG0000280	OG0000109	n17	tr|A0A1X7UXV0|A0A1X7UXV0_AMPQE, tr|A0A1X7VFA3|A0A1X7VFA3_AMPQE			jg15508.t1, jg16004.t1, jg14272.t1, jg7343.t1, jg22028.t1, jg25022.t1, jg13216.t1, jg21744.t1, jg7339.t1, jg1784.t1, jg16695.t1, jg21069.t1, jg5694.t1, jg24036.t1, jg7340.t1
N2.HOG0000281	OG0000109	n33	tr|A0A1X7TGZ1|A0A1X7TGZ1_AMPQE, tr|A0A1X7UXT6|A0A1X7UXT6_AMPQE, tr|A0A1X7TZL7|A0A1X7TZL7_AMPQE			jg26388.t1, jg18792.t1, jg15177.t1, jg26450.t1
N2.HOG0000282	OG0000109	n39	tr|A0A1X7VXE1|A0A1X7VXE1_AMPQE, tr|A0A1X7UGS9|A0A1X7UGS9_AMPQE, tr|A0A1X7SR21|A0A1X7SR21_AMPQE			jg7424.t1
N2.HOG0000283	OG0000109	n42	tr|A0A1X7VXI3|A0A1X7VXI3_AMPQE			jg7583.t1, jg5679.t1, jg10145.t1, jg28715.t1
N2.HOG0000284	OG0000109	n46	tr|A0A1X7U0Y4|A0A1X7U0Y4_AMPQE, tr|A0A1X7TY41|A0A1X7TY41_AMPQE, tr|A0A1X7U4R8|A0A1X7U4R8_AMPQE, tr|A0A1X7V6C0|A0A1X7V6C0_AMPQE			
N2.HOG0000285	OG0000110	n1	tr|A0A1X7TBT1|A0A1X7TBT1_AMPQE, tr|A0A1X7T488|A0A1X7T488_AMPQE, tr|A0A1X7TPE8|A0A1X7TPE8_AMPQE, tr|A0A1X7TF20|A0A1X7TF20_AMPQE, tr|A0A1X7TPW0|A0A1X7TPW0_AMPQE			jg21264.t1
N2.HOG0000286	OG0000110	n6	tr|A0A1X7TCU5|A0A1X7TCU5_AMPQE, tr|A0A1X7TQX3|A0A1X7TQX3_AMPQE, tr|A0A1X7T4C6|A0A1X7T4C6_AMPQE, tr|A0A1X7U7Z5|A0A1X7U7Z5_AMPQE, tr|A0A1X7T929|A0A1X7T929_AMPQE, tr|A0A1X7V6X6|A0A1X7V6X6_AMPQE, tr|A0A1X7TCD9|A0A1X7TCD9_AMPQE, tr|A0A1X7TAU2|A0A1X7TAU2_AMPQE, tr|A0A1X7T0E8|A0A1X7T0E8_AMPQE, tr|A0A1X7T6U1|A0A1X7T6U1_AMPQE, tr|A0A1X7V7T1|A0A1X7V7T1_AMPQE, tr|A0A1X7UTU4|A0A1X7UTU4_AMPQE, tr|A0A1X7UUF5|A0A1X7UUF5_AMPQE, tr|A0A1X7UV64|A0A1X7UV64_AMPQE, tr|A0A1X7TLB6|A0A1X7TLB6_AMPQE, tr|A0A1X7TPJ7|A0A1X7TPJ7_AMPQE, tr|A0A1X7TB57|A0A1X7TB57_AMPQE, tr|A0A1X7TFD2|A0A1X7TFD2_AMPQE, tr|A0A1X7U2J6|A0A1X7U2J6_AMPQE, tr|A0A1X7THI9|A0A1X7THI9_AMPQE, tr|A0A1X7VB78|A0A1X7VB78_AMPQE, tr|A0A1X7SSB6|A0A1X7SSB6_AMPQE, tr|A0A1X7TD65|A0A1X7TD65_AMPQE, tr|A0A1X7SGK0|A0A1X7SGK0_AMPQE, tr|A0A1X7SLM1|A0A1X7SLM1_AMPQE, tr|A0A1X7TQ62|A0A1X7TQ62_AMPQE, tr|A0A1X7T105|A0A1X7T105_AMPQE, tr|A0A1X7TER2|A0A1X7TER2_AMPQE, tr|A0A1X7T515|A0A1X7T515_AMPQE, tr|A0A1X7UNA0|A0A1X7UNA0_AMPQE, tr|A0A1X7UST6|A0A1X7UST6_AMPQE, tr|A0A1X7VCT9|A0A1X7VCT9_AMPQE, tr|A0A1X7THU4|A0A1X7THU4_AMPQE, tr|A0A1X7T7U4|A0A1X7T7U4_AMPQE, tr|A0A1X7T6V9|A0A1X7T6V9_AMPQE, tr|A0A1X7T2F7|A0A1X7T2F7_AMPQE, tr|A0A1X7U2T2|A0A1X7U2T2_AMPQE, tr|A0A1X7VWM4|A0A1X7VWM4_AMPQE, tr|A0A1X7U231|A0A1X7U231_AMPQE, tr|A0A1X7T708|A0A1X7T708_AMPQE, tr|A0A1X7T848|A0A1X7T848_AMPQE, tr|A0A1X7ULM1|A0A1X7ULM1_AMPQE			jg6146.t1, jg26041.t1
N2.HOG0000287	OG0000111	n0	tr|A0A1X7UVQ5|A0A1X7UVQ5_AMPQE, tr|A0A1X7TTM5|A0A1X7TTM5_AMPQE, tr|A0A1X7T2T6|A0A1X7T2T6_AMPQE, tr|A0A1X7T2R4|A0A1X7T2R4_AMPQE, tr|A0A1X7SJG3|A0A1X7SJG3_AMPQE, tr|A0A1X7U5F2|A0A1X7U5F2_AMPQE, tr|A0A1X7T874|A0A1X7T874_AMPQE, tr|A0A1X7SI45|A0A1X7SI45_AMPQE, tr|A0A1X7UIF3|A0A1X7UIF3_AMPQE, tr|A0A1X7UYK1|A0A1X7UYK1_AMPQE, tr|A0A1X7TKU1|A0A1X7TKU1_AMPQE, tr|A0A1X7VDP3|A0A1X7VDP3_AMPQE, tr|A0A1X7SWX8|A0A1X7SWX8_AMPQE, tr|A0A1X7TPY8|A0A1X7TPY8_AMPQE, tr|A0A1X7UL01|A0A1X7UL01_AMPQE, tr|A0A1X7TPV3|A0A1X7TPV3_AMPQE, tr|A0A1X7SJ67|A0A1X7SJ67_AMPQE, tr|A0A1X7U0X4|A0A1X7U0X4_AMPQE, tr|A0A1X7U4N7|A0A1X7U4N7_AMPQE, tr|A0A1X7VDP1|A0A1X7VDP1_AMPQE, tr|A0A1X7U259|A0A1X7U259_AMPQE, tr|A0A1X7SGM5|A0A1X7SGM5_AMPQE, tr|A0A1X7TQM9|A0A1X7TQM9_AMPQE, tr|A0A1X7SP18|A0A1X7SP18_AMPQE, tr|A0A1X7TQD9|A0A1X7TQD9_AMPQE, tr|A0A1X7U3W7|A0A1X7U3W7_AMPQE, tr|A0A1X7T6X3|A0A1X7T6X3_AMPQE, tr|A0A1X7SIZ7|A0A1X7SIZ7_AMPQE, tr|A0A1X7VH39|A0A1X7VH39_AMPQE, tr|A0A1X7UAG5|A0A1X7UAG5_AMPQE, tr|A0A1X7TSS7|A0A1X7TSS7_AMPQE, tr|A0A1X7TPI5|A0A1X7TPI5_AMPQE, tr|A0A1X7U1X6|A0A1X7U1X6_AMPQE, tr|A0A1X7TII8|A0A1X7TII8_AMPQE, tr|A0A1X7VE94|A0A1X7VE94_AMPQE, tr|A0A1X7U0C8|A0A1X7U0C8_AMPQE, tr|A0A1X7TQF6|A0A1X7TQF6_AMPQE, tr|A0A1X7UC49|A0A1X7UC49_AMPQE, tr|A0A1X7VCX3|A0A1X7VCX3_AMPQE, tr|A0A1X7UIX2|A0A1X7UIX2_AMPQE, tr|A0A1X7TRG5|A0A1X7TRG5_AMPQE, tr|A0A1X7T4H3|A0A1X7T4H3_AMPQE, tr|A0A1X7UZ21|A0A1X7UZ21_AMPQE, tr|A0A1X7VC23|A0A1X7VC23_AMPQE, tr|A0A1X7SQS3|A0A1X7SQS3_AMPQE, tr|A0A1X7T981|A0A1X7T981_AMPQE, tr|A0A1X7UVP4|A0A1X7UVP4_AMPQE, tr|A0A1X7TTI6|A0A1X7TTI6_AMPQE, tr|A0A1X7TF51|A0A1X7TF51_AMPQE, tr|A0A1X7U9K8|A0A1X7U9K8_AMPQE			
N2.HOG0000288	OG0000113	n1	tr|A0A1X7SVW9|A0A1X7SVW9_AMPQE			jg17439.t1
N2.HOG0000289	OG0000113	n5	tr|A0A1X7TP90|A0A1X7TP90_AMPQE, tr|A0A1X7SK87|A0A1X7SK87_AMPQE, tr|A0A1X7VU22|A0A1X7VU22_AMPQE, tr|A0A1X7T2H2|A0A1X7T2H2_AMPQE, tr|A0A1X7UDI4|A0A1X7UDI4_AMPQE, tr|A0A1X7SQ05|A0A1X7SQ05_AMPQE			jg8339.t1
N2.HOG0000290	OG0000113	n12	tr|A0A1X7TF00|A0A1X7TF00_AMPQE, tr|A0A1X7SRL8|A0A1X7SRL8_AMPQE, tr|A0A1X7SUL1|A0A1X7SUL1_AMPQE			
N2.HOG0000291	OG0000113	n15	tr|A0A1X7SLK4|A0A1X7SLK4_AMPQE, tr|A0A1X7V7M9|A0A1X7V7M9_AMPQE			
N2.HOG0000292	OG0000113	n19	tr|A0A1X7T0X2|A0A1X7T0X2_AMPQE, tr|A0A1X7V8I9|A0A1X7V8I9_AMPQE, tr|A0A1X7UKH2|A0A1X7UKH2_AMPQE			jg21600.t1
N2.HOG0000293	OG0000113	n23	tr|A0A1X7UIL0|A0A1X7UIL0_AMPQE, tr|A0A1X7V6F3|A0A1X7V6F3_AMPQE, tr|A0A1X7V513|A0A1X7V513_AMPQE, tr|A0A1X7V542|A0A1X7V542_AMPQE			jg15711.t1, jg15710.t1
N2.HOG0000294	OG0000113	n28	tr|A0A1X7T0K9|A0A1X7T0K9_AMPQE, tr|A0A1X7SRH2|A0A1X7SRH2_AMPQE, tr|A0A1X7SDI0|A0A1X7SDI0_AMPQE, tr|A0A1X7SG86|A0A1X7SG86_AMPQE, tr|A0A1X7T0L6|A0A1X7T0L6_AMPQE, tr|A0A1X7VA32|A0A1X7VA32_AMPQE, tr|A0A1X7V9D9|A0A1X7V9D9_AMPQE			jg17942.t1
N2.HOG0000295	OG0000113	n35	tr|A0A1X7V666|A0A1X7V666_AMPQE, tr|A0A1X7V6A5|A0A1X7V6A5_AMPQE, tr|A0A1X7V690|A0A1X7V690_AMPQE, tr|A0A1X7TC27|A0A1X7TC27_AMPQE, tr|A0A1X7TC34|A0A1X7TC34_AMPQE, tr|A0A1X7TVG5|A0A1X7TVG5_AMPQE, tr|A0A1X7TJC2|A0A1X7TJC2_AMPQE, tr|A0A1X7TJ41|A0A1X7TJ41_AMPQE, tr|A0A1X7TWG3|A0A1X7TWG3_AMPQE, tr|A0A1X7VXD5|A0A1X7VXD5_AMPQE, tr|A0A1X7TCC5|A0A1X7TCC5_AMPQE, tr|A0A1X7SUE0|A0A1X7SUE0_AMPQE			
N2.HOG0000296	OG0000113	n46	tr|A0A1X7TEM7|A0A1X7TEM7_AMPQE, tr|A0A1X7V5F8|A0A1X7V5F8_AMPQE			g30971.t1
N2.HOG0000297	OG0000114	n0	tr|A0A1X7VWD4|A0A1X7VWD4_AMPQE, tr|A0A1X7VV14|A0A1X7VV14_AMPQE, tr|A0A1X7SRI4|A0A1X7SRI4_AMPQE, tr|A0A1X7UBM6|A0A1X7UBM6_AMPQE, tr|A0A1X7T5S0|A0A1X7T5S0_AMPQE, tr|A0A1X7T6I9|A0A1X7T6I9_AMPQE, tr|A0A1X7TUI0|A0A1X7TUI0_AMPQE, tr|A0A1X7T788|A0A1X7T788_AMPQE, tr|A0A1X7TGZ0|A0A1X7TGZ0_AMPQE, tr|A0A1X7SHC8|A0A1X7SHC8_AMPQE, tr|A0A1X7TSB6|A0A1X7TSB6_AMPQE, tr|A0A1X7SRJ5|A0A1X7SRJ5_AMPQE, tr|A0A1X7TUC3|A0A1X7TUC3_AMPQE, tr|A0A1X7T700|A0A1X7T700_AMPQE, tr|A0A1X7UJM5|A0A1X7UJM5_AMPQE, tr|A0A1X7TKN3|A0A1X7TKN3_AMPQE, tr|A0A1X7UKI3|A0A1X7UKI3_AMPQE, tr|A0A1X7SR22|A0A1X7SR22_AMPQE, tr|A0A1X7T6G4|A0A1X7T6G4_AMPQE, tr|A0A1X7SRP9|A0A1X7SRP9_AMPQE, tr|A0A1X7TXK1|A0A1X7TXK1_AMPQE, tr|A0A1X7TGA6|A0A1X7TGA6_AMPQE, tr|A0A1X7SHR5|A0A1X7SHR5_AMPQE, tr|A0A1X7TKT8|A0A1X7TKT8_AMPQE, tr|A0A1X7SRZ2|A0A1X7SRZ2_AMPQE, tr|A0A1X7T971|A0A1X7T971_AMPQE, tr|A0A1X7TS23|A0A1X7TS23_AMPQE, tr|A0A1X7TRG7|A0A1X7TRG7_AMPQE, tr|A0A1X7U9S2|A0A1X7U9S2_AMPQE, tr|A0A1X7UJ03|A0A1X7UJ03_AMPQE, tr|A0A1X7TL65|A0A1X7TL65_AMPQE, tr|A0A1X7TKH9|A0A1X7TKH9_AMPQE, tr|A0A1X7TEX3|A0A1X7TEX3_AMPQE, tr|A0A1X7TFM0|A0A1X7TFM0_AMPQE, tr|A0A1X7TY28|A0A1X7TY28_AMPQE, tr|A0A1X7TGA4|A0A1X7TGA4_AMPQE, tr|A0A1X7UKI8|A0A1X7UKI8_AMPQE, tr|A0A1X7THJ5|A0A1X7THJ5_AMPQE, tr|A0A1X7THC3|A0A1X7THC3_AMPQE, tr|A0A1X7TP32|A0A1X7TP32_AMPQE, tr|A0A1X7T7D1|A0A1X7T7D1_AMPQE, tr|A0A1X7TH82|A0A1X7TH82_AMPQE, tr|A0A1X7U9H1|A0A1X7U9H1_AMPQE, tr|A0A1X7TIS9|A0A1X7TIS9_AMPQE, tr|A0A1X7U8X9|A0A1X7U8X9_AMPQE, tr|A0A1X7T6A7|A0A1X7T6A7_AMPQE, tr|A0A1X7TCL8|A0A1X7TCL8_AMPQE, tr|A0A1X7TKG0|A0A1X7TKG0_AMPQE			jg24380.t1
N2.HOG0000298	OG0000115	n1	tr|A0A1X7UVB8|A0A1X7UVB8_AMPQE			jg19170.t1
N2.HOG0000299	OG0000115	n3	tr|A0A1X7UU02|A0A1X7UU02_AMPQE, tr|A0A1X7TUB0|A0A1X7TUB0_AMPQE, tr|A0A1X7SQY0|A0A1X7SQY0_AMPQE			
N2.HOG0000300	OG0000115	n6	tr|A0A1X7SZ95|A0A1X7SZ95_AMPQE			jg18851.t1
N2.HOG0000301	OG0000115	n7	tr|A0A1X7SNJ0|A0A1X7SNJ0_AMPQE, tr|A0A1X7SMI2|A0A1X7SMI2_AMPQE, tr|A0A1X7SYC8|A0A1X7SYC8_AMPQE, tr|A0A1X7UUL0|A0A1X7UUL0_AMPQE, tr|A0A1X7TXQ2|A0A1X7TXQ2_AMPQE, tr|A0A1X7TU94|A0A1X7TU94_AMPQE, tr|A0A1X7TDK6|A0A1X7TDK6_AMPQE, tr|A0A1X7TZI2|A0A1X7TZI2_AMPQE, tr|A0A1X7T0R5|A0A1X7T0R5_AMPQE, tr|A0A1X7TNF6|A0A1X7TNF6_AMPQE, tr|A0A1X7TP73|A0A1X7TP73_AMPQE, tr|A0A1X7TZV3|A0A1X7TZV3_AMPQE, tr|A0A1X7TYR7|A0A1X7TYR7_AMPQE, tr|A0A1X7SNI2|A0A1X7SNI2_AMPQE, tr|A0A1X7TY42|A0A1X7TY42_AMPQE, tr|A0A1X7TY00|A0A1X7TY00_AMPQE, tr|A0A1X7TZB3|A0A1X7TZB3_AMPQE, tr|A0A1X7TZ15|A0A1X7TZ15_AMPQE, tr|A0A1X7UIQ0|A0A1X7UIQ0_AMPQE, tr|A0A1X7TXY8|A0A1X7TXY8_AMPQE, tr|A0A1X7TXH7|A0A1X7TXH7_AMPQE, tr|A0A1X7TDX1|A0A1X7TDX1_AMPQE, tr|A0A1X7SSP6|A0A1X7SSP6_AMPQE, tr|A0A1X7TCK6|A0A1X7TCK6_AMPQE, tr|A0A1X7TBV0|A0A1X7TBV0_AMPQE, tr|A0A1X7TNW1|A0A1X7TNW1_AMPQE, tr|A0A1X7UHF2|A0A1X7UHF2_AMPQE, tr|A0A1X7TCK1|A0A1X7TCK1_AMPQE, tr|A0A1X7TCX1|A0A1X7TCX1_AMPQE, tr|A0A1X7TE92|A0A1X7TE92_AMPQE, tr|A0A1X7TUA2|A0A1X7TUA2_AMPQE, tr|A0A1X7TU98|A0A1X7TU98_AMPQE, tr|A0A1X7TTW4|A0A1X7TTW4_AMPQE, tr|A0A1X7TC28|A0A1X7TC28_AMPQE, tr|A0A1X7TUA5|A0A1X7TUA5_AMPQE, tr|A0A1X7TCL6|A0A1X7TCL6_AMPQE, tr|A0A1X7TCX5|A0A1X7TCX5_AMPQE, tr|A0A1X7T1E5|A0A1X7T1E5_AMPQE, tr|A0A1X7TZ20|A0A1X7TZ20_AMPQE			jg6803.t1, jg2814.t1, jg22189.t1
N2.HOG0000302	OG0000117	n0				jg19791.t2, jg19791.t1, jg10149.t1, jg9009.t1, jg22759.t1, jg13631.t1, jg16315.t1, jg21392.t1, jg29256.t1, jg12453.t2, jg12453.t1, jg13462.t2, jg13462.t1, jg12569.t2, jg12569.t1, jg4182.t1, jg10235.t1, jg1987.t1, jg1987.t2, jg9955.t1, jg3306.t2, jg3306.t1, jg158.t1, jg158.t2, jg25172.t1, jg23746.t1, jg11501.t1, jg9614.t1, jg16447.t3, jg29317.t1, jg16371.t1, jg15306.t2, jg15306.t1, jg355.t1, jg14809.t1, jg153.t1, jg6674.t1, jg14890.t1, jg26452.t1, jg1777.t1, jg22581.t1, jg26968.t1, jg22139.t2, jg22139.t1, jg19468.t1, jg23676.t2, jg23676.t1, jg22821.t1, jg13106.t1
N2.HOG0000303	OG0000118	n0	tr|A0A1X7TXY2|A0A1X7TXY2_AMPQE			jg9238.t1
